,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,DBH1STMF,Weekly NAV,1,0,0,weekly nav
1,2019-04-24,DBH1STMF,Q3 Financials,1,0,0,q3 financials
2,2019-04-21,DBH1STMF,Weekly NAV,0,0,1,weekly nav
3,2019-04-17,DBH1STMF,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
4,2019-04-15,DBH1STMF,Weekly NAV,1,1,0,weekly nav
5,2019-04-07,DBH1STMF,Weekly NAV,0,0,1,weekly nav
6,2019-03-31,DBH1STMF,Weekly NAV,1,0,1,weekly nav
7,2019-03-24,DBH1STMF,Weekly NAV,1,1,0,weekly nav
8,2019-03-18,DBH1STMF,Weekly NAV,1,1,1,weekly nav
9,2019-03-10,DBH1STMF,Weekly NAV,0,0,0,weekly nav
10,2019-03-03,DBH1STMF,Weekly NAV,0,0,0,weekly nav
11,2019-02-24,DBH1STMF,Weekly NAV,0,1,0,weekly nav
12,2019-02-17,DBH1STMF,Weekly NAV,1,1,0,weekly nav
13,2019-02-10,DBH1STMF,Weekly NAV,0,0,0,weekly nav
14,2019-02-03,DBH1STMF,Weekly NAV,0,0,1,weekly nav
15,2019-01-27,DBH1STMF,Weekly NAV,0,0,1,weekly nav
16,2019-01-20,DBH1STMF,Q2 Financials,1,0,0,q2 financials
17,2019-01-20,DBH1STMF,Weekly NAV,1,0,0,weekly nav
18,2019-01-15,DBH1STMF,Trustee Committee Meeting schedule under LR 16(1),0,0,1,trustee committee meeting schedule under lr 161
19,2019-01-13,DBH1STMF,Weekly NAV,0,0,0,weekly nav
20,2019-01-06,DBH1STMF,Weekly NAV,1,1,1,weekly nav
21,2019-01-01,DBH1STMF,Weekly NAV,0,0,1,weekly nav
22,2018-12-23,DBH1STMF,Weekly NAV,1,0,0,weekly nav
23,2018-12-17,DBH1STMF,Weekly NAV,0,0,1,weekly nav
