,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,DBH,Dividend Disbursement,1,0,0,dividend disbursement
1,2019-04-30,DBH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-04-09,DBH,Credit Rating Result,0,0,0,credit rating result
3,2019-04-07,DBH,Dividend Disbursement,0,1,0,dividend disbursement
4,2019-03-04,DBH,Resumption after record date,0,1,1,resumption after record date
5,2019-03-03,DBH,Suspension for Record date,0,0,1,suspension for record date
6,2019-02-27,DBH,Spot News,0,0,0,spot news
8,2019-02-12,DBH,Updating information,0,0,1,updating information
9,2019-02-10,DBH,Price Limit Open,0,0,0,price limit open
10,2019-02-10,DBH,Dividend Declaration,0,0,0,dividend declaration
11,2019-01-30,DBH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
12,2019-01-01,DBH,To issue Zero Coupon Bonds of Tk. 3.00 Billion through private Placement,0,1,1,to issue zero coupon bonds of tk. 3.00 billion through private placement
13,2018-11-25,DBH,Board Decision to Purchase an Additional Office Space,1,0,0,board decision to purchase an additional office space
14,2018-11-01,DBH,Q3 Financials,1,0,0,q3 financials
15,2018-10-25,DBH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-07-19,DBH,Q2 Financials,0,0,0,q2 financials
17,2018-07-12,DBH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
18,2018-07-02,DBH,Credit Rating Result,1,1,1,credit rating result
19,2018-05-20,DBH,Dividend Disbursement,0,1,0,dividend disbursement
20,2018-04-22,DBH,Q1 Financials,1,0,0,q1 financials
21,2018-04-15,DBH,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
22,2018-03-29,DBH,Resumption after record date,0,0,0,resumption after record date
23,2018-03-28,DBH,Suspension for Record Date,0,0,0,suspension for record date
24,2018-03-25,DBH,Spot News,0,0,1,spot news
26,2018-03-19,DBH,Updating information,1,1,1,updating information
27,2018-03-13,DBH,Venue and revised date of the 22nd AGM,1,0,1,venue and revised date of the 22nd agm
28,2018-03-13,DBH,Venue and revised date of the 22nd AGM,1,0,1,venue and revised date of the 22nd agm
29,2018-03-08,DBH,Price Limit Open,1,0,0,price limit open
30,2018-03-08,DBH,Dividend Declaration,1,0,0,dividend declaration
31,2018-02-27,DBH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
32,2017-10-15,DBH,Q3 Financials,0,0,0,q3 financials
33,2017-10-08,DBH,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
34,2017-07-16,DBH,Q2 Financials,0,0,0,q2 financials
35,2017-07-09,DBH,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
36,2017-06-22,DBH,Dividend Disbursement,1,0,0,dividend disbursement
37,2017-06-11,DBH,Sale confirmation of a Corporate Sponsor,1,1,0,sale confirmation of a corporate sponsor
38,2017-05-25,DBH,Elected Chairman and Vice-Chairman,1,0,0,elected chairman and vice-chairman
39,2017-05-09,DBH,Q1 Financials,0,0,0,q1 financials
40,2017-05-07,DBH,Resumption after Record Date,0,1,0,resumption after record date
41,2017-05-04,DBH,Suspension for Record Date,0,0,0,suspension for record date
42,2017-05-03,DBH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
43,2017-05-02,DBH,Spot News,1,1,0,spot news
44,2017-04-23,DBH,Credit Rating Result,0,0,0,credit rating result
46,2017-04-17,DBH,Updating information,1,0,0,updating information
47,2017-04-13,DBH,Price Limit Open,1,0,0,price limit open
49,2017-04-13,DBH,Dividend Declaration for 6 months period,1,0,0,dividend declaration for 6 months period
50,2017-04-04,DBH,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
51,2017-04-04,DBH,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
52,2016-12-22,DBH,Dividend Disbursement,1,0,0,dividend disbursement
53,2016-12-21,DBH,Credit Rating Result,0,1,0,credit rating result
54,2016-09-29,DBH,Resumption after record date,0,0,0,resumption after record date
55,2016-09-28,DBH,Suspension for record date,0,0,0,suspension for record date
56,2016-09-26,DBH,Spot for AGM,1,1,0,spot for agm
57,2016-09-08,DBH,Furnishing e-TIN Number and Information for Margin Account Holders,0,0,0,furnishing e-tin number and information for margin account holders
58,2016-09-04,DBH,Change of Income Year,0,0,0,change of income year
59,2016-09-04,DBH,Price Limit Open,0,0,0,price limit open
60,2016-09-04,DBH,Dividend Declaration,0,0,0,dividend declaration
61,2016-08-23,DBH,Board Meeting,0,0,0,board meeting
62,2016-04-25,DBH,Q3 Financials,0,0,0,q3 financials
63,2016-04-18,DBH,Board Meeting,1,0,0,board meeting
64,2016-03-27,DBH,Completion of sale by a Corporate Sponsor,0,0,0,completion of sale by a corporate sponsor
65,2016-03-24,DBH,Declaration of sale by a Corporate Sponsor,1,0,0,declaration of sale by a corporate sponsor
66,2016-03-22,DBH,Declaration of sale by a Corporate Sponsor,0,1,1,declaration of sale by a corporate sponsor
67,2016-01-27,DBH,Q2 Financials,0,0,0,q2 financials
68,2016-01-21,DBH,Board Meeting,1,0,0,board meeting
69,2016-01-03,DBH,Dividend Disbursement,1,0,1,dividend disbursement
70,2015-12-17,DBH,Credit Rating Result,0,0,0,credit rating result
71,2015-11-12,DBH,Q1 Financials,1,0,0,q1 financials
72,2015-11-08,DBH,Board Meeting,0,0,0,board meeting
73,2015-10-20,DBH,Resumption News after Record,0,1,0,resumption news after record
74,2015-10-19,DBH,Suspension News for Record Date,0,0,1,suspension news for record date
75,2015-10-15,DBH,Spot News for AGM,0,0,0,spot news for agm
76,2015-10-06,DBH,Information for Margin Account Holders,0,1,1,information for margin account holders
77,2015-10-06,DBH,Furnishing 12 digit e - TIN Number,0,1,1,furnishing 12 digit e tin number
78,2015-09-30,DBH,Price Limit Open,0,0,0,price limit open
79,2015-09-30,DBH,Dividend Declaration,0,0,0,dividend declaration
80,2015-09-21,DBH,Board Meeting schedule under LR 19 (1),0,1,0,board meeting schedule under lr 19 1
81,2015-09-17,DBH,Floor Space Purchase signing agreement,0,0,0,floor space purchase signing agreement
82,2015-08-30,DBH,Floor Space Purchase signing agreement,0,1,1,floor space purchase signing agreement
83,2015-04-23,DBH,Quarterly Earnings,1,0,0,quarterly earnings
84,2015-03-09,DBH,Floor Space Purchase signing agreement,0,1,1,floor space purchase signing agreement
85,2015-01-21,DBH,Q2 Earning,0,1,0,q2 earning
86,2015-01-13,DBH,DSE query,1,0,0,dse query
87,2014-12-30,DBH,Credit Rating,1,0,1,credit rating
88,2014-12-21,DBH,Cash dividend transfer,1,1,0,cash dividend transfer
89,2014-11-11,DBH,Q1,1,0,0,q1
90,2014-09-25,DBH,trade resume,0,0,0,trade resume
91,2014-09-24,DBH,trade suspension,0,0,0,trade suspension
92,2014-09-22,DBH,trade suspension,1,0,0,trade suspension
93,2014-09-11,DBH,no price limit,0,0,0,no price limit
94,2014-09-11,DBH,25% cash dividend,0,0,0,25 cash dividend
95,2014-09-07,DBH,meeting of the Board of Directors,0,0,1,meeting of the board of directors
96,2014-04-27,DBH,Quarterly Earning,1,0,0,quarterly earning
97,2014-02-09,DBH,floor space acquisition,0,1,0,floor space acquisition
98,2014-02-02,DBH,H/Y Earnings,1,1,0,hy earnings
99,2014-01-12,DBH,Sponsors/Directors buy,1,1,0,sponsorsdirectors buy
100,2013-12-29,DBH,credit rating,1,0,0,credit rating
101,2013-12-24,DBH,cash dividend remitted,0,0,0,cash dividend remitted
102,2013-11-17,DBH,Q1 Earnings,0,0,1,q1 earnings
103,2013-09-30,DBH,Trade Resume After Record Date,0,0,1,trade resume after record date
104,2013-09-29,DBH,Trade Suspension on Record Date,0,0,0,trade suspension on record date
105,2013-09-24,DBH,Trade Suspension on Record Date,0,0,1,trade suspension on record date
106,2013-09-15,DBH,No Price Limit,1,0,1,no price limit
107,2013-09-15,DBH,Corporate Action,1,0,1,corporate action
108,2013-09-10,DBH,Boared Meeting,1,0,0,boared meeting
109,2013-04-28,DBH,Q3 earnings,0,0,1,q3 earnings
110,2013-01-28,DBH,H/Y Earnings 2012-13,1,0,0,hy earnings 2012-13
111,2012-12-10,DBH,cash dividend paid,0,1,0,cash dividend paid
112,2012-11-26,DBH,credit rating,0,0,0,credit rating
113,2012-11-07,DBH,Q1 Earnings 2012,0,0,0,q1 earnings 2012
114,2012-09-12,DBH,trading will be suspended on record date,0,0,0,trading will be suspended on record date
115,2012-01-24,DBH,- As per un-audited...,0,1,1,as per un-audited
116,2011-11-28,DBH,- The Company has informed...,1,0,1,the company has informed
117,2011-11-13,DBH,- As per un-audited...,0,1,0,as per un-audited
118,2011-10-25,DBH,- In connection with their...,1,0,0,in connection with their
119,2011-09-29,DBH,- Normal trading of the shares...,0,0,0,normal trading of the shares
120,2011-09-28,DBH,- Trading of the shares...,0,0,0,trading of the shares
121,2011-09-25,DBH,- Trading of the shares...,1,1,0,trading of the shares
122,2011-09-18,DBH,- There will be no price...,0,0,0,there will be no price
123,2011-09-18,DBH,- The Board of Directors...,0,0,0,the board of directors
124,2011-09-13,DBH,- As per regulation 30 of DSE...,1,0,0,as per regulation 30 of dse
