,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,DELTALIFE,Postponement of Board Meeting under LR 19(1),0,0,0,postponement of board meeting under lr 191
1,2019-04-17,DELTALIFE,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
2,2019-03-05,DELTALIFE,Credit Rating Result,1,0,1,credit rating result
3,2018-10-29,DELTALIFE,Elected Chairman,0,0,1,elected chairman
4,2018-10-29,DELTALIFE,Q3 Financials,0,0,1,q3 financials
5,2018-10-23,DELTALIFE,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
6,2018-08-09,DELTALIFE,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
9,2018-07-31,DELTALIFE,Q2 Financials,1,0,0,q2 financials
10,2018-07-25,DELTALIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2018-07-17,DELTALIFE,Sale declaration of a Sponsor,0,0,1,sale declaration of a sponsor
12,2018-07-11,DELTALIFE,Dividend Disbursement,0,1,0,dividend disbursement
14,2018-06-25,DELTALIFE,Q1 Financials (Additional Information),0,1,0,q1 financials additional information
15,2018-06-24,DELTALIFE,Q1 Financials,0,0,1,q1 financials
16,2018-06-18,DELTALIFE,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
17,2018-06-06,DELTALIFE,Resumption after record date,0,0,0,resumption after record date
18,2018-06-05,DELTALIFE,Suspension for Record Date,0,0,0,suspension for record date
19,2018-06-03,DELTALIFE,Spot News,0,1,0,spot news
20,2018-05-20,DELTALIFE,Revised EGM date,1,1,0,revised egm date
21,2018-05-17,DELTALIFE,Resumption after record date,0,0,0,resumption after record date
22,2018-05-16,DELTALIFE,Suspension for Record Date,1,0,0,suspension for record date
23,2018-05-16,DELTALIFE,Price Limit Open,1,0,0,price limit open
24,2018-05-16,DELTALIFE,Dividend Declaration,1,0,0,dividend declaration
25,2018-05-14,DELTALIFE,Spot News,0,0,1,spot news
26,2018-05-08,DELTALIFE,New Board Meeting schedule under LR 19(1),0,1,0,new board meeting schedule under lr 191
27,2018-04-30,DELTALIFE,Postponement of Board Meeting under LR 19(1),0,0,0,postponement of board meeting under lr 191
28,2018-04-24,DELTALIFE,Query Response (Disregard the news),0,0,0,query response disregard the news
29,2018-04-24,DELTALIFE,Query Response,0,0,0,query response
30,2018-04-24,DELTALIFE,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
31,2018-04-24,DELTALIFE,EGM to amend certain clause of the Articles of Association,0,0,0,egm to amend certain clause of the articles of association
32,2018-04-19,DELTALIFE,Query Response,0,0,0,query response
33,2018-02-06,DELTALIFE,Credit Rating Result,0,1,1,credit rating result
34,2018-01-02,DELTALIFE,"Fine Imposed on Directors, CEO/MD & Company Secretary",0,1,1,"fine imposed on directors, ceomd  company secretary"
35,2017-11-19,DELTALIFE,Appointment of Chief Executive Officer,0,0,0,appointment of chief executive officer
36,2017-10-30,DELTALIFE,Q3 Financials,0,0,0,q3 financials
37,2017-10-23,DELTALIFE,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
38,2017-07-30,DELTALIFE,Q2 Financials,0,0,0,q2 financials
39,2017-07-24,DELTALIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2017-07-05,DELTALIFE,Dividend Disbursement,0,1,0,dividend disbursement
41,2017-06-14,DELTALIFE,Q1 Financials,1,0,0,q1 financials
42,2017-06-08,DELTALIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
43,2017-05-25,DELTALIFE,Resumption after Record Date,0,0,0,resumption after record date
44,2017-05-24,DELTALIFE,Suspension for Record Date,0,0,0,suspension for record date
45,2017-05-22,DELTALIFE,Spot News,0,0,0,spot news
