,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,DESCO,Q3 Financials,0,0,0,q3 financials
1,2019-04-23,DESCO,Reschedule of Board Meeting under LR 16(1),1,0,1,reschedule of board meeting under lr 161
2,2019-04-23,DESCO,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
3,2019-02-11,DESCO,Dividend Disbursement,0,0,1,dividend disbursement
4,2019-01-24,DESCO,Q2 Financials,1,0,0,q2 financials
5,2019-01-20,DESCO,Reschedule Board Meeting under LR 16(1),1,0,0,reschedule board meeting under lr 161
6,2019-01-15,DESCO,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
8,2018-12-03,DESCO,Qualified Opinion,1,1,0,qualified opinion
9,2018-11-22,DESCO,Resumption after record date,0,0,0,resumption after record date
10,2018-11-20,DESCO,Suspension for Record date,0,0,0,suspension for record date
11,2018-11-18,DESCO,Spot News,0,0,0,spot news
12,2018-11-13,DESCO,Q1 Financials,0,0,0,q1 financials
13,2018-11-06,DESCO,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
14,2018-10-21,DESCO,Price Limit Open,0,0,0,price limit open
16,2018-10-21,DESCO,Dividend Declaration,0,0,0,dividend declaration
17,2018-10-11,DESCO,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-04-25,DESCO,Q3 Financials,1,0,0,q3 financials
19,2018-04-22,DESCO,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
20,2018-02-01,DESCO,Dividend Disbursement,0,0,0,dividend disbursement
21,2018-01-28,DESCO,Q2 Financials,0,1,0,q2 financials
22,2018-01-21,DESCO,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2017-11-15,DESCO,Q1 Financials,1,0,0,q1 financials
24,2017-11-09,DESCO,Resumption after record date,0,0,0,resumption after record date
25,2017-11-09,DESCO,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2017-11-08,DESCO,Suspension for Record Date,0,0,0,suspension for record date
27,2017-11-06,DESCO,Spot News,1,1,0,spot news
29,2017-10-26,DESCO,Basis for Qualified Opinion,0,0,0,basis for qualified opinion
30,2017-10-02,DESCO,Price Limit Open,0,0,1,price limit open
31,2017-10-02,DESCO,Dividend Declaration,0,0,1,dividend declaration
32,2017-09-21,DESCO,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
33,2017-04-30,DESCO,Q3 Financials,0,0,0,q3 financials
34,2017-04-23,DESCO,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
35,2017-01-26,DESCO,Q2 Financials (Additional information),0,0,0,q2 financials additional information
36,2017-01-26,DESCO,Q2 Financials,0,0,0,q2 financials
37,2017-01-22,DESCO,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
38,2017-01-15,DESCO,Qualified Opinion,0,1,1,qualified opinion
39,2016-12-18,DESCO,Declaration of sale,0,0,0,declaration of sale
40,2016-11-17,DESCO,Resumption after record date,1,0,0,resumption after record date
41,2016-11-16,DESCO,Suspension for record date,0,1,0,suspension for record date
42,2016-11-14,DESCO,Spot for AGM,1,1,0,spot for agm
43,2016-11-14,DESCO,Q1 Financials,1,1,0,q1 financials
44,2016-11-09,DESCO,Board Meeting,0,0,0,board meeting
45,2016-11-06,DESCO,10% shares off-load/sale,1,0,0,10 shares off-loadsale
46,2016-10-23,DESCO,Price Limit Open,0,0,1,price limit open
47,2016-10-23,DESCO,Dividend Declaration,0,0,1,dividend declaration
48,2016-10-13,DESCO,Board Meeting,0,0,0,board meeting
49,2016-04-28,DESCO,Q3 Financials,0,0,0,q3 financials
50,2016-04-25,DESCO,Board Meeting,1,0,0,board meeting
51,2016-01-31,DESCO,Dividend Disbursement,0,0,1,dividend disbursement
52,2016-01-25,DESCO,Q2 Financials,0,0,0,q2 financials
53,2016-01-20,DESCO,Board Meeting,0,0,0,board meeting
54,2015-11-12,DESCO,Resumption News,0,0,0,resumption news
55,2015-11-11,DESCO,Suspension News,0,0,0,suspension news
56,2015-11-10,DESCO,Board Meeting,0,0,0,board meeting
57,2015-11-09,DESCO,Spot News,0,0,0,spot news
58,2015-10-25,DESCO,Price Limit Open,0,0,0,price limit open
59,2015-10-25,DESCO,Dividend Declaration,0,0,0,dividend declaration
60,2015-10-14,DESCO,Board Meeting schedule,0,0,0,board meeting schedule
61,2015-04-22,DESCO,Quarterly Earnings,0,0,0,quarterly earnings
62,2015-01-25,DESCO,H/Y,1,0,1,hy
63,2015-01-01,DESCO,appointed Managing Director,1,0,0,appointed managing director
64,2014-11-13,DESCO,Q1,0,0,0,q1
65,2014-11-13,DESCO, will resume,0,0,0,will resume
66,2014-11-12,DESCO,will remain suspended,1,0,0,will remain suspended
67,2014-11-10,DESCO,Spot Market,0,0,1,spot market
68,2014-10-29,DESCO,AGM date,0,1,0,agm date
69,2014-10-28,DESCO,Qualified Opinion,0,0,1,qualified opinion
70,2014-10-14,DESCO,today has no price Limit,1,1,1,today has no price limit
71,2014-10-14,DESCO,Dividend,1,1,1,dividend
72,2014-10-12,DESCO,Board Meeting,1,0,1,board meeting
73,2014-04-27,DESCO,Quarterly Earning,0,0,0,quarterly earning
74,2014-04-07,DESCO,"share transfer to PDB within April 30, 2014",0,1,0,"share transfer to pdb within april 30, 2014"
75,2014-04-03,DESCO,share transfer to PDB,1,0,0,share transfer to pdb
76,2014-01-30,DESCO,Dividend disbursed,0,0,0,dividend disbursed
77,2014-01-30,DESCO,H/Y Earnings,0,0,0,hy earnings
78,2013-11-18,DESCO,Auditors Opinion,1,1,0,auditors opinion
79,2013-11-11,DESCO,Q1 Earning,1,0,1,q1 earning
80,2013-11-05,DESCO,trade resume on record date,0,1,0,trade resume on record date
81,2013-11-04,DESCO,trade suspension on record date,0,0,1,trade suspension on record date
82,2013-10-30,DESCO,Trade Suspension on Record Date,0,0,0,trade suspension on record date
83,2013-10-27,DESCO,No Price limit,1,0,0,no price limit
84,2013-10-27,DESCO,Corporate Action,1,0,0,corporate action
85,2013-10-24,DESCO,Board Meeting,0,0,0,board meeting
86,2013-09-16,DESCO,Sponsors Share Sell,0,0,1,sponsors share sell
87,2013-09-05,DESCO,Sponsors Share Sell,1,0,0,sponsors share sell
88,2013-04-28,DESCO,Q3 Earnings,1,1,0,q3 earnings
89,2013-02-19,DESCO,purchase from Management Environment Finance SRL,0,0,0,purchase from management environment finance srl
90,2013-01-31,DESCO,Bonus share credited,0,0,0,bonus share credited
91,2013-01-28,DESCO,HY Earnings 2012-13,0,0,0,hy earnings 2012-13
92,2012-11-14,DESCO,Q1 Earnings 2012,1,1,0,q1 earnings 2012
93,2012-10-30,DESCO,corporate declaration,1,1,1,corporate declaration
94,2012-03-29,DESCO,- The Company has informed...,1,0,0,the company has informed
95,2012-01-19,DESCO,- The Company has informed...,1,0,0,the company has informed
96,2011-11-15,DESCO,- Normal trading...,0,0,1,normal trading
97,2011-11-15,DESCO,- As per un-audited...,0,0,1,as per un-audited
98,2011-11-14,DESCO,- Trading of the shares...,1,0,0,trading of the shares
99,2011-11-02,DESCO,- Trading of the shares...,1,1,0,trading of the shares
100,2011-10-30,DESCO,- There will be no price...,0,1,1,there will be no price
101,2011-10-30,DESCO,- The Board of Directors...,0,1,1,the board of directors
102,2011-10-25,DESCO,- As per regulation...,0,0,0,as per regulation
103,2011-10-04,DESCO,- Normal trading of the shares...,0,0,0,normal trading of the shares
104,2011-10-03,DESCO,- Trading of the shares...,0,0,0,trading of the shares
105,2011-09-28,DESCO,- Trading of the shares...,0,1,0,trading of the shares
106,2011-09-25,DESCO,- The Company has informed...,1,1,0,the company has informed
107,2011-08-07,DESCO,- In response to a DSE query...,1,1,0,in response to a dse query
