,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,DESHBANDHU,Q3 Financials,0,0,0,q3 financials
1,2019-04-24,DESHBANDHU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-01-31,DESHBANDHU,Q2 Financials,0,0,0,q2 financials
4,2019-01-27,DESHBANDHU,Address Change of Share Office,1,1,0,address change of share office
5,2019-01-27,DESHBANDHU,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
6,2019-01-22,DESHBANDHU,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-12-24,DESHBANDHU,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
8,2018-12-24,DESHBANDHU,Category Change,1,0,0,category change
9,2018-12-17,DESHBANDHU,Credit Rating Result,0,1,0,credit rating result
10,2018-11-22,DESHBANDHU,Resumption after record date,0,0,0,resumption after record date
11,2018-11-20,DESHBANDHU,Suspension for Record date,0,0,0,suspension for record date
12,2018-11-18,DESHBANDHU,Spot News,1,0,0,spot news
13,2018-11-15,DESHBANDHU,Q1 Financials,0,0,0,q1 financials
14,2018-11-11,DESHBANDHU,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
15,2018-10-29,DESHBANDHU,Price Limit Open,1,1,0,price limit open
16,2018-10-29,DESHBANDHU,Dividend Declaration,1,1,0,dividend declaration
17,2018-10-21,DESHBANDHU,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-08-09,DESHBANDHU,Query Response,1,0,0,query response
19,2018-07-05,DESHBANDHU,Query Response,0,0,0,query response
20,2018-05-03,DESHBANDHU,Q3 Financials,0,0,0,q3 financials
21,2018-04-24,DESHBANDHU,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
22,2018-01-31,DESHBANDHU,Q2 Financials,0,0,0,q2 financials
23,2018-01-24,DESHBANDHU,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
24,2018-01-18,DESHBANDHU,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
25,2018-01-18,DESHBANDHU,Category Change,0,0,0,category change
27,2018-01-16,DESHBANDHU,Dividend Disbursement,0,0,0,dividend disbursement
30,2017-12-18,DESHBANDHU,Acknowledged & Approved MOU with Reform Packaging Pvt. Ltd.,1,0,0,acknowledged  approved mou with reform packaging pvt. ltd.
31,2017-12-14,DESHBANDHU,Query Response,0,0,0,query response
32,2017-11-21,DESHBANDHU,Resumption after record date,0,0,0,resumption after record date
33,2017-11-20,DESHBANDHU,Suspension for Record Date,0,0,0,suspension for record date
34,2017-11-15,DESHBANDHU,Q1 Financials,0,0,0,q1 financials
35,2017-11-15,DESHBANDHU,Q1 Financials,0,0,0,q1 financials
36,2017-11-09,DESHBANDHU,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
37,2017-11-07,DESHBANDHU,Spot News,0,0,1,spot news
38,2017-11-01,DESHBANDHU,Address Change of Share Office,0,1,0,address change of share office
39,2017-10-29,DESHBANDHU,Price Limit Open,0,0,0,price limit open
