,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,DHAKABANK,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
1,2019-04-29,DHAKABANK,Spot News,0,0,0,spot news
2,2019-04-29,DHAKABANK,Buy Declaration of a Sponsor,0,0,0,buy declaration of a sponsor
3,2019-04-24,DHAKABANK,Buy Declaration of a Sponsor,1,1,0,buy declaration of a sponsor
4,2019-04-24,DHAKABANK,Buy Confirmation of a Sponsor,1,1,0,buy confirmation of a sponsor
5,2019-04-18,DHAKABANK,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
6,2019-04-17,DHAKABANK,Buy Confirmation of a Sponsor,0,1,0,buy confirmation of a sponsor
7,2019-04-11,DHAKABANK,Additional Information (Reason for Deviation in NOCFPS),0,0,0,additional information reason for deviation in nocfps
8,2019-04-11,DHAKABANK,Buy Declaration of a Sponsor,0,0,0,buy declaration of a sponsor
9,2019-04-11,DHAKABANK,Price Limit Open,0,0,0,price limit open
11,2019-04-11,DHAKABANK,Dividend Declaration,0,0,0,dividend declaration
12,2019-04-03,DHAKABANK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-10-31,DHAKABANK,Q3 Financials,1,0,0,q3 financials
14,2018-10-21,DHAKABANK,Reschedule of Board Meeting under LR 16(1),1,0,0,reschedule of board meeting under lr 161
15,2018-10-18,DHAKABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
16,2018-09-03,DHAKABANK,Buy Confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
17,2018-08-29,DHAKABANK,Buy Confirmation of a Sponsor,0,1,0,buy confirmation of a sponsor
18,2018-08-27,DHAKABANK,Buy declaration of a Sponsor,0,1,0,buy declaration of a sponsor
19,2018-08-20,DHAKABANK,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
20,2018-08-16,DHAKABANK,Buy Confirmation of a Sponsor,1,0,0,buy confirmation of a sponsor
21,2018-08-13,DHAKABANK,Buy Declaration of a Sponsor,0,0,0,buy declaration of a sponsor
22,2018-08-09,DHAKABANK,Buy confirmation of a Sponsor,1,0,0,buy confirmation of a sponsor
23,2018-08-09,DHAKABANK,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
24,2018-07-31,DHAKABANK,Buy Declaration of a Sponsor Director,0,1,1,buy declaration of a sponsor director
25,2018-07-31,DHAKABANK,Q2 Financials,0,1,1,q2 financials
26,2018-07-25,DHAKABANK,Buy declaration of a Sponsor,0,0,0,buy declaration of a sponsor
27,2018-07-23,DHAKABANK,Buy confirmation of a Sponsor,1,1,0,buy confirmation of a sponsor
28,2018-07-23,DHAKABANK,Board Meeting schedules under LR 16(1),1,1,0,board meeting schedules under lr 161
29,2018-07-19,DHAKABANK,Buy declaration of a Sponsor,1,0,0,buy declaration of a sponsor
30,2018-07-18,DHAKABANK,Buy confirmation of a Sponsor,0,1,0,buy confirmation of a sponsor
31,2018-07-16,DHAKABANK,Buy declaration of a Sponsor,1,1,0,buy declaration of a sponsor
32,2018-07-09,DHAKABANK,Dividend Disbursement,0,0,1,dividend disbursement
33,2018-05-24,DHAKABANK,Credit Rating Result,1,0,0,credit rating result
34,2018-05-21,DHAKABANK,Resumption after record date,0,0,0,resumption after record date
35,2018-05-20,DHAKABANK,Suspension for Record Date,1,0,0,suspension for record date
36,2018-05-17,DHAKABANK,Confirmation of share transfer by a Sponsor,0,0,0,confirmation of share transfer by a sponsor
37,2018-05-16,DHAKABANK,Spot News,0,0,0,spot news
38,2018-05-15,DHAKABANK,Confirmation of share transfer by a Sponsor,1,0,0,confirmation of share transfer by a sponsor
39,2018-05-14,DHAKABANK,Declaration of share transfer by a Sponsor,1,1,0,declaration of share transfer by a sponsor
40,2018-05-13,DHAKABANK,Declaration of share transfer by a Sponsor,0,1,1,declaration of share transfer by a sponsor
41,2018-05-09,DHAKABANK,Q1 Financials,1,0,0,q1 financials
42,2018-04-30,DHAKABANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
43,2018-04-30,DHAKABANK,Price Limit Open,0,0,0,price limit open
45,2018-04-30,DHAKABANK,Dividend Declaration,0,0,0,dividend declaration
46,2018-04-22,DHAKABANK,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
48,2018-03-29,DHAKABANK,BSEC accorded Consent for issuing Non-Convertible Subordinated Bond,1,0,0,bsec accorded consent for issuing non-convertible subordinated bond
49,2017-10-25,DHAKABANK,Q3 Financials,1,1,0,q3 financials
50,2017-10-24,DHAKABANK,Buy confirmation of a Director,0,1,1,buy confirmation of a director
51,2017-10-19,DHAKABANK,Buy declaration of a Director,1,0,0,buy declaration of a director
52,2017-10-19,DHAKABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
53,2017-10-17,DHAKABANK,Buy confirmation of a Director,0,0,1,buy confirmation of a director
54,2017-10-15,DHAKABANK,Buy declaration of a Director,0,1,0,buy declaration of a director
55,2017-09-27,DHAKABANK,Decision for Issuance of Non-Convertible Subordinated Bond,1,1,0,decision for issuance of non-convertible subordinated bond
56,2017-08-21,DHAKABANK,Buy confirmation of a Director,1,0,0,buy confirmation of a director
57,2017-08-06,DHAKABANK,Buy declaration of a Director,1,1,0,buy declaration of a director
58,2017-08-03,DHAKABANK,Confirmation of receipt by a Director,0,0,0,confirmation of receipt by a director
59,2017-08-01,DHAKABANK,Declaration of receipt by a Director,0,1,0,declaration of receipt by a director
60,2017-08-01,DHAKABANK,Declaration of receipt by a Director,0,1,0,declaration of receipt by a director
61,2017-08-01,DHAKABANK,Declaration of receipt by a Director,0,1,0,declaration of receipt by a director
62,2017-07-31,DHAKABANK,Q2 Financials,0,0,1,q2 financials
63,2017-07-24,DHAKABANK,Reschedule of Board Meeting under LR 16(1),1,0,0,reschedule of board meeting under lr 161
64,2017-07-20,DHAKABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
65,2017-07-06,DHAKABANK,Dividend Disbursement,0,0,0,dividend disbursement
66,2017-06-01,DHAKABANK,Credit Rating Result,1,0,0,credit rating result
67,2017-05-22,DHAKABANK,Resumption after Record Date,0,0,0,resumption after record date
68,2017-05-21,DHAKABANK,Suspension for Record Date,0,0,0,suspension for record date
69,2017-05-17,DHAKABANK,Spot News,0,0,0,spot news
70,2017-05-11,DHAKABANK,Q1 Financials,0,0,0,q1 financials
71,2017-05-08,DHAKABANK,Information for Brokerage houses relating to Margin Loan,0,0,0,information for brokerage houses relating to margin loan
72,2017-05-08,DHAKABANK,Information for Brokerage houses relating to Margin Loan,0,0,0,information for brokerage houses relating to margin loan
73,2017-05-04,DHAKABANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
