,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-21,DHAKAINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
1,2019-01-22,DHAKAINS,Query Response,0,1,1,query response
2,2018-12-05,DHAKAINS,Credit Rating Result,1,0,0,credit rating result
3,2018-10-31,DHAKAINS,Q3 Financials,0,0,0,q3 financials
4,2018-10-24,DHAKAINS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
5,2018-08-01,DHAKAINS,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
6,2018-07-30,DHAKAINS,Q2 Financials,0,1,1,q2 financials
7,2018-07-24,DHAKAINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
8,2018-06-05,DHAKAINS,Information for Brokerage Houses/DPs regarding Margin Loan Holders,0,0,0,information for brokerage housesdps regarding margin loan holders
9,2018-05-24,DHAKAINS,Resumption after record date,0,0,0,resumption after record date
10,2018-05-23,DHAKAINS,Suspension for Record Date,0,0,0,suspension for record date
11,2018-05-21,DHAKAINS,Spot News,0,0,0,spot news
12,2018-05-15,DHAKAINS,Q1 Financials,0,0,0,q1 financials
13,2018-05-09,DHAKAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2018-04-30,DHAKAINS,Price Limit Open,0,0,0,price limit open
16,2018-04-30,DHAKAINS,Dividend Declaration,0,0,0,dividend declaration
17,2018-04-23,DHAKAINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-01-03,DHAKAINS,Address Change of Head Office,1,0,0,address change of head office
19,2017-11-30,DHAKAINS,Credit Rating Result,0,0,0,credit rating result
20,2017-10-31,DHAKAINS,Q3 Financials,1,0,1,q3 financials
21,2017-10-25,DHAKAINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
22,2017-10-04,DHAKAINS,Sale confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
23,2017-09-28,DHAKAINS,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
24,2017-09-27,DHAKAINS,Sale confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
25,2017-09-21,DHAKAINS,Sale declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
26,2017-07-31,DHAKAINS,Dividend Disbursement,1,0,1,dividend disbursement
27,2017-07-31,DHAKAINS,Q2 Financials,1,0,1,q2 financials
28,2017-07-26,DHAKAINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
29,2017-05-31,DHAKAINS,Information for Margin Account Holder,0,0,0,information for margin account holder
30,2017-05-18,DHAKAINS,Resumption after Record Date,0,0,0,resumption after record date
31,2017-05-17,DHAKAINS,Suspension for Record Date,0,0,0,suspension for record date
32,2017-05-15,DHAKAINS,Q1 Financials,0,1,0,q1 financials
33,2017-05-15,DHAKAINS,Spot News,0,1,0,spot news
34,2017-05-09,DHAKAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-04-25,DHAKAINS,Price Limit Open,0,0,0,price limit open
36,2017-04-25,DHAKAINS,Dividend Declaration,0,0,0,dividend declaration
37,2017-04-19,DHAKAINS,Reschedule of Board Meeting under LR 19(1),1,1,0,reschedule of board meeting under lr 191
38,2017-04-12,DHAKAINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
39,2016-11-01,DHAKAINS,Q3 Financials,1,0,0,q3 financials
40,2016-10-26,DHAKAINS,Credit Rating Result,1,0,0,credit rating result
41,2016-10-25,DHAKAINS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
42,2016-07-31,DHAKAINS,Q2 Financials,1,0,0,q2 financials
43,2016-07-26,DHAKAINS,Board Meeting,0,0,0,board meeting
44,2016-05-22,DHAKAINS,Resumption after Record date,0,0,1,resumption after record date
45,2016-05-17,DHAKAINS,Spot News,0,1,1,spot news
46,2016-05-16,DHAKAINS,Q1 Financials,1,0,1,q1 financials
47,2016-05-10,DHAKAINS,Board Meeting,1,0,0,board meeting
48,2016-05-02,DHAKAINS,Price Limit Open,0,0,0,price limit open
49,2016-05-02,DHAKAINS,Dividend Declaration,0,0,0,dividend declaration
50,2016-04-24,DHAKAINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
51,2015-11-01,DHAKAINS,Q3,1,0,0,q3
52,2015-10-29,DHAKAINS,Credit Rating Result,0,0,0,credit rating result
53,2015-10-28,DHAKAINS,Board Meeting,0,0,0,board meeting
54,2015-07-29,DHAKAINS,Q2 Financials,0,0,0,q2 financials
55,2015-05-17,DHAKAINS,Q1 Financials,0,1,1,q1 financials
56,2015-05-13,DHAKAINS,Resumption News after Record Date,0,1,0,resumption news after record date
57,2015-05-12,DHAKAINS,Suspension News for Record Date,0,0,1,suspension news for record date
58,2015-05-10,DHAKAINS,Spot News for AGM,1,1,0,spot news for agm
59,2015-04-29,DHAKAINS,Price Limit Open,0,0,0,price limit open
60,2015-04-29,DHAKAINS,Dividend Declaration,0,0,0,dividend declaration
61,2015-04-27,DHAKAINS,Board Meeting,0,0,0,board meeting
62,2014-11-02,DHAKAINS,Q3 earninsg,1,1,0,q3 earninsg
63,2014-10-16,DHAKAINS,New Chairman and Vice Chairman,0,0,0,new chairman and vice chairman
64,2014-09-16,DHAKAINS,Credit Rating,0,0,1,credit rating
65,2014-08-26,DHAKAINS,sponsor share sell/buy,0,0,0,sponsor share sellbuy
66,2014-07-23,DHAKAINS,H/Y Earnings,1,0,0,hy earnings
67,2014-06-22,DHAKAINS,Sponsor/Director Share Sale,1,0,1,sponsordirector share sale
68,2014-06-03,DHAKAINS,Sponsor/Director Share Sale,0,0,1,sponsordirector share sale
