,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,DSHGARME,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-31,DSHGARME,Q2 Financials,1,0,0,q2 financials
3,2019-01-28,DSHGARME,Reschedule of Board Meeting under LR 16(1),1,0,1,reschedule of board meeting under lr 161
4,2019-01-23,DSHGARME,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-17,DSHGARME,Query Response,0,0,0,query response
6,2019-01-13,DSHGARME,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-12-05,DSHGARME,Emphasis of Matter,0,1,0,emphasis of matter
8,2018-11-18,DSHGARME,Resumption after record date,0,1,1,resumption after record date
9,2018-11-15,DSHGARME,Suspension for Record Date,0,0,0,suspension for record date
10,2018-11-15,DSHGARME,Q1 Financials,0,0,0,q1 financials
11,2018-11-13,DSHGARME,Spot News,1,1,0,spot news
12,2018-11-08,DSHGARME,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
13,2018-11-07,DSHGARME,Revision of NAV,0,1,0,revision of nav
14,2018-10-29,DSHGARME,Price Limit Open,0,1,1,price limit open
16,2018-10-29,DSHGARME,Dividend Declaration,0,1,1,dividend declaration
17,2018-10-18,DSHGARME,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-06-28,DSHGARME,Import new machineries to replace old one and for retrofitting works,1,0,0,import new machineries to replace old one and for retrofitting works
19,2018-04-30,DSHGARME,Q3 Financials,0,0,0,q3 financials
20,2018-04-23,DSHGARME,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
21,2018-01-30,DSHGARME,Q2 Financials,0,0,0,q2 financials
22,2018-01-23,DSHGARME,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2018-01-18,DSHGARME,Dividend Disbursement,0,0,0,dividend disbursement
24,2018-01-09,DSHGARME,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
26,2017-12-28,DSHGARME,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
27,2017-12-10,DSHGARME,Change of venue of the AGM,0,0,1,change of venue of the agm
28,2017-11-16,DSHGARME,Resumption after record date,0,0,0,resumption after record date
29,2017-11-15,DSHGARME,Suspension for Record Date,0,0,0,suspension for record date
