,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,DSSL,Q3 Financials,0,0,0,q3 financials
1,2019-04-18,DSSL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-03-12,DSSL,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
3,2019-03-06,DSSL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
4,2019-02-26,DSSL,Sale Confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
5,2019-02-19,DSSL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
6,2019-01-22,DSSL,Sale confirmation of a Sponsor Director,0,0,1,sale confirmation of a sponsor director
7,2019-01-21,DSSL,Q2 Financials,0,0,0,q2 financials
8,2019-01-15,DSSL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
9,2019-01-14,DSSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2018-12-17,DSSL,Sale Confirmation of a Sponsor Director,0,1,0,sale confirmation of a sponsor director
11,2018-12-12,DSSL,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
12,2018-12-05,DSSL,Dividend Disbursement,1,0,0,dividend disbursement
13,2018-12-05,DSSL,Sale Declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
14,2018-12-04,DSSL,Sale Confirmation of a Sponsor Director,0,1,0,sale confirmation of a sponsor director
15,2018-11-11,DSSL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
16,2018-11-11,DSSL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
17,2018-10-22,DSSL,Q1 Financials,0,0,0,q1 financials
18,2018-10-15,DSSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-09-13,DSSL,Resumption after record date,0,0,0,resumption after record date
20,2018-09-12,DSSL,Suspension for Record Date,0,0,0,suspension for record date
21,2018-09-10,DSSL,Spot News,0,0,0,spot news
22,2018-09-09,DSSL,Placing the shares in Public Market from Spot Market as per BSEC Order,0,0,0,placing the shares in public market from spot market as per bsec order
23,2018-08-19,DSSL,Placing the shares in compulsory Spot Market as per BSEC Order,0,1,0,placing the shares in compulsory spot market as per bsec order
24,2018-08-19,DSSL,Price Limit Open,0,1,0,price limit open
25,2018-08-19,DSSL,Dividend Declaration,0,1,0,dividend declaration
26,2018-08-09,DSSL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
28,2018-08-09,DSSL,Revaluation of Fixed Assets,0,0,0,revaluation of fixed assets
29,2018-08-07,DSSL,Query Response,1,0,0,query response
30,2018-07-09,DSSL,Query Response,1,1,0,query response
31,2018-07-04,DSSL,Query Response,1,1,0,query response
32,2018-06-06,DSSL,Resumption after record date,0,1,0,resumption after record date
33,2018-06-05,DSSL,Suspension for Record Date,0,0,1,suspension for record date
34,2018-06-03,DSSL,Spot for EGM,1,0,0,spot for egm
35,2018-05-23,DSSL,Price Limit Open,0,0,0,price limit open
36,2018-05-23,DSSL,Decision to issue Rights,0,0,0,decision to issue rights
37,2018-05-23,DSSL,Decision to issue Rights,0,0,0,decision to issue rights
38,2018-05-15,DSSL,Resumption after record date,0,0,0,resumption after record date
39,2018-05-14,DSSL,Suspension for Record Date,0,0,0,suspension for record date
40,2018-05-10,DSSL,Spot for EGM,1,0,0,spot for egm
41,2018-04-17,DSSL,EGM to raise Authorized Capital,0,0,0,egm to raise authorized capital
42,2018-04-17,DSSL,Q3 Financials,0,0,0,q3 financials
43,2018-04-10,DSSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
44,2018-04-08,DSSL,Sale confirmation of a Sponsor Director,0,1,0,sale confirmation of a sponsor director
45,2018-03-12,DSSL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
46,2018-03-11,DSSL,Fine Imposed on Sponsors & Directors of the Company,0,0,0,fine imposed on sponsors  directors of the company
47,2018-02-08,DSSL,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
48,2018-01-31,DSSL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
49,2018-01-15,DSSL,Q2 Financials,0,1,0,q2 financials
50,2018-01-08,DSSL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
51,2018-01-03,DSSL,Query Response,1,1,0,query response
52,2017-12-17,DSSL,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
53,2017-11-15,DSSL,Resumption after record date,0,0,0,resumption after record date
54,2017-11-14,DSSL,Suspension for Record Date,0,0,0,suspension for record date
55,2017-11-12,DSSL,Spot News,0,1,0,spot news
56,2017-11-06,DSSL,Q1 Financials,1,0,0,q1 financials
57,2017-10-29,DSSL,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
58,2017-10-29,DSSL,Dividend Declaration,1,1,1,dividend declaration
59,2017-10-29,DSSL,Price Limit Open,1,1,1,price limit open
60,2017-10-19,DSSL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
61,2017-04-30,DSSL,Q3 Financials,1,0,0,q3 financials
62,2017-04-24,DSSL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
63,2017-01-31,DSSL,Q2 Financials (Additional Information),1,1,0,q2 financials additional information
64,2017-01-30,DSSL,Q2 Financials,0,1,1,q2 financials
65,2017-01-23,DSSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
66,2017-01-19,DSSL,Query Response,1,0,0,query response
67,2016-12-11,DSSL,Query Response,0,1,0,query response
68,2016-12-04,DSSL,Prohibition on providing loan facilities to purchase securities,1,0,1,prohibition on providing loan facilities to purchase securities
69,2016-12-04,DSSL,Category Change,1,0,1,category change
70,2016-11-29,DSSL,Dividend Disbursement,0,1,0,dividend disbursement
71,2016-11-28,DSSL,Query Response,0,0,1,query response
72,2016-11-16,DSSL,Q1 Financials,0,0,0,q1 financials
73,2016-10-17,DSSL,18 Months Financials,0,0,0,18 months financials
74,2016-10-09,DSSL, Board Meeting,0,0,0,board meeting
75,2016-06-29,DSSL,Unaudited Financial Information,0,0,0,unaudited financial information
76,2016-05-29,DSSL,"Postponement of AGM and EGM, unchanged Record date",0,0,0,"postponement of agm and egm, unchanged record date"
77,2016-05-15,DSSL,Opening a Letter of Credit to Import Knitting Machineries,0,1,0,opening a letter of credit to import knitting machineries
78,2016-05-15,DSSL,Unaudited Financial Information,0,1,0,unaudited financial information
79,2016-05-12,DSSL,Resumption after Record date,0,0,0,resumption after record date
80,2016-05-11,DSSL,Resumption News after Record Date,1,0,0,resumption news after record date
81,2016-05-10,DSSL,Board Meeting,0,1,0,board meeting
82,2016-05-09,DSSL,Spot News for AGM & EGM,0,0,1,spot news for agm  egm
83,2016-04-20,DSSL,EGM for increasing Authorized Capital of the Company,0,0,0,egm for increasing authorized capital of the company
84,2016-04-20,DSSL,Price Limit Open,0,0,0,price limit open
85,2016-04-20,DSSL,Dividend Declaration and EGM,0,0,0,dividend declaration and egm
86,2016-04-12,DSSL,Board Meeting,1,1,0,board meeting
87,2016-03-31,DSSL,Board Meeting schedule under LR 19(1) (Revised Information),1,0,0,board meeting schedule under lr 191 revised information
88,2016-03-31,DSSL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
89,2016-03-23,DSSL,Q3 Financials (Repeat),0,0,0,q3 financials repeat
90,2016-03-23,DSSL,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
91,2016-03-23,DSSL,Trading of New Security,0,0,0,trading of new security
