,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-07,DUTCHBANGL,Confirmation of Share transfer of a Sponsor as per Court Order,0,0,0,confirmation of share transfer of a sponsor as per court order
1,2019-04-07,DUTCHBANGL,Resumption after record date,0,0,0,resumption after record date
2,2019-04-04,DUTCHBANGL,Decision to increase of Authorized Capital,0,0,0,decision to increase of authorized capital
3,2019-04-04,DUTCHBANGL,Suspension for Record Date,0,0,0,suspension for record date
4,2019-04-04,DUTCHBANGL,Decision to enhance increase of Authorized Capital,0,0,0,decision to enhance increase of authorized capital
5,2019-04-02,DUTCHBANGL,Spot News for AGM & EGM,0,0,0,spot news for agm  egm
6,2019-04-01,DUTCHBANGL,Share transfer of a Sponsor as per Court Order,1,0,0,share transfer of a sponsor as per court order
7,2019-04-01,DUTCHBANGL,Share transfer of a Sponsor as per Court Order,1,0,0,share transfer of a sponsor as per court order
8,2019-03-13,DUTCHBANGL,Price Limit Open,0,1,0,price limit open
10,2019-03-13,DUTCHBANGL,Dividend Declaration & increase of Authorized Capital,0,1,0,dividend declaration  increase of authorized capital
11,2019-03-05,DUTCHBANGL,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
12,2018-10-29,DUTCHBANGL,Q3 Financials,1,1,0,q3 financials
13,2018-10-23,DUTCHBANGL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
14,2018-09-30,DUTCHBANGL,Consent from BSEC for issuing Subordinated Bond,0,1,1,consent from bsec for issuing subordinated bond
15,2018-07-25,DUTCHBANGL,Q2 Financials,0,0,0,q2 financials
16,2018-07-19,DUTCHBANGL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-06-12,DUTCHBANGL,Credit Rating Result,0,0,0,credit rating result
18,2018-05-13,DUTCHBANGL,Q1 Financials,0,0,0,q1 financials
19,2018-05-07,DUTCHBANGL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
20,2018-04-18,DUTCHBANGL,Dividend Disbursement,1,0,0,dividend disbursement
21,2018-03-14,DUTCHBANGL,Resumption after record date,0,1,0,resumption after record date
22,2018-03-13,DUTCHBANGL,Suspension for Record Date,0,0,1,suspension for record date
23,2018-03-11,DUTCHBANGL,Spot News,0,0,0,spot news
24,2018-02-25,DUTCHBANGL,Price Limit Open,0,0,0,price limit open
25,2018-02-25,DUTCHBANGL,Dividend Declaration,0,0,0,dividend declaration
26,2018-02-15,DUTCHBANGL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
28,2017-12-28,DUTCHBANGL,Issuance of 2nd Subordinated Bond,1,0,0,issuance of 2nd subordinated bond
29,2017-10-30,DUTCHBANGL,Q3 Financials,0,0,1,q3 financials
30,2017-10-23,DUTCHBANGL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-10-16,DUTCHBANGL,Query Response,0,0,1,query response
32,2017-07-27,DUTCHBANGL,Q2 Financials,1,0,0,q2 financials
33,2017-07-20,DUTCHBANGL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
34,2017-06-14,DUTCHBANGL,Credit Rating Result,0,0,0,credit rating result
35,2017-05-08,DUTCHBANGL,Q1 Financials,0,1,0,q1 financials
36,2017-05-02,DUTCHBANGL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
38,2017-04-16,DUTCHBANGL,BSEC accorded Consent for issuance of subordinated bond,0,0,1,bsec accorded consent for issuance of subordinated bond
39,2017-04-10,DUTCHBANGL,Dividend Disbursement,0,0,0,dividend disbursement
40,2017-03-15,DUTCHBANGL,Resumption after record date,0,0,0,resumption after record date
41,2017-03-12,DUTCHBANGL,Spot News,1,0,1,spot news
42,2017-02-23,DUTCHBANGL,Price Limit Open,0,0,0,price limit open
43,2017-02-23,DUTCHBANGL,Dividend Declaration,0,0,0,dividend declaration
44,2016-11-10,DUTCHBANGL,Appointment of Managing Director,0,0,0,appointment of managing director
45,2016-10-31,DUTCHBANGL,Q3 Financials,0,1,0,q3 financials
46,2016-10-24,DUTCHBANGL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
47,2016-07-31,DUTCHBANGL,Increasing Issuance of Subordinated,1,1,1,increasing issuance of subordinated
48,2016-07-31,DUTCHBANGL,Q2 Financials,1,1,1,q2 financials
49,2016-07-25,DUTCHBANGL,Board Meeting,0,0,0,board meeting
50,2016-06-26,DUTCHBANGL,Credit Rating result,1,1,1,credit rating result
51,2016-05-08,DUTCHBANGL,Issuance of Subordinated Bond,0,0,1,issuance of subordinated bond
52,2016-05-08,DUTCHBANGL,Q1,0,0,1,q1
53,2016-04-10,DUTCHBANGL,Dividend Disbursement,1,1,1,dividend disbursement
54,2016-03-15,DUTCHBANGL,Resumption after Record date,0,1,0,resumption after record date
55,2016-03-14,DUTCHBANGL,Suspension for Record date,0,0,1,suspension for record date
56,2016-03-10,DUTCHBANGL,Spot for AGM,1,0,0,spot for agm
57,2016-02-24,DUTCHBANGL,Price Limit Open,0,1,0,price limit open
58,2016-02-24,DUTCHBANGL,Dividend Declaration,0,1,0,dividend declaration
59,2016-02-17,DUTCHBANGL,Board Meeting,1,0,0,board meeting
60,2015-10-28,DUTCHBANGL,Q3 Financials,0,1,0,q3 financials
61,2015-10-21,DUTCHBANGL,Change of Board Meeting schedule under LR 16(1),1,0,0,change of board meeting schedule under lr 161
62,2015-10-19,DUTCHBANGL,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
63,2015-07-27,DUTCHBANGL,Half Yearly Financials (Correction),0,0,1,half yearly financials correction
64,2015-07-27,DUTCHBANGL,Half Yearly Financials,0,0,1,half yearly financials
65,2015-06-22,DUTCHBANGL,Credit Rating result,1,1,1,credit rating result
66,2015-04-30,DUTCHBANGL,Q1,1,0,0,q1
67,2015-04-15,DUTCHBANGL,credited cash dividend,1,1,0,credited cash dividend
68,2015-03-15,DUTCHBANGL,Resumption News after Record Date,0,0,0,resumption news after record date
69,2015-03-12,DUTCHBANGL,Suspension News for Record date,0,0,0,suspension news for record date
70,2015-03-10,DUTCHBANGL,Spot News for AGM,0,0,0,spot news for agm
71,2015-03-04,DUTCHBANGL,Price Limit Open,0,0,0,price limit open
72,2015-03-04,DUTCHBANGL,Dividend Declaration,0,0,0,dividend declaration
73,2015-02-26,DUTCHBANGL,Board Meeting schedule under LR 30,1,0,0,board meeting schedule under lr 30
74,2014-10-30,DUTCHBANGL,Q3 Earnings,1,0,0,q3 earnings
75,2014-07-24,DUTCHBANGL,H/Y Earnings,0,0,0,hy earnings
76,2014-06-17,DUTCHBANGL,Credit Rating,1,1,0,credit rating
77,2014-05-06,DUTCHBANGL,Q1 Earning,0,0,1,q1 earning
78,2014-04-13,DUTCHBANGL,cash dividend credited,1,0,1,cash dividend credited
79,2014-04-09,DUTCHBANGL,elected Chairman,1,1,0,elected chairman
80,2014-03-27,DUTCHBANGL,AGM Rescheduled,1,0,0,agm rescheduled
81,2014-03-13,DUTCHBANGL,trade resume,0,0,0,trade resume
82,2014-03-12,DUTCHBANGL,trade suspension,1,0,0,trade suspension
83,2014-03-09,DUTCHBANGL,trade suspension on record date,0,0,0,trade suspension on record date
84,2014-03-04,DUTCHBANGL,recommended 40% cash dividend,1,0,0,recommended 40 cash dividend
85,2014-03-04,DUTCHBANGL,no price limit,1,0,0,no price limit
86,2014-03-02,DUTCHBANGL,Board Meeting,1,0,1,board meeting
87,2013-10-27,DUTCHBANGL,Q3 Earnings,0,0,1,q3 earnings
88,2013-07-28,DUTCHBANGL,Q2 Earnings,0,0,0,q2 earnings
89,2013-06-16,DUTCHBANGL,Credit Rating,1,1,1,credit rating
90,2013-05-15,DUTCHBANGL,Credited Cash Dividend,0,1,0,credited cash dividend
91,2013-05-12,DUTCHBANGL,Q1 Earnings,1,0,1,q1 earnings
92,2013-04-03,DUTCHBANGL,trade resume after record date,0,0,0,trade resume after record date
93,2013-04-02,DUTCHBANGL,trade suspension on record date,1,0,0,trade suspension on record date
94,2013-03-28,DUTCHBANGL,spot market trading,1,0,0,spot market trading
95,2013-03-24,DUTCHBANGL,Corporate declaration,1,0,0,corporate declaration
96,2013-03-24,DUTCHBANGL,no price limit,1,0,0,no price limit
97,2013-03-21,DUTCHBANGL,no price limit,0,0,0,no price limit
98,2013-03-21,DUTCHBANGL,Corporate declaration,0,0,0,corporate declaration
99,2013-02-27,DUTCHBANGL,Subordinated Bond issue,0,1,0,subordinated bond issue
100,2012-11-07,DUTCHBANGL,Q3 Earnings 2012,0,1,0,q3 earnings 2012
101,2012-07-26,DUTCHBANGL,- (H/Y): As per un-audited half yearly accounts...,1,0,0,hy: as per un-audited half yearly accounts
102,2012-05-03,DUTCHBANGL,- (Q1): As per un-audited quarterly accounts...,0,0,0,q1: as per un-audited quarterly accounts
103,2012-04-16,DUTCHBANGL,- The Company has informed...,0,1,0,the company has informed
104,2012-04-01,DUTCHBANGL,- SEC has formed an enquiry committee...,1,1,0,sec has formed an enquiry committee
105,2011-10-26,DUTCHBANGL,- As per un-audited...,0,0,0,as per un-audited
106,2011-10-17,DUTCHBANGL,- Normal trading of the shares...,0,0,1,normal trading of the shares
107,2011-10-16,DUTCHBANGL,- Trading of the shares...,0,0,0,trading of the shares
108,2011-10-11,DUTCHBANGL,- Trading of the shares...,0,1,0,trading of the shares
109,2011-10-05,DUTCHBANGL,- The Bank has informed...,1,0,0,the bank has informed
110,2011-08-07,DUTCHBANGL,- In response to a DSE query...,0,1,0,in response to a dse query
111,2011-07-25,DUTCHBANGL,- (H/Y): As per audited...,0,0,0,hy: as per audited
112,2011-07-06,DUTCHBANGL,- In response to a DSE query...,1,1,0,in response to a dse query
