,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,EASTERNINS,Q1 Financials,1,1,0,q1 financials
1,2019-04-29,EASTERNINS,Price Limit Open,1,1,0,price limit open
2,2019-04-29,EASTERNINS,Dividend Declaration,1,1,0,dividend declaration
3,2019-04-21,EASTERNINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-04-21,EASTERNINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
5,2019-01-17,EASTERNINS,Query Response,1,0,0,query response
6,2018-10-28,EASTERNINS,Q3 Financials,0,1,1,q3 financials
7,2018-10-22,EASTERNINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-08-28,EASTERNINS,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
9,2018-07-22,EASTERNINS,Q2 Financials,0,0,1,q2 financials
10,2018-07-17,EASTERNINS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
11,2018-05-29,EASTERNINS,Resumption after record date,0,1,0,resumption after record date
12,2018-05-28,EASTERNINS,Suspension for Record Date,0,0,1,suspension for record date
13,2018-05-24,EASTERNINS,Spot News,0,0,0,spot news
14,2018-04-26,EASTERNINS,Q1 Financials,0,0,0,q1 financials
15,2018-04-26,EASTERNINS,Price Limit Open,0,0,0,price limit open
16,2018-04-26,EASTERNINS,Dividend Declaration,0,0,0,dividend declaration
17,2018-04-23,EASTERNINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2018-04-17,EASTERNINS,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
19,2017-12-21,EASTERNINS,Credit Rating Result,0,0,0,credit rating result
20,2017-10-29,EASTERNINS,Q3 Financials,1,0,1,q3 financials
21,2017-10-22,EASTERNINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2017-08-30,EASTERNINS,Dividend Disbursement,1,1,0,dividend disbursement
23,2017-07-31,EASTERNINS,Q2 Financials,1,1,0,q2 financials
24,2017-07-20,EASTERNINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
26,2017-07-19,EASTERNINS,Basis for Qualified Opinion,0,1,0,basis for qualified opinion
27,2017-07-04,EASTERNINS,Confirmation of transfer by a Sponsor Director,1,1,1,confirmation of transfer by a sponsor director
28,2017-06-18,EASTERNINS,Declaration of transfer by a Sponsor Director,0,1,1,declaration of transfer by a sponsor director
29,2017-06-07,EASTERNINS,Resumption after Record Date,0,1,0,resumption after record date
30,2017-06-06,EASTERNINS,Suspension for Record Date,1,0,1,suspension for record date
31,2017-06-04,EASTERNINS,Spot News,1,1,1,spot news
32,2017-05-15,EASTERNINS,Q1 Financials,1,0,1,q1 financials
33,2017-05-07,EASTERNINS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
34,2017-04-30,EASTERNINS,Price Limit Open,1,0,0,price limit open
35,2017-04-30,EASTERNINS,Dividend Declaration,1,0,0,dividend declaration
36,2017-04-19,EASTERNINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
37,2017-01-10,EASTERNINS,Credit Rating Result,1,1,0,credit rating result
38,2016-10-30,EASTERNINS,Q3 Financials,0,0,0,q3 financials
39,2016-10-24,EASTERNINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
