,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,EASTLAND,Buy Declaration of a Sponsor,1,1,0,buy declaration of a sponsor
1,2019-04-24,EASTLAND,Price Limit Open,0,0,0,price limit open
2,2019-04-24,EASTLAND,Dividend Declaration,0,0,0,dividend declaration
3,2019-04-15,EASTLAND,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
4,2019-01-27,EASTLAND,Query Response (Repeat),0,0,0,query response repeat
5,2019-01-24,EASTLAND,Query Response,0,0,0,query response
6,2018-10-31,EASTLAND,Q3 Financials,1,0,0,q3 financials
7,2018-10-23,EASTLAND,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
8,2018-09-18,EASTLAND,Credit Rating Result,1,0,0,credit rating result
9,2018-07-26,EASTLAND,Q2 Financials,1,0,0,q2 financials
10,2018-07-23,EASTLAND,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
11,2018-07-15,EASTLAND,Dividend Disbursement,0,1,0,dividend disbursement
12,2018-05-15,EASTLAND,Resumption after record date,0,1,0,resumption after record date
13,2018-05-14,EASTLAND,Suspension for Record Date,0,0,1,suspension for record date
14,2018-05-14,EASTLAND,Q1 Financials,0,0,1,q1 financials
15,2018-05-10,EASTLAND,Spot News,0,0,0,spot news
16,2018-05-07,EASTLAND,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-04-22,EASTLAND,Price Limit Open,0,0,0,price limit open
18,2018-04-22,EASTLAND,Dividend Declaration,0,0,0,dividend declaration
19,2018-04-12,EASTLAND,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
20,2017-10-29,EASTLAND,Q3 Financials,1,1,1,q3 financials
21,2017-10-23,EASTLAND,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
22,2017-08-24,EASTLAND,Buy confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
23,2017-08-16,EASTLAND,Confirmation of receipt by a Sponsor,1,0,0,confirmation of receipt by a sponsor
24,2017-08-09,EASTLAND,Declaration of receipt by a Sponsor,0,1,0,declaration of receipt by a sponsor
25,2017-07-27,EASTLAND,Q2 Financials,0,0,0,q2 financials
26,2017-07-23,EASTLAND,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-07-20,EASTLAND,Buy declaration of a Sponsor,1,0,0,buy declaration of a sponsor
