,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,EASTRNLUB,Q3 Financials,1,0,0,q3 financials
1,2019-04-21,EASTRNLUB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-03-31,EASTRNLUB,Query Response,1,0,0,query response
3,2019-02-11,EASTRNLUB,Dividend Disbursement,1,0,0,dividend disbursement
4,2019-01-30,EASTRNLUB,Q2 Financials,0,1,0,q2 financials
5,2019-01-22,EASTRNLUB,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
6,2018-12-24,EASTRNLUB,Appointment of Managing Director,1,0,0,appointment of managing director
7,2018-12-03,EASTRNLUB,Resumption after record date,0,1,0,resumption after record date
8,2018-12-02,EASTRNLUB,Suspension for Record date,0,0,1,suspension for record date
9,2018-11-28,EASTRNLUB,Spot News,0,0,0,spot news
10,2018-11-11,EASTRNLUB,Q1 Financials,0,0,1,q1 financials
11,2018-11-11,EASTRNLUB,Price Limit Open,0,0,1,price limit open
12,2018-11-11,EASTRNLUB,Dividend Declaration,0,0,1,dividend declaration
13,2018-11-01,EASTRNLUB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2018-11-01,EASTRNLUB,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
15,2018-10-14,EASTRNLUB,Appointment of Chairman,0,1,0,appointment of chairman
16,2018-10-10,EASTRNLUB,Query Response,0,0,0,query response
17,2018-07-22,EASTRNLUB,Query Response,0,1,0,query response
18,2018-06-10,EASTRNLUB,Query Response (Repeat News),1,0,1,query response repeat news
19,2018-06-07,EASTRNLUB,Query Response,1,0,0,query response
20,2018-05-20,EASTRNLUB,Elected Chairman,0,0,0,elected chairman
21,2018-04-23,EASTRNLUB,Q3 Financials,0,0,0,q3 financials
22,2018-04-12,EASTRNLUB,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2018-04-12,EASTRNLUB,Query Response,1,0,0,query response
24,2018-02-27,EASTRNLUB,Dividend Disbursement,1,0,0,dividend disbursement
25,2018-01-28,EASTRNLUB,Q2 Financials,0,0,0,q2 financials
26,2018-01-21,EASTRNLUB,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
27,2017-12-04,EASTRNLUB,Resumption after record date,0,0,0,resumption after record date
28,2017-12-03,EASTRNLUB,Suspension for Record Date,0,0,0,suspension for record date
29,2017-11-29,EASTRNLUB,Spot News,1,0,0,spot news
30,2017-11-12,EASTRNLUB,Q1 Financials,0,1,0,q1 financials
31,2017-11-12,EASTRNLUB,Q1 Financials,0,1,0,q1 financials
32,2017-11-12,EASTRNLUB,Disregard the news,0,1,0,disregard the news
33,2017-11-12,EASTRNLUB,Q1 Financials,0,1,0,q1 financials
34,2017-11-12,EASTRNLUB,Price Limit Open,0,1,0,price limit open
35,2017-11-12,EASTRNLUB,Dividend Declaration,0,1,0,dividend declaration
36,2017-10-30,EASTRNLUB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
37,2017-10-30,EASTRNLUB,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
38,2017-10-16,EASTRNLUB,Query Response,1,0,1,query response
39,2017-04-30,EASTRNLUB,Q3 Financials,0,0,1,q3 financials
40,2017-04-20,EASTRNLUB,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
41,2017-01-22,EASTRNLUB,Furnishing e-TIN Number and Information relating to Margin Loan,0,0,0,furnishing e-tin number and information relating to margin loan
42,2017-01-22,EASTRNLUB,Q2 Financials,0,0,0,q2 financials
43,2017-01-16,EASTRNLUB,Board Meeting,0,1,0,board meeting
44,2017-01-08,EASTRNLUB,Appointment of Chairman,0,1,0,appointment of chairman
45,2017-01-05,EASTRNLUB,Query Response,1,0,0,query response
46,2016-12-22,EASTRNLUB,Q1 Financials (Repeat),1,0,0,q1 financials repeat
47,2016-12-18,EASTRNLUB,Resumption after record,1,1,1,resumption after record
48,2016-12-15,EASTRNLUB,Suspension for Record Date,0,0,0,suspension for record date
49,2016-12-12,EASTRNLUB,Spot for AGM,1,0,0,spot for agm
50,2016-11-13,EASTRNLUB,Q1 Financials,0,0,0,q1 financials
51,2016-11-13,EASTRNLUB,Q1 Financials,0,0,0,q1 financials
52,2016-11-13,EASTRNLUB,Price Limit Open,0,0,0,price limit open
53,2016-11-13,EASTRNLUB,Dividend Declaration,0,0,0,dividend declaration
54,2016-11-13,EASTRNLUB,Price Limit Open,0,0,0,price limit open
55,2016-11-13,EASTRNLUB,Dividend Declaration,0,0,0,dividend declaration
56,2016-11-01,EASTRNLUB,Board Meeting,1,1,0,board meeting
57,2016-11-01,EASTRNLUB,Board Meeting,1,1,0,board meeting
58,2016-04-26,EASTRNLUB,Q3 Financials,0,0,1,q3 financials
59,2016-04-20,EASTRNLUB,Board Meeting,1,1,0,board meeting
60,2016-03-13,EASTRNLUB,Query Response,0,0,0,query response
61,2016-02-28,EASTRNLUB,Election of Chairman,1,0,0,election of chairman
62,2016-02-04,EASTRNLUB,Dividend Disbursement,1,0,0,dividend disbursement
63,2016-01-17,EASTRNLUB,Q2,0,0,0,q2
64,2015-12-10,EASTRNLUB,Special Resolution for AGM,0,0,0,special resolution for agm
65,2015-12-02,EASTRNLUB,Resumption after Record date,0,0,0,resumption after record date
66,2015-12-01,EASTRNLUB,Suspension for Record Date,0,0,0,suspension for record date
67,2015-11-29,EASTRNLUB,Spot for AGM,0,0,0,spot for agm
68,2015-11-12,EASTRNLUB,Q1 Financials,0,0,0,q1 financials
69,2015-11-11,EASTRNLUB,Furnishing 12 digit e-TIN,0,0,0,furnishing 12 digit e-tin
70,2015-11-11,EASTRNLUB,Price Limit Open,0,0,0,price limit open
71,2015-11-11,EASTRNLUB,Dividend Declaration,0,0,0,dividend declaration
72,2015-11-02,EASTRNLUB,Board Meeting,0,0,0,board meeting
73,2015-11-02,EASTRNLUB,Board Meeting,0,0,0,board meeting
74,2015-08-12,EASTRNLUB,Query Response,1,0,0,query response
75,2015-04-27,EASTRNLUB,Q3,0,0,0,q3
76,2015-02-18,EASTRNLUB,Dividend Disbursement,0,0,0,dividend disbursement
77,2015-01-26,EASTRNLUB,Half Yearly Financials,1,0,1,half yearly financials
78,2015-01-14,EASTRNLUB,new Chairman,0,1,0,new chairman
79,2014-12-28,EASTRNLUB,sole distributorship of Japan Solartech,0,1,0,sole distributorship of japan solartech
80,2014-11-25,EASTRNLUB,trade resume,0,0,1,trade resume
81,2014-11-24,EASTRNLUB,trade suspension,1,0,0,trade suspension
82,2014-11-20,EASTRNLUB,Spot Market and Block/Odd lot transactions,0,0,0,spot market and blockodd lot transactions
83,2014-11-12,EASTRNLUB,Q1,1,0,0,q1
84,2014-11-10,EASTRNLUB,no price limit,1,0,1,no price limit
