,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ECABLES,Q3 Financials,1,0,0,q3 financials
1,2019-04-24,ECABLES,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-04-09,ECABLES,Query Response,1,0,1,query response
3,2019-03-06,ECABLES,Dividend Disbursement for 2017,1,0,0,dividend disbursement for 2017
4,2019-03-05,ECABLES,Prohibition on providing loan facilities to purchase securities,1,1,0,prohibition on providing loan facilities to purchase securities
5,2019-03-05,ECABLES,Category Change,1,1,0,category change
6,2019-03-05,ECABLES,Dividend Disbursement,1,1,0,dividend disbursement
7,2019-01-27,ECABLES,Q2 Financials,1,1,0,q2 financials
8,2019-01-22,ECABLES,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
9,2018-12-24,ECABLES,Q1 Financials,0,0,0,q1 financials
10,2018-12-24,ECABLES,Resumption after record date,0,0,0,resumption after record date
11,2018-12-23,ECABLES,Suspension for Record date,0,0,0,suspension for record date
12,2018-12-09,ECABLES,Spot News,1,1,0,spot news
13,2018-12-03,ECABLES,Price Limit Open,0,0,0,price limit open
14,2018-12-03,ECABLES,Dividend Declaration,0,0,0,dividend declaration
15,2018-11-26,ECABLES,"Board meeting to consider audited accounts, declare dividend and AGM",1,0,1,"board meeting to consider audited accounts, declare dividend and agm"
16,2018-10-31,ECABLES,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-07-02,ECABLES,Postponement of AGM of the Company,0,0,0,postponement of agm of the company
18,2018-06-18,ECABLES,Date of the AGM,1,0,0,date of the agm
19,2018-05-20,ECABLES,Prohibition on providing loan facilities to purchase securities,0,0,1,prohibition on providing loan facilities to purchase securities
21,2018-05-20,ECABLES,Category Change,0,0,1,category change
22,2018-05-13,ECABLES,Time extension for holding AGM by the RJSC,0,1,0,time extension for holding agm by the rjsc
23,2018-04-26,ECABLES,Q3 Financials,0,0,0,q3 financials
24,2018-04-23,ECABLES,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
25,2018-02-20,ECABLES,Sale Confirmation of a Director,0,0,1,sale confirmation of a director
26,2018-01-31,ECABLES,Q2 Financials,0,0,0,q2 financials
27,2018-01-25,ECABLES,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
28,2018-01-11,ECABLES,Postponement of AGM of the Company,0,0,0,postponement of agm of the company
29,2017-11-30,ECABLES,Resumption after record date,0,0,0,resumption after record date
30,2017-11-29,ECABLES,Suspension for Record Date,0,0,0,suspension for record date
31,2017-11-27,ECABLES,Spot News,0,0,0,spot news
32,2017-11-22,ECABLES,Query Response (Repeat News),1,0,0,query response repeat news
33,2017-11-20,ECABLES,Query Response,1,1,1,query response
34,2017-11-16,ECABLES,Sale declaration of a Director,1,0,0,sale declaration of a director
35,2017-11-09,ECABLES,Q1 Financials,1,0,0,q1 financials
36,2017-11-09,ECABLES,Price Limit Open,1,0,0,price limit open
37,2017-11-09,ECABLES,Dividend Declaration,1,0,0,dividend declaration
38,2017-11-05,ECABLES,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
39,2017-10-31,ECABLES,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
40,2017-04-23,ECABLES,Q3 Financials,0,1,0,q3 financials
41,2017-04-17,ECABLES,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
42,2017-04-11,ECABLES,Contract Signing to purchase machinery,0,1,0,contract signing to purchase machinery
43,2017-03-02,ECABLES,Dividend Disbursement,0,0,0,dividend disbursement
44,2017-01-22,ECABLES,Q2 Financials,0,0,0,q2 financials
45,2017-01-16,ECABLES,Qualified Opinion,0,1,0,qualified opinion
46,2016-12-06,ECABLES,Suspension for Record Date,0,1,1,suspension for record date
47,2016-12-05,ECABLES,Suspension for Record Date,1,0,1,suspension for record date
48,2016-12-01,ECABLES,Spot for AGM,0,0,0,spot for agm
49,2016-11-15,ECABLES,Q1 Financials,1,0,1,q1 financials
50,2016-11-15,ECABLES,Price Limit Open,1,0,1,price limit open
51,2016-11-15,ECABLES,Dividend Declaration,1,0,1,dividend declaration
52,2016-11-08,ECABLES,both Board Meeting,1,0,0,both board meeting
53,2016-08-02,ECABLES,Query Response,0,0,0,query response
54,2016-05-02,ECABLES,Q3 Financials,0,1,0,q3 financials
55,2016-04-25,ECABLES,Board Meeting,1,1,0,board meeting
56,2016-04-17,ECABLES,Query Response,1,1,0,query response
57,2016-04-13,ECABLES,Query Response,1,0,0,query response
58,2016-03-02,ECABLES,Dividend Disbursement,0,0,0,dividend disbursement
59,2016-01-18,ECABLES,Q2,0,0,0,q2
60,2016-01-12,ECABLES,Board Meeting,0,0,0,board meeting
61,2015-12-17,ECABLES,Resumption after Record date,0,0,0,resumption after record date
62,2015-12-15,ECABLES,Suspension for Record Date,1,0,0,suspension for record date
63,2015-12-13,ECABLES,Spot for AGM,0,0,1,spot for agm
64,2015-11-22,ECABLES,Price Limit Open,0,1,0,price limit open
65,2015-11-22,ECABLES,Dividend Declaration,0,1,0,dividend declaration
66,2015-11-11,ECABLES,Q1 Financials,0,1,0,q1 financials
67,2015-11-11,ECABLES,Revised Board meeting,0,1,0,revised board meeting
68,2015-11-04,ECABLES,Address Change of Registered Office,0,0,0,address change of registered office
69,2015-11-03,ECABLES,Board Meeting,1,0,0,board meeting
70,2015-07-08,ECABLES,Query Response,0,0,0,query response
71,2015-05-04,ECABLES,Q3,0,1,0,q3
72,2015-03-29,ECABLES,Contract signing for purchasing new machineries,0,1,1,contract signing for purchasing new machineries
73,2015-03-15,ECABLES,Query Response,1,1,0,query response
74,2015-01-14,ECABLES,Q2 earnings,1,0,0,q2 earnings
75,2015-01-05,ECABLES, will resume,0,0,1,will resume
76,2015-01-01,ECABLES,trade suspension on record date,0,0,0,trade suspension on record date
77,2014-12-29,ECABLES,Spot Market and Block/Odd lot transactions,0,0,0,spot market and blockodd lot transactions
78,2014-12-22,ECABLES,no price limit today,1,0,0,no price limit today
79,2014-12-22,ECABLES,10% cash dividend,1,0,0,10 cash dividend
80,2014-12-18,ECABLES,meeting of the Board of Directors,1,0,0,meeting of the board of directors
81,2014-11-09,ECABLES,Q1,0,0,1,q1
82,2014-09-25,ECABLES,Fixed Asset Acquisition,0,0,0,fixed asset acquisition
83,2014-04-29,ECABLES,Q3 Earning,0,1,0,q3 earning
84,2014-04-07,ECABLES,category changed,0,0,0,category changed
85,2014-03-16,ECABLES,no undisclosed information,1,0,0,no undisclosed information
86,2014-02-24,ECABLES,CSE query,1,0,1,cse query
87,2014-01-22,ECABLES,H/Y Earnings,0,0,0,hy earnings
88,2013-12-29,ECABLES,trade resume,0,1,0,trade resume
89,2013-12-26,ECABLES,trade suspension,0,0,0,trade suspension
90,2013-12-11,ECABLES,spot market trade,0,0,0,spot market trade
91,2013-12-08,ECABLES,10% cash dividend,1,0,0,10 cash dividend
92,2013-12-08,ECABLES,no price limit,1,0,0,no price limit
93,2013-12-02,ECABLES,Board meeting,1,1,0,board meeting
94,2013-11-10,ECABLES,Q1 earnings,0,1,1,q1 earnings
95,2013-10-27,ECABLES,Fixed Asset Acquisition,1,1,1,fixed asset acquisition
96,2013-07-21,ECABLES,DSE News,0,0,1,dse news
97,2013-07-21,ECABLES,Category Change,0,0,1,category change
98,2013-07-18,ECABLES,Trade Suspension,0,0,0,trade suspension
99,2013-05-13,ECABLES,trade suspension,1,0,0,trade suspension
100,2013-05-08,ECABLES,Spot Market Trading,1,1,0,spot market trading
101,2013-05-05,ECABLES,Corporate Declaration,1,0,1,corporate declaration
102,2013-04-28,ECABLES,Q3 earnings,0,0,0,q3 earnings
103,2013-02-06,ECABLES,adjourned meeting,1,1,0,adjourned meeting
104,2013-01-29,ECABLES,H/Y Earnings 2012-13,0,0,1,hy earnings 2012-13
105,2012-11-06,ECABLES,Q1 Earnings 2012,1,0,0,q1 earnings 2012
106,2012-06-12,ECABLES,- Normal trading...,0,0,1,normal trading
107,2012-06-11,ECABLES,- Trading of the shares...,0,0,0,trading of the shares
108,2012-04-25,ECABLES,- As per un-audited quarterly accounts...,0,1,0,as per un-audited quarterly accounts
109,2012-01-30,ECABLES,- As per un-audited...,1,0,0,as per un-audited
110,2011-11-13,ECABLES,- As per un-audited...,1,1,0,as per un-audited
111,2011-10-31,ECABLES,- Normal trading of the shares...,0,1,0,normal trading of the shares
112,2011-10-30,ECABLES,- Trading of the shares...,0,0,1,trading of the shares
113,2011-10-25,ECABLES,- Trading of the shares...,1,1,0,trading of the shares
114,2011-10-18,ECABLES,- The Company has informed...,0,1,0,the company has informed
115,2011-08-08,ECABLES,- SEC has issued show cause...,1,0,0,sec has issued show cause
116,2011-08-08,ECABLES,- The company will be placed...,1,0,0,the company will be placed
117,2011-08-08,ECABLES,- The Stock Brokers and Merchant...,1,0,0,the stock brokers and merchant
