,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-03-27,EMERALDOIL,Fine Imposed in connection with noncompliance of securities laws,0,0,0,fine imposed in connection with noncompliance of securities laws
2,2019-02-27,EMERALDOIL,BSEC Directive to freeze securities of Emerald Oil Industries Ltd.,0,0,0,bsec directive to freeze securities of emerald oil industries ltd.
3,2019-02-05,EMERALDOIL,Query Response,0,1,0,query response
4,2019-01-06,EMERALDOIL,Query Response,0,0,1,query response
5,2018-12-20,EMERALDOIL,Query Response,1,0,0,query response
6,2018-10-22,EMERALDOIL,Query Response,1,0,0,query response
7,2018-01-01,EMERALDOIL,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
8,2018-01-01,EMERALDOIL,Category Change,0,1,0,category change
9,2017-12-27,EMERALDOIL,Query Response,0,0,0,query response
10,2017-12-24,EMERALDOIL,Query Response,1,0,0,query response
11,2017-11-16,EMERALDOIL,Address Change of Head Office,0,0,0,address change of head office
12,2017-05-02,EMERALDOIL,Q3 Financials,0,0,1,q3 financials
13,2017-04-25,EMERALDOIL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
15,2017-04-11,EMERALDOIL,Response to DSE's query,1,1,0,response to dse's query
16,2017-02-01,EMERALDOIL,Q2 Financials,1,1,0,q2 financials
17,2017-01-25,EMERALDOIL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
18,2017-01-23,EMERALDOIL,Dividend Disbursement,0,0,1,dividend disbursement
19,2017-01-15,EMERALDOIL,Address Change of Head Office,0,0,0,address change of head office
20,2017-01-15,EMERALDOIL,Basis for Qualified Opinion & Emphasis of Matter,0,0,0,basis for qualified opinion  emphasis of matter
21,2017-01-15,EMERALDOIL,Basis for Qualified Opinion & Emphasis of Matter,0,0,0,basis for qualified opinion  emphasis of matter
22,2016-12-29,EMERALDOIL,Appointment of Chief Executive Officer,1,0,0,appointment of chief executive officer
23,2016-12-21,EMERALDOIL,Response to DSE's query,1,0,0,response to dse's query
24,2016-12-18,EMERALDOIL,Resumption after record date,1,1,1,resumption after record date
25,2016-12-15,EMERALDOIL,Suspension for Record Date,0,0,0,suspension for record date
26,2016-12-12,EMERALDOIL,Spot for AGM,1,0,1,spot for agm
27,2016-11-27,EMERALDOIL,Q1 Financials,0,1,0,q1 financials
28,2016-11-27,EMERALDOIL,Dividend Declaration,0,1,0,dividend declaration
29,2016-11-20,EMERALDOIL,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
30,2016-08-17,EMERALDOIL,Closure of Production of the Company,0,1,0,closure of production of the company
31,2016-04-24,EMERALDOIL,Board Meeting,0,0,1,board meeting
32,2016-03-16,EMERALDOIL,Buy Completion of a Sponsor,0,0,0,buy completion of a sponsor
33,2016-02-22,EMERALDOIL,Completion of sale by a Sponsor,0,0,0,completion of sale by a sponsor
