,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ENVOYTEX,Q3 Financials,0,0,0,q3 financials
1,2019-04-24,ENVOYTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-01-31,ENVOYTEX,Q2 Financials,0,0,0,q2 financials
3,2019-01-24,ENVOYTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-20,ENVOYTEX,Dividend Disbursement,0,1,1,dividend disbursement
5,2018-11-14,ENVOYTEX,Resumption after Record Date,0,0,0,resumption after record date
6,2018-11-13,ENVOYTEX,Suspension for Record Date,0,0,0,suspension for record date
7,2018-11-11,ENVOYTEX,Spot News,0,0,0,spot news
8,2018-11-04,ENVOYTEX,Q1 Financials,1,0,1,q1 financials
9,2018-10-30,ENVOYTEX,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
10,2018-10-14,ENVOYTEX,Price Limit Open,1,1,1,price limit open
11,2018-10-14,ENVOYTEX,Dividend Declaration,1,1,1,dividend declaration
12,2018-10-04,ENVOYTEX,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
13,2018-09-16,ENVOYTEX,Credit Rating Result,1,1,1,credit rating result
14,2018-04-30,ENVOYTEX,Q3 Financials,0,0,0,q3 financials
15,2018-04-23,ENVOYTEX,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
16,2018-01-29,ENVOYTEX,Q2 Financials,0,0,0,q2 financials
17,2018-01-23,ENVOYTEX,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
20,2018-01-17,ENVOYTEX,Consent accorded by BSEC for issuing a 5-year series Zero Coupon Bond,0,1,0,consent accorded by bsec for issuing a 5-year series zero coupon bond
21,2018-01-16,ENVOYTEX,Dividend Disbursement,1,0,1,dividend disbursement
22,2017-11-15,ENVOYTEX,Resumption after record date,0,1,0,resumption after record date
23,2017-11-14,ENVOYTEX,Suspension for Record Date,0,0,1,suspension for record date
24,2017-11-12,ENVOYTEX,Spot News,1,0,0,spot news
25,2017-11-12,ENVOYTEX,Q1 Financials,1,0,0,q1 financials
26,2017-11-05,ENVOYTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-10-12,ENVOYTEX,Price Limit Open,0,0,0,price limit open
28,2017-10-12,ENVOYTEX,Dividend Declaration,0,0,0,dividend declaration
29,2017-10-04,ENVOYTEX,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
30,2017-08-27,ENVOYTEX,Credit Rating Result,1,1,1,credit rating result
31,2017-06-18,ENVOYTEX,Issuance of Zero Coupon Bond,0,1,1,issuance of zero coupon bond
32,2017-06-18,ENVOYTEX,Issuance of Zero Coupon Bond,0,1,1,issuance of zero coupon bond
33,2017-04-27,ENVOYTEX,Q3 Financials,1,0,0,q3 financials
34,2017-04-23,ENVOYTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-03-30,ENVOYTEX,Confirmation of transfer by Sponsor Director,1,0,0,confirmation of transfer by sponsor director
36,2017-03-30,ENVOYTEX,Confirmation of transfer by Sponsors Directors,1,0,0,confirmation of transfer by sponsors directors
37,2017-03-30,ENVOYTEX,Confirmation of transfer by Sponsors Directors,1,0,0,confirmation of transfer by sponsors directors
38,2017-03-23,ENVOYTEX,Declaration of transfer by Sponsors Directors,0,0,0,declaration of transfer by sponsors directors
39,2017-03-23,ENVOYTEX,Declaration of transfer by Sponsor Director,0,0,0,declaration of transfer by sponsor director
40,2017-03-23,ENVOYTEX,Declaration of transfer by Sponsors Directors,0,0,0,declaration of transfer by sponsors directors
41,2017-02-19,ENVOYTEX,Disregard Credit Rating Result,0,1,0,disregard credit rating result
42,2017-01-29,ENVOYTEX,Q2 Financials,0,0,1,q2 financials
43,2017-01-24,ENVOYTEX,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
44,2017-01-15,ENVOYTEX,Dividend Disbursement,1,0,0,dividend disbursement
45,2016-11-14,ENVOYTEX,Q1 Financials,0,0,0,q1 financials
46,2016-11-14,ENVOYTEX,Resumption after record date,0,0,0,resumption after record date
47,2016-11-13,ENVOYTEX,Suspension,1,0,0,suspension
48,2016-11-09,ENVOYTEX,Spot for AGM,1,0,0,spot for agm
49,2016-10-16,ENVOYTEX,Price Limit Open,0,1,0,price limit open
50,2016-10-16,ENVOYTEX, Dividend Declaration,0,1,0,dividend declaration
51,2016-10-06,ENVOYTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
52,2016-08-14,ENVOYTEX,Commercial operation of the Spinning project,1,0,0,commercial operation of the spinning project
53,2016-04-28,ENVOYTEX,Q2 Financials,0,0,0,q2 financials
54,2016-04-24,ENVOYTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
55,2016-02-14,ENVOYTEX,Q1 Financials,0,1,1,q1 financials
56,2016-02-09,ENVOYTEX,Board Meeting,1,0,1,board meeting
57,2016-01-26,ENVOYTEX, Dividend Disbursement,0,0,0,dividend disbursement
58,2015-12-09,ENVOYTEX,Resumption after Record date,0,0,0,resumption after record date
59,2015-12-08,ENVOYTEX,Suspension for Record Date,0,0,0,suspension for record date
60,2015-12-06,ENVOYTEX,Spot for AGM,1,1,0,spot for agm
61,2015-12-01,ENVOYTEX,Buy Confirmation of a Sponsor/Director,0,1,0,buy confirmation of a sponsordirector
62,2015-11-25,ENVOYTEX,Buy Declaration of a Sponsor /Director,1,0,0,buy declaration of a sponsor director
63,2015-11-19,ENVOYTEX,Price Limit Open,1,0,0,price limit open
64,2015-11-19,ENVOYTEX,Dividend Declaration and Accounting Year change,1,0,0,dividend declaration and accounting year change
65,2015-11-11,ENVOYTEX,Board Meeting,0,1,0,board meeting
66,2015-07-30,ENVOYTEX,Q3 Financials,0,0,0,q3 financials
67,2015-06-28,ENVOYTEX, Credit Rating Result,0,1,1,credit rating result
68,2015-04-23,ENVOYTEX, H/Y,0,0,0,hy
69,2015-01-22,ENVOYTEX,credited the bonus shares,0,0,0,credited the bonus shares
70,2015-01-21,ENVOYTEX,Q1 Earning,0,0,0,q1 earning
71,2015-01-18,ENVOYTEX,DSE Query,0,0,0,dse query
72,2014-12-10,ENVOYTEX,MoU with Prosperity Textile (H.K.) Ltd.,0,1,0,mou with prosperity textile h.k. ltd.
73,2014-12-02,ENVOYTEX,trade resume,0,0,0,trade resume
