,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-02-07,FAMILYTEX,Q2 Financials,0,0,0,q2 financials
1,2019-02-03,FAMILYTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-16,FAMILYTEX,Dividend Disbursement,0,0,0,dividend disbursement
3,2018-11-25,FAMILYTEX,Resumption after record date,0,0,0,resumption after record date
4,2018-11-22,FAMILYTEX,Suspension for Record date,0,0,0,suspension for record date
5,2018-11-20,FAMILYTEX,Q1 Financials,1,0,0,q1 financials
6,2018-11-19,FAMILYTEX,Spot News,0,1,0,spot news
7,2018-10-31,FAMILYTEX,Price Limit Open,1,0,0,price limit open
8,2018-10-31,FAMILYTEX,Dividend Declaration,1,0,0,dividend declaration
9,2018-10-21,FAMILYTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
10,2018-04-30,FAMILYTEX,Q3 Financials,0,0,0,q3 financials
11,2018-02-11,FAMILYTEX,Q2 Financials,1,0,1,q2 financials
12,2018-02-11,FAMILYTEX,Q1 Financials,1,0,1,q1 financials
13,2018-01-22,FAMILYTEX,Dividend Disbursement,0,0,1,dividend disbursement
14,2017-12-10,FAMILYTEX,Resumption after record date,0,0,0,resumption after record date
15,2017-12-07,FAMILYTEX,Suspension for Record Date,0,0,0,suspension for record date
16,2017-12-05,FAMILYTEX,Spot News,0,0,0,spot news
17,2017-11-19,FAMILYTEX,Price Limit Open,0,0,1,price limit open
18,2017-11-19,FAMILYTEX,Dividend Declaration,0,0,1,dividend declaration
19,2017-11-12,FAMILYTEX,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
20,2017-05-21,FAMILYTEX,Q3 Financials,0,0,0,q3 financials
21,2017-01-01,FAMILYTEX,Category Change,1,0,0,category change
22,2016-12-15,FAMILYTEX,Resumption after record date,0,0,0,resumption after record date
23,2016-12-14,FAMILYTEX,Suspension for Record Date,1,0,0,suspension for record date
24,2016-12-11,FAMILYTEX,Spot for EGM & AGM,0,0,0,spot for egm  agm
25,2016-11-27,FAMILYTEX,Price Limit Open,0,1,0,price limit open
26,2016-11-27,FAMILYTEX,Dividend Declaration,0,1,0,dividend declaration
