,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-02-06,FAREASTFIN,Credit Rating Result,0,0,0,credit rating result
1,2019-01-23,FAREASTFIN,Query Response,1,0,0,query response
2,2018-12-19,FAREASTFIN,Elected   Chairman,1,0,0,elected   chairman
3,2018-10-28,FAREASTFIN,Q3 Financials,0,0,0,q3 financials
4,2018-10-22,FAREASTFIN,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
5,2018-10-22,FAREASTFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2018-10-11,FAREASTFIN,Buy declaration of a Sponsor,0,0,0,buy declaration of a sponsor
7,2018-07-31,FAREASTFIN,Q2 Financials,0,0,0,q2 financials
8,2018-07-24,FAREASTFIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
9,2018-07-17,FAREASTFIN,Sale Confirmation of a Director,0,0,0,sale confirmation of a director
10,2018-06-07,FAREASTFIN,Sale Declaration of a Director,0,0,0,sale declaration of a director
11,2018-06-04,FAREASTFIN,Sale Confirmation of a Sponsor,0,0,1,sale confirmation of a sponsor
12,2018-05-24,FAREASTFIN,Sale Declaration of a Sponsor,0,0,0,sale declaration of a sponsor
13,2018-05-22,FAREASTFIN,Q1 Financials,1,1,0,q1 financials
14,2018-05-15,FAREASTFIN,Resumption after record date,0,0,0,resumption after record date
15,2018-05-15,FAREASTFIN,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
16,2018-05-14,FAREASTFIN,Suspension for Record Date,0,0,0,suspension for record date
17,2018-05-07,FAREASTFIN,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
18,2018-04-26,FAREASTFIN,Spot News,0,0,0,spot news
19,2018-04-18,FAREASTFIN,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
20,2018-04-18,FAREASTFIN,Category Change,0,1,0,category change
21,2018-04-18,FAREASTFIN,Price Limit Open,0,1,0,price limit open
23,2018-04-18,FAREASTFIN,Dividend Declaration,0,1,0,dividend declaration
24,2018-04-08,FAREASTFIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
25,2018-01-17,FAREASTFIN,Credit Rating Result,0,1,0,credit rating result
26,2017-10-30,FAREASTFIN,Q3 Financials,0,1,1,q3 financials
27,2017-10-23,FAREASTFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2017-08-06,FAREASTFIN,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
29,2017-07-31,FAREASTFIN,Sale declaration of a Sponsor,0,1,1,sale declaration of a sponsor
30,2017-07-25,FAREASTFIN,Q2 Financials,0,1,0,q2 financials
