,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-01-09,FAREASTLIF,Dividend Disbursement,1,1,0,dividend disbursement
1,2018-12-03,FAREASTLIF,Emphasis of Matters,0,0,1,emphasis of matters
2,2018-11-12,FAREASTLIF,Resumption after Record Date,0,0,1,resumption after record date
3,2018-11-11,FAREASTLIF,Suspension for Record Date,0,0,0,suspension for record date
4,2018-11-07,FAREASTLIF,Spot News,1,1,0,spot news
5,2018-10-31,FAREASTLIF,Q3 Financials,1,1,0,q3 financials
6,2018-10-31,FAREASTLIF,Q2 Financials,1,1,0,q2 financials
7,2018-10-31,FAREASTLIF,Q2 Financials,1,1,0,q2 financials
8,2018-10-31,FAREASTLIF,Q1 Financials,1,1,0,q1 financials
9,2018-10-24,FAREASTLIF,Board Meeting schedules under LR 16(1),1,0,0,board meeting schedules under lr 161
10,2018-10-23,FAREASTLIF,Price Limit Open,0,1,0,price limit open
11,2018-10-23,FAREASTLIF,Dividend Declaration,0,1,0,dividend declaration
12,2018-10-14,FAREASTLIF,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
13,2017-11-28,FAREASTLIF,Dividend Disbursement,1,0,1,dividend disbursement
14,2017-10-31,FAREASTLIF,Buy confirmation of a Shareholder Director,0,1,0,buy confirmation of a shareholder director
15,2017-10-31,FAREASTLIF,Q3 Financials,0,1,0,q3 financials
16,2017-10-29,FAREASTLIF,Buy declaration of a Shareholder Director,0,1,0,buy declaration of a shareholder director
17,2017-10-25,FAREASTLIF,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
18,2017-09-26,FAREASTLIF,Q2 Financials,0,0,0,q2 financials
19,2017-09-26,FAREASTLIF,Q2 Financials,0,0,0,q2 financials
20,2017-09-26,FAREASTLIF,Q1 Financials,0,0,0,q1 financials
21,2017-09-21,FAREASTLIF,Resumption after Record Date,0,0,0,resumption after record date
22,2017-09-20,FAREASTLIF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2017-09-20,FAREASTLIF,Suspension for Record Date,0,0,0,suspension for record date
24,2017-09-18,FAREASTLIF,Updating information,1,0,0,updating information
25,2017-09-18,FAREASTLIF,Spot News,1,0,0,spot news
26,2017-08-20,FAREASTLIF,Price Limit Open,1,0,0,price limit open
27,2017-08-20,FAREASTLIF,Dividend Declaration,1,0,0,dividend declaration
28,2017-08-13,FAREASTLIF,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
29,2016-10-26,FAREASTLIF,Q3 Financials,1,0,0,q3 financials
30,2016-10-23,FAREASTLIF,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
31,2016-09-29,FAREASTLIF,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
32,2016-08-07,FAREASTLIF,Resumption after record date,0,0,1,resumption after record date
33,2016-08-04,FAREASTLIF,Suspension news,0,0,0,suspension news
34,2016-08-03,FAREASTLIF,Sale and Buy Confirmation,0,0,0,sale and buy confirmation
35,2016-08-02,FAREASTLIF,Spot News for AGM,0,0,0,spot news for agm
36,2016-08-01,FAREASTLIF,Q2 Financials,0,0,0,q2 financials
37,2016-07-31,FAREASTLIF,Buy Declaration,0,0,0,buy declaration
38,2016-07-31,FAREASTLIF,Declaration of sale/buy,0,0,0,declaration of salebuy
39,2016-07-26,FAREASTLIF,Board Meeting,1,0,0,board meeting
40,2016-07-26,FAREASTLIF,Board Meeting,1,0,0,board meeting
41,2016-07-20,FAREASTLIF,Furnishing 12 digits e-TIN Number,0,0,0,furnishing 12 digits e-tin number
42,2016-06-29,FAREASTLIF,Q1 Financials,1,1,0,q1 financials
43,2016-06-29,FAREASTLIF,Price Limit Open,1,1,0,price limit open
44,2016-06-29,FAREASTLIF,Dividend Declaration,1,1,0,dividend declaration
45,2016-06-23,FAREASTLIF,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
46,2016-06-22,FAREASTLIF,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
47,2015-12-28,FAREASTLIF,Land Purchase,1,0,0,land purchase
48,2015-11-04,FAREASTLIF,Completion of Transfer by a Sponsor,0,1,0,completion of transfer by a sponsor
49,2015-11-01,FAREASTLIF,Q3,1,1,1,q3
50,2015-10-25,FAREASTLIF,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
51,2015-10-25,FAREASTLIF,Declaration of Transfer,1,0,1,declaration of transfer
52,2015-10-18,FAREASTLIF,Buy confirmation of a Shareholder Director,1,1,0,buy confirmation of a shareholder director
53,2015-10-18,FAREASTLIF,Confirmation of sale by a Sponsor,1,1,0,confirmation of sale by a sponsor
54,2015-10-07,FAREASTLIF,Buy Declaration,0,1,0,buy declaration
55,2015-09-30,FAREASTLIF,Declaration of sale by Sponsors in the Block Market,1,1,0,declaration of sale by sponsors in the block market
