,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
1,2018-12-04,FASFIN,Matter of Emphasis,1,0,0,matter of emphasis
2,2018-10-29,FASFIN,Q3 Financials,1,1,1,q3 financials
3,2018-10-23,FASFIN,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
4,2018-08-13,FASFIN,Credit Rating Result,0,1,0,credit rating result
6,2018-07-29,FASFIN,Q2 Financials,0,0,0,q2 financials
7,2018-07-19,FASFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-07-05,FASFIN,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
9,2018-07-05,FASFIN,Category Change,1,0,0,category change
10,2018-07-03,FASFIN,Dividend Disbursement,0,0,1,dividend disbursement
11,2018-04-19,FASFIN,Resumption after record date,0,0,0,resumption after record date
12,2018-04-19,FASFIN,Q1 Financials,0,0,0,q1 financials
13,2018-04-18,FASFIN,Suspension for Record Date,0,0,0,suspension for record date
14,2018-04-16,FASFIN,Spot News,0,0,0,spot news
15,2018-04-15,FASFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-03-28,FASFIN,Price Limit Open,1,1,0,price limit open
18,2018-03-28,FASFIN,Dividend Declaration,1,1,0,dividend declaration
19,2018-03-19,FASFIN,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
20,2018-01-08,FASFIN,Appointment of Managing Director & CEO,0,0,0,appointment of managing director  ceo
21,2017-10-31,FASFIN,Q3 Financials,1,1,1,q3 financials
22,2017-10-22,FASFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2017-09-12,FASFIN,Query Response,1,1,1,query response
24,2017-08-13,FASFIN,Credit Rating Result,0,0,0,credit rating result
25,2017-07-31,FASFIN,Q2 Financials,1,0,0,q2 financials
26,2017-07-20,FASFIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
28,2017-07-19,FASFIN,Matter of Emphasis,0,1,0,matter of emphasis
29,2017-07-09,FASFIN,Dividend Disbursement,0,1,0,dividend disbursement
30,2017-06-15,FASFIN,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
31,2017-06-15,FASFIN,Category Change,0,0,0,category change
32,2017-05-16,FASFIN,Q1 Financials,1,0,0,q1 financials
33,2017-05-15,FASFIN,Resumption after Record Date,0,1,0,resumption after record date
34,2017-05-14,FASFIN,Suspension for Record Date,0,0,1,suspension for record date
35,2017-05-09,FASFIN,Spot News,1,0,0,spot news
36,2017-05-08,FASFIN,Venue of 20th AGM,1,1,0,venue of 20th agm
37,2017-05-08,FASFIN,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
38,2017-04-24,FASFIN,Elected Chairman,1,0,1,elected chairman
39,2017-04-23,FASFIN,Price Limit Open,0,1,0,price limit open
40,2017-04-23,FASFIN,Dividend Declaration,0,1,0,dividend declaration
41,2017-04-11,FASFIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
42,2016-10-31,FASFIN,Intention to sell shares,1,0,1,intention to sell shares
43,2016-10-31,FASFIN,Q3 Financials,1,0,1,q3 financials
44,2016-10-25,FASFIN,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
45,2016-07-24,FASFIN,Board Meeting,0,0,0,board meeting
46,2016-07-21,FASFIN,Dividend Disbursement,1,0,0,dividend disbursement
47,2016-06-30,FASFIN,Credit Rating Result,1,0,0,credit rating result
48,2016-06-06,FASFIN,Resumption after record date,0,0,0,resumption after record date
49,2016-06-05,FASFIN,Suspension news for record date,0,0,0,suspension news for record date
50,2016-06-01,FASFIN,Spot News for AGM,0,0,0,spot news for agm
51,2016-05-15,FASFIN,Q1 Financials,0,1,1,q1 financials
52,2016-05-15,FASFIN,Price Limit Open,0,1,1,price limit open
53,2016-05-15,FASFIN,Dividend Declaration,0,1,1,dividend declaration
54,2016-05-08,FASFIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
55,2016-05-08,FASFIN,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
56,2015-10-29,FASFIN,Q3 Financials,0,0,0,q3 financials
57,2015-10-21,FASFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
58,2015-07-29,FASFIN, Q2 Financials,0,0,0,q2 financials
59,2015-07-29,FASFIN,Credit Rating Result,0,0,0,credit rating result
60,2015-07-08,FASFIN,Credit Rating Result,0,1,0,credit rating result
61,2015-06-29,FASFIN,Category Change,0,0,0,category change
62,2015-05-12,FASFIN,Q1 Financials,0,0,0,q1 financials
63,2015-05-12,FASFIN,Resumption News after Record Date,0,0,0,resumption news after record date
64,2015-05-11,FASFIN,Suspension News for Record Date,1,0,0,suspension news for record date
65,2015-05-07,FASFIN,Spot Market,1,0,0,spot market
66,2015-04-29,FASFIN,Price Limit Open,0,0,0,price limit open
67,2015-04-29,FASFIN,Dividend Declaration,0,0,0,dividend declaration
68,2015-04-26,FASFIN,Board  Meeting,0,1,0,board  meeting
69,2014-11-17,FASFIN,new Managing Director and CEO,0,0,1,new managing director and ceo
70,2014-10-26,FASFIN,Q3 Earnings,0,0,0,q3 earnings
71,2014-07-20,FASFIN,H/Y Earnings,0,0,1,hy earnings
72,2014-05-15,FASFIN,New AGM date,0,0,0,new agm date
73,2014-05-08,FASFIN,Except For Opinion,1,0,0,except for opinion
74,2014-04-28,FASFIN,Q1 Earning,1,0,1,q1 earning
75,2014-04-24,FASFIN,Sponsor/Director Share Sale,0,0,0,sponsordirector share sale
76,2014-04-23,FASFIN,Credit Rating,1,0,0,credit rating
77,2014-04-23,FASFIN,Sponsor/Director Share Sale,1,0,0,sponsordirector share sale
78,2014-04-23,FASFIN,Sponsor/Director Share Sale,1,0,0,sponsordirector share sale
79,2014-04-22,FASFIN,Sponsor/Director Share Sale,0,1,0,sponsordirector share sale
80,2014-04-22,FASFIN,Sponsor/Director Share Sale,0,1,0,sponsordirector share sale
81,2014-04-22,FASFIN,trade resume,0,1,0,trade resume
82,2014-04-21,FASFIN,trade suspension,0,0,1,trade suspension
83,2014-04-20,FASFIN,Sponsor/Director Share Sale,1,0,0,sponsordirector share sale
84,2014-04-17,FASFIN,Sponsor/Director Share Sale,1,0,0,sponsordirector share sale
85,2014-04-17,FASFIN,Sponsor/Director Share Sale,1,0,0,sponsordirector share sale
86,2014-04-17,FASFIN,Spot Market Transaction,1,0,0,spot market transaction
87,2014-04-16,FASFIN,Sponsor/Director Share Sale,1,1,0,sponsordirector share sale
88,2014-04-16,FASFIN,Sponsor/Director Share Sale,1,1,0,sponsordirector share sale
89,2014-04-08,FASFIN,no price limit,1,0,0,no price limit
90,2014-04-08,FASFIN,recommended 5.20% cash dividend,1,0,0,recommended 5.20 cash dividend
91,2014-04-06,FASFIN,Board Meeting,1,0,1,board meeting
92,2013-10-29,FASFIN,Q3 Earnings,0,0,0,q3 earnings
93,2013-10-03,FASFIN,Sponsors Share Sell,0,0,0,sponsors share sell
94,2013-09-30,FASFIN,Sponsors Share Sell,0,0,1,sponsors share sell
95,2013-09-30,FASFIN,Sponsors Share Sell,0,0,1,sponsors share sell
96,2013-09-25,FASFIN,Sponsors Share Sell,0,0,0,sponsors share sell
97,2013-09-23,FASFIN,Sponsors Share Sell,0,1,0,sponsors share sell
98,2013-09-23,FASFIN,Sponsors Share Sell,0,1,0,sponsors share sell
99,2013-09-04,FASFIN,Sponsors Share Sell,0,0,0,sponsors share sell
100,2013-08-25,FASFIN,Sponsors Share Sell,0,1,0,sponsors share sell
101,2013-07-28,FASFIN,Q2 Earnings,0,1,0,q2 earnings
102,2013-07-21,FASFIN,Sponsors Share Sell,0,0,0,sponsors share sell
103,2013-07-09,FASFIN,Sponsors Share Sell,0,0,0,sponsors share sell
104,2013-05-19,FASFIN,Credited Bonus Share,1,0,0,credited bonus share
105,2013-05-02,FASFIN,Q1 Earnings,1,0,0,q1 earnings
106,2013-04-24,FASFIN,Right Issue Credited,0,0,0,right issue credited
107,2013-03-10,FASFIN,Qualified Audit Opinion,0,0,1,qualified audit opinion
108,2013-03-07,FASFIN,trade resume after record date,0,0,0,trade resume after record date
109,2013-03-06,FASFIN,trade suspension on record date,0,0,0,trade suspension on record date
110,2013-03-03,FASFIN,spot market trading,0,1,0,spot market trading
111,2013-02-28,FASFIN,trade resume after record date,0,0,0,trade resume after record date
112,2013-02-24,FASFIN,spot market trading,0,0,0,spot market trading
113,2013-02-20,FASFIN,Board meeting,0,0,0,board meeting
114,2013-02-10,FASFIN,Right issue subscription and record date,0,0,0,right issue subscription and record date
115,2013-02-07,FASFIN,Right issue purpose,0,0,0,right issue purpose
116,2013-02-07,FASFIN,Right issue,0,0,0,right issue
117,2013-01-17,FASFIN,,0,0,0,
118,2012-10-30,FASFIN,Q3 Earnings 2012,0,0,0,q3 earnings 2012
119,2012-10-08,FASFIN,trade will resume after record date,0,0,0,trade will resume after record date
120,2012-10-07,FASFIN,trade will remain suspended on record date,0,0,0,trade will remain suspended on record date
121,2012-10-01,FASFIN,right issue,1,0,0,right issue
122,2012-07-24,FASFIN,- (H/Y): As per un-audited half yearly accounts ....,1,0,1,hy: as per un-audited half yearly accounts .
123,2012-07-24,FASFIN, - Whereas consolidated net profit after tax ...,1,0,1,whereas consolidated net profit after tax
124,2012-07-22,FASFIN,- The Company has informed...,0,1,1,the company has informed
125,2012-06-28,FASFIN,- The Company will be placed...,0,0,0,the company will be placed
126,2012-06-28,FASFIN,- The Stock Brokers and Merchant Bankers....,0,0,0,the stock brokers and merchant bankers.
127,2012-05-22,FASFIN,- The Company has informed...,0,0,1,the company has informed
128,2012-05-08,FASFIN,- Normal trading of the shares...,0,0,1,normal trading of the shares
129,2012-05-03,FASFIN,- At the time of assessment of Audit Report...,0,0,0,at the time of assessment of audit report
130,2012-05-03,FASFIN,- unusual/unexpected fall down...,0,0,0,unusualunexpected fall down
131,2012-04-25,FASFIN,- There will be no price limit ...,0,0,0,there will be no price limit
132,2012-04-25,FASFIN,- The Board of Directors...,0,0,0,the board of directors
133,2012-04-22,FASFIN,- As per regulation ...,1,0,0,as per regulation
134,2011-10-27,FASFIN,- As per un-audited...,0,0,0,as per un-audited
135,2011-10-20,FASFIN,- Trading of the shares...,0,0,0,trading of the shares
136,2011-10-17,FASFIN,- Trading of the shares...,0,0,1,trading of the shares
137,2011-10-09,FASFIN,- There will be no price...,0,0,0,there will be no price
138,2011-10-09,FASFIN,- The Company has informed...,0,0,0,the company has informed
139,2011-07-31,FASFIN,- (H/Y): As per un-audited...,0,0,0,hy: as per un-audited
141,2011-07-24,FASFIN,- The Company has further...,0,0,0,the company has further
142,2011-07-11,FASFIN,- The Company has informed...,0,0,1,the company has informed
143,2011-07-10,FASFIN,- In response to a DSE query...,1,0,0,in response to a dse query
144,2011-07-07,FASFIN,- The Company has informed...,1,0,0,the company has informed
