,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,FEKDIL,Q3 Financials,1,0,0,q3 financials
1,2019-04-24,FEKDIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-02-17,FEKDIL,Credit Rating Result,0,0,0,credit rating result
3,2019-01-30,FEKDIL,Q2 Financials,0,0,0,q2 financials
4,2019-01-24,FEKDIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-06,FEKDIL,Dividend Disbursement,1,0,1,dividend disbursement
6,2018-12-02,FEKDIL,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
7,2018-11-27,FEKDIL,Sale Declaration of a Sponsor and Director,0,1,0,sale declaration of a sponsor and director
8,2018-11-14,FEKDIL,Q1 Financials,0,1,0,q1 financials
9,2018-11-08,FEKDIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
10,2018-10-30,FEKDIL,Change of AGM date,0,0,0,change of agm date
11,2018-10-25,FEKDIL,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
12,2018-10-25,FEKDIL,Resumption after Record Date,0,0,0,resumption after record date
13,2018-10-24,FEKDIL,Suspension for Record Date,0,0,0,suspension for record date
14,2018-10-22,FEKDIL,Spot News,0,0,0,spot news
15,2018-10-15,FEKDIL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
16,2018-10-07,FEKDIL,Revised EPS and NOCFPS (Correction),0,1,0,revised eps and nocfps correction
17,2018-10-07,FEKDIL,Revised EPS and NOCFPS (Correction),0,1,0,revised eps and nocfps correction
18,2018-10-07,FEKDIL,Price Limit Open,0,1,0,price limit open
19,2018-10-07,FEKDIL,Dividend Declaration,0,1,0,dividend declaration
20,2018-09-26,FEKDIL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
21,2018-07-08,FEKDIL,Query Response,1,1,0,query response
22,2018-04-30,FEKDIL,Q3 Financials,0,0,0,q3 financials
23,2018-04-22,FEKDIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
24,2018-01-29,FEKDIL,Q2 Financials,1,0,0,q2 financials
25,2018-01-24,FEKDIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2018-01-22,FEKDIL,Dividend Disbursement,0,0,0,dividend disbursement
27,2018-01-04,FEKDIL,Credit Rating Result,0,0,0,credit rating result
28,2017-12-20,FEKDIL,Acquiring 35 decimal lands from Far East Yarn Dyeing Industries Limited,0,0,0,acquiring 35 decimal lands from far east yarn dyeing industries limited
29,2017-11-15,FEKDIL,Change of AGM date,0,1,0,change of agm date
30,2017-11-13,FEKDIL,Q1 Financials,0,0,0,q1 financials
31,2017-11-07,FEKDIL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
32,2017-10-26,FEKDIL,Resumption after Record Date,0,0,0,resumption after record date
33,2017-10-25,FEKDIL,Suspension for Record Date,1,0,0,suspension for record date
34,2017-10-23,FEKDIL,Spot News,1,0,1,spot news
35,2017-10-08,FEKDIL,Price Limit Open,1,0,0,price limit open
36,2017-10-08,FEKDIL,Dividend Declaration,1,0,0,dividend declaration
37,2017-09-27,FEKDIL,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
38,2017-05-14,FEKDIL,Incident of fire at Factory Premises of the Company,0,0,1,incident of fire at factory premises of the company
39,2017-05-14,FEKDIL,Incident of fire at Factory Premises of the Company,0,0,1,incident of fire at factory premises of the company
40,2017-04-30,FEKDIL,Q3 Financials,0,0,0,q3 financials
41,2017-04-24,FEKDIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
42,2017-03-14,FEKDIL,Sale confirmation of a Sponsor Director,1,1,1,sale confirmation of a sponsor director
43,2017-03-08,FEKDIL,sale of  by it's Sponsor Director,0,1,0,sale of  by it's sponsor director
44,2017-01-31,FEKDIL,Q2 Financials,1,1,0,q2 financials
45,2017-01-24,FEKDIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
46,2017-01-11,FEKDIL,Query Response,0,1,0,query response
47,2016-12-12,FEKDIL,Credit Rating Result,0,0,1,credit rating result
48,2016-11-13,FEKDIL,Q1 Financials,1,0,1,q1 financials
49,2016-11-09,FEKDIL,Board Meeting,0,0,0,board meeting
50,2016-11-07,FEKDIL,Resumption after record date,0,1,0,resumption after record date
51,2016-11-06,FEKDIL,Suspension for record date,0,0,1,suspension for record date
52,2016-11-02,FEKDIL,Spot for AGM,1,1,0,spot for agm
53,2016-10-18,FEKDIL,Price Limit Open,1,0,0,price limit open
54,2016-10-18,FEKDIL,Dividend Declaration,1,0,0,dividend declaration
55,2016-10-09,FEKDIL, Board Meeting,1,0,0,board meeting
56,2016-04-27,FEKDIL,Q3 Financials,0,0,0,q3 financials
57,2016-04-24,FEKDIL,Confirmation of sale by a Sponsor/Director,1,0,0,confirmation of sale by a sponsordirector
58,2016-04-24,FEKDIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
59,2016-04-18,FEKDIL,Declaration of sale by a Sponsor/Director,1,1,1,declaration of sale by a sponsordirector
60,2016-02-04,FEKDIL,Confirmation of sale by a Sponsor/Director,0,0,0,confirmation of sale by a sponsordirector
61,2016-02-01,FEKDIL,Declaration of sale by a Sponsor/Director,0,1,0,declaration of sale by a sponsordirector
62,2016-01-31,FEKDIL,Q2 Financials,0,0,1,q2 financials
63,2016-01-24,FEKDIL,Board Meeting,0,0,0,board meeting
64,2016-01-21,FEKDIL,Dividend Disbursement,0,0,0,dividend disbursement
65,2015-12-09,FEKDIL,Credit Rating Result,0,0,0,credit rating result
66,2015-12-06,FEKDIL,Resumption after Record date,0,1,1,resumption after record date
67,2015-12-03,FEKDIL,Suspension for Record Date,0,0,0,suspension for record date
68,2015-12-01,FEKDIL,Spot for AGM,0,1,0,spot for agm
69,2015-11-16,FEKDIL,Q1,0,1,0,q1
70,2015-11-16,FEKDIL,Price Limit Open,0,1,0,price limit open
71,2015-11-16,FEKDIL,Dividend Declaration,0,1,0,dividend declaration
72,2015-11-09,FEKDIL,Board Meeting,1,0,0,board meeting
73,2015-11-09,FEKDIL,Board Meeting,1,0,0,board meeting
74,2015-08-05,FEKDIL,Expansion project,0,1,0,expansion project
75,2015-04-30,FEKDIL,Q3,0,0,0,q3
76,2015-01-27,FEKDIL,Half Yearly Financials,1,0,1,half yearly financials
77,2015-01-22,FEKDIL,New Registered office,1,0,0,new registered office
78,2014-12-23,FEKDIL, category chage,0,0,0,category chage
79,2014-12-23,FEKDIL,credited the bonus,0,0,0,credited the bonus
80,2014-12-09,FEKDIL,Credit Rating,0,0,1,credit rating
81,2014-11-06,FEKDIL,trade resume,0,0,0,trade resume
82,2014-11-05,FEKDIL,trade suspension,1,0,0,trade suspension
83,2014-11-02,FEKDIL,Q3 earnings,0,1,0,q3 earnings
84,2014-11-02,FEKDIL,trade suspension on record date,0,1,0,trade suspension on record date
85,2014-10-23,FEKDIL,no price limit,0,0,0,no price limit
86,2014-10-23,FEKDIL,5% cash dividend and 15% stock dividend,0,0,0,5 cash dividend and 15 stock dividend
87,2014-10-16,FEKDIL,Board meeting,0,0,0,board meeting
88,2014-08-28,FEKDIL,Q3 Earning,1,0,0,q3 earning
89,2014-08-28,FEKDIL,will commence today,1,0,0,will commence today
90,2014-08-27,FEKDIL,Q3 Earning,0,1,0,q3 earning
91,2014-08-26,FEKDIL,trade debute,0,0,1,trade debute
