,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,FINEFOODS,Buy Declaration of a Director,1,0,0,buy declaration of a director
1,2019-04-21,FINEFOODS,Q3 Financials,0,0,0,q3 financials
2,2019-04-11,FINEFOODS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-01-31,FINEFOODS,Q2 Financials (Correction),0,0,0,q2 financials correction
4,2019-01-31,FINEFOODS,Q2 Financials,0,0,0,q2 financials
5,2019-01-24,FINEFOODS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2019-01-16,FINEFOODS,Dividend Disbursement,0,0,0,dividend disbursement
8,2018-12-03,FINEFOODS,Emphasis of Matter,0,0,0,emphasis of matter
9,2018-12-02,FINEFOODS,Date Change of AGM,1,0,0,date change of agm
10,2018-11-22,FINEFOODS,Enquiry Committee Formation for investigation as per BSEC Order,1,0,0,enquiry committee formation for investigation as per bsec order
11,2018-11-18,FINEFOODS,Resumption after record date,0,1,0,resumption after record date
12,2018-11-15,FINEFOODS,Suspension for Record Date,0,0,0,suspension for record date
13,2018-11-15,FINEFOODS,Q1 Financials,0,0,0,q1 financials
14,2018-11-13,FINEFOODS,Spot News,0,1,0,spot news
15,2018-11-08,FINEFOODS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-10-29,FINEFOODS,Price Limit Open,1,0,1,price limit open
17,2018-10-29,FINEFOODS,Dividend Declaration,1,0,1,dividend declaration
18,2018-10-22,FINEFOODS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
19,2018-09-17,FINEFOODS,Query Response,1,1,0,query response
20,2018-04-22,FINEFOODS,Q3 Financials,1,1,0,q3 financials
21,2018-04-12,FINEFOODS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-02-18,FINEFOODS,Query Response,1,1,0,query response
23,2018-02-14,FINEFOODS,Q2 Financials (Repeat),1,1,0,q2 financials repeat
24,2018-01-31,FINEFOODS,Q2 Financials,0,1,0,q2 financials
25,2018-01-24,FINEFOODS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2018-01-15,FINEFOODS,Stock Dividend Disbursement,0,1,0,stock dividend disbursement
28,2017-12-28,FINEFOODS,Emphasis of Matter,1,0,0,emphasis of matter
29,2017-12-14,FINEFOODS,Query Response,0,0,0,query response
30,2017-11-22,FINEFOODS,Resumption after record date,0,1,0,resumption after record date
31,2017-11-21,FINEFOODS,Suspension for Record Date,1,0,1,suspension for record date
32,2017-11-19,FINEFOODS,Spot for AGM,0,1,1,spot for agm
33,2017-11-07,FINEFOODS,Q1 Financials,1,0,0,q1 financials
34,2017-10-30,FINEFOODS,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
35,2017-10-30,FINEFOODS,Price Limit Open,1,1,1,price limit open
36,2017-10-30,FINEFOODS,Dividend Declaration,1,1,1,dividend declaration
37,2017-10-22,FINEFOODS,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
38,2017-07-06,FINEFOODS,Query Response,0,0,0,query response
39,2017-05-02,FINEFOODS,Q3 Financials,0,0,0,q3 financials
40,2017-04-25,FINEFOODS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
41,2017-04-16,FINEFOODS,Query Response,0,0,1,query response
42,2017-01-30,FINEFOODS,Q2 Financials (Correction),1,0,0,q2 financials correction
43,2017-01-30,FINEFOODS,Q2 Financials,1,0,0,q2 financials
44,2017-01-24,FINEFOODS, Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
45,2016-12-29,FINEFOODS,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
46,2016-12-29,FINEFOODS,Category Change,0,0,0,category change
47,2016-12-29,FINEFOODS,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
48,2016-12-26,FINEFOODS,Enquiry Committee formation by BSEC,0,0,0,enquiry committee formation by bsec
49,2016-12-20,FINEFOODS,Emphasis of Matter,0,1,0,emphasis of matter
50,2016-11-20,FINEFOODS,Suspension for record date,0,1,0,suspension for record date
51,2016-11-15,FINEFOODS,Q1 Financials,0,0,0,q1 financials
52,2016-11-07,FINEFOODS,Spot for AGM,0,1,0,spot for agm
53,2016-10-30,FINEFOODS,Price Limit Open,1,0,1,price limit open
54,2016-10-30,FINEFOODS,Dividend Declaration,1,0,1,dividend declaration
55,2016-10-20,FINEFOODS,Board Meeting,1,0,0,board meeting
56,2016-05-02,FINEFOODS,Q3 Financials,1,0,1,q3 financials
57,2016-04-28,FINEFOODS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
58,2016-01-31,FINEFOODS,Q2 Financials,0,0,0,q2 financials
59,2016-01-27,FINEFOODS,Board Meeting,0,1,0,board meeting
60,2015-12-23,FINEFOODS,Emphasis of Matter,0,1,0,emphasis of matter
61,2015-11-23,FINEFOODS,Resumption News after Record date,0,0,0,resumption news after record date
62,2015-11-22,FINEFOODS,Suspension News for Record Date,0,0,0,suspension news for record date
63,2015-11-17,FINEFOODS,Q1 Financials,0,0,0,q1 financials
