,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,FIRSTSBANK,Q1 Financials,0,1,0,q1 financials
1,2019-04-23,FIRSTSBANK,Resumption after record date,0,0,1,resumption after record date
2,2019-04-21,FIRSTSBANK,Suspension for Record Date,0,0,0,suspension for record date
3,2019-04-18,FIRSTSBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-04-17,FIRSTSBANK,Spot News,0,1,0,spot news
5,2019-03-28,FIRSTSBANK,Price Limit Open,1,0,0,price limit open
7,2019-03-28,FIRSTSBANK,Dividend Declaration,1,0,0,dividend declaration
8,2019-03-21,FIRSTSBANK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
10,2019-02-06,FIRSTSBANK,BSEC accorded consent on issuance of 3rd Mudaraba Subordinated Bond,0,0,0,bsec accorded consent on issuance of 3rd mudaraba subordinated bond
11,2018-10-25,FIRSTSBANK,Decision to issue Fully Redeemable Non-Convertible Bond,0,0,0,decision to issue fully redeemable non-convertible bond
12,2018-10-24,FIRSTSBANK,Q3 Financials,0,0,0,q3 financials
13,2018-10-23,FIRSTSBANK,Sale Confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
14,2018-10-21,FIRSTSBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-10-15,FIRSTSBANK,Sale confirmation of a Director,0,0,0,sale confirmation of a director
16,2018-10-15,FIRSTSBANK,Sale Declaration of a Sponsor,0,0,0,sale declaration of a sponsor
17,2018-09-13,FIRSTSBANK,Sale Declaration of a Director,0,0,0,sale declaration of a director
18,2018-07-26,FIRSTSBANK,Q2 Financials,0,0,0,q2 financials
19,2018-07-19,FIRSTSBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-07-08,FIRSTSBANK,Dividend Disbursement,0,0,1,dividend disbursement
21,2018-06-06,FIRSTSBANK,Credit Rating Result,1,0,0,credit rating result
22,2018-05-21,FIRSTSBANK,Resumption after record date,0,0,0,resumption after record date
23,2018-05-20,FIRSTSBANK,Suspension for Record Date,0,0,0,suspension for record date
24,2018-05-16,FIRSTSBANK,Spot News,0,0,0,spot news
25,2018-04-25,FIRSTSBANK,Q1 Financials,1,1,0,q1 financials
26,2018-04-25,FIRSTSBANK,Price Limit Open,1,1,0,price limit open
28,2018-04-25,FIRSTSBANK,Dividend Declaration,1,1,0,dividend declaration
29,2018-04-19,FIRSTSBANK,Reschedule of Board Meeting under LR 16(1),1,0,0,reschedule of board meeting under lr 161
30,2018-04-19,FIRSTSBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
31,2018-04-19,FIRSTSBANK,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
32,2017-10-30,FIRSTSBANK,Buy confirmation of a Director,0,0,1,buy confirmation of a director
33,2017-10-25,FIRSTSBANK,Q3 Financials,1,0,0,q3 financials
34,2017-10-25,FIRSTSBANK,Buy Declaration of a Director,1,0,0,buy declaration of a director
35,2017-10-19,FIRSTSBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
36,2017-09-19,FIRSTSBANK,Query Response,0,0,1,query response
38,2017-08-28,FIRSTSBANK,Consent accorded by BSEC to issue 2nd Mudaraba Subordinated Bond,1,1,1,consent accorded by bsec to issue 2nd mudaraba subordinated bond
39,2017-08-22,FIRSTSBANK,Dividend Disbursement,0,0,0,dividend disbursement
40,2017-08-03,FIRSTSBANK,Dividend Disbursement,1,0,0,dividend disbursement
41,2017-07-31,FIRSTSBANK,Sale confirmation of a Sponsor,1,0,1,sale confirmation of a sponsor
42,2017-07-23,FIRSTSBANK,Q2 Financials,0,0,1,q2 financials
43,2017-07-19,FIRSTSBANK,Sale declaration of a Sponsor,0,1,0,sale declaration of a sponsor
44,2017-07-17,FIRSTSBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2017-06-12,FIRSTSBANK,Credit Rating Result,1,1,1,credit rating result
46,2017-05-24,FIRSTSBANK,Resumption after Record Date,0,0,0,resumption after record date
47,2017-05-23,FIRSTSBANK,Suspension for Record Date,0,0,0,suspension for record date
48,2017-05-21,FIRSTSBANK,Spot News,0,0,0,spot news
49,2017-05-09,FIRSTSBANK,Floor Space Purchase,0,0,0,floor space purchase
50,2017-05-08,FIRSTSBANK,Q1 Financials,0,0,0,q1 financials
51,2017-05-02,FIRSTSBANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
52,2017-04-20,FIRSTSBANK,Price Limit Open,0,0,0,price limit open
54,2017-04-20,FIRSTSBANK,Dividend Declaration,0,0,0,dividend declaration
55,2017-04-11,FIRSTSBANK,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
56,2016-10-27,FIRSTSBANK, Q3 Financials,1,0,0,q3 financials
57,2016-10-25,FIRSTSBANK,Confirmation of sale by a Sponsor,0,0,1,confirmation of sale by a sponsor
58,2016-10-20,FIRSTSBANK,Board Meeting,0,0,0,board meeting
59,2016-10-18,FIRSTSBANK,Declaration of sale by a Sponsor,1,0,0,declaration of sale by a sponsor
60,2016-08-16,FIRSTSBANK,Confirmation of sale by a Sponsor,1,1,0,confirmation of sale by a sponsor
61,2016-07-28,FIRSTSBANK,Q2 Financials,0,0,0,q2 financials
62,2016-07-25,FIRSTSBANK,Declaration of sale by a Sponso,0,1,0,declaration of sale by a sponso
63,2016-07-21,FIRSTSBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
64,2016-06-02,FIRSTSBANK,Confirmation of sale by a Sponsor,1,0,0,confirmation of sale by a sponsor
65,2016-05-26,FIRSTSBANK,Declaration of sale,1,0,0,declaration of sale
66,2016-05-24,FIRSTSBANK,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
67,2016-05-10,FIRSTSBANK,Q1,0,1,1,q1
68,2016-05-04,FIRSTSBANK,Credit Rating,0,0,0,credit rating
69,2016-05-03,FIRSTSBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
70,2016-04-06,FIRSTSBANK,Resumption after Record,0,0,0,resumption after record
71,2016-04-05,FIRSTSBANK,Suspension for Record,0,0,0,suspension for record
72,2016-04-03,FIRSTSBANK,Spot for AGM,1,0,0,spot for agm
73,2016-03-15,FIRSTSBANK,Price Limit Open,1,0,0,price limit open
74,2016-03-15,FIRSTSBANK,Dividend Declaration,1,0,0,dividend declaration
75,2016-03-07,FIRSTSBANK,Board Meeting,0,1,0,board meeting
76,2015-10-28,FIRSTSBANK,Q3 Financials,0,0,0,q3 financials
77,2015-10-21,FIRSTSBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
78,2015-08-10,FIRSTSBANK,Floor Space Purchase,0,1,0,floor space purchase
79,2015-07-30,FIRSTSBANK,Q2 Financials,0,0,0,q2 financials
80,2015-05-31,FIRSTSBANK,Credit Rating Result,0,1,0,credit rating result
81,2015-05-19,FIRSTSBANK,Dividend Disbursement,0,0,1,dividend disbursement
82,2015-05-04,FIRSTSBANK,Q1 Financials,1,0,1,q1 financials
83,2015-04-13,FIRSTSBANK,16th AGM venue,0,0,1,16th agm venue
84,2015-04-02,FIRSTSBANK,Resumption News after Record Date,0,0,0,resumption news after record date
85,2015-04-01,FIRSTSBANK,Suspension News for Record date,0,0,0,suspension news for record date
86,2015-03-30,FIRSTSBANK,Spot News,0,0,0,spot news
