,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,FORTUNE,Q3 Financials,0,1,0,q3 financials
1,2019-04-23,FORTUNE,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-02-17,FORTUNE,Query Response,0,0,1,query response
3,2019-02-13,FORTUNE,Credit Rating Result,0,1,0,credit rating result
4,2019-01-31,FORTUNE,Q2 Financials,0,0,0,q2 financials
5,2019-01-24,FORTUNE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2019-01-20,FORTUNE,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-11-22,FORTUNE,Resumption after record date,0,0,0,resumption after record date
8,2018-11-20,FORTUNE,Suspension for Record date,1,0,0,suspension for record date
9,2018-11-18,FORTUNE,Spot News,1,1,1,spot news
10,2018-11-14,FORTUNE,Q1 Financials,1,0,0,q1 financials
11,2018-11-08,FORTUNE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-10-28,FORTUNE,Price Limit Open,1,1,0,price limit open
14,2018-10-28,FORTUNE,Dividend Declaration & increase of Authorized Capital,1,1,0,dividend declaration  increase of authorized capital
15,2018-10-15,FORTUNE,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
16,2018-04-30,FORTUNE,Q3 Financials,0,0,0,q3 financials
17,2018-04-23,FORTUNE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2018-01-25,FORTUNE,Q2 Financials,1,0,0,q2 financials
19,2018-01-21,FORTUNE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-01-15,FORTUNE,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
21,2018-01-15,FORTUNE,Category Change,0,0,0,category change
22,2018-01-15,FORTUNE,Dividend Disbursement,0,0,0,dividend disbursement
23,2018-01-01,FORTUNE,Credit Rating Result,1,0,1,credit rating result
24,2017-11-16,FORTUNE,Resumption after record date,0,0,0,resumption after record date
25,2017-11-15,FORTUNE,Suspension for Record Date,0,0,0,suspension for record date
26,2017-11-14,FORTUNE,Q1 Financials,0,0,0,q1 financials
27,2017-11-13,FORTUNE,Spot News,0,0,0,spot news
28,2017-11-09,FORTUNE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2017-10-29,FORTUNE,Price Limit Open,0,1,1,price limit open
30,2017-10-29,FORTUNE,Dividend Declaration,0,1,1,dividend declaration
31,2017-10-18,FORTUNE,Address Change of Registered Office,0,0,0,address change of registered office
32,2017-10-18,FORTUNE,Address Change of Registered Office,0,0,0,address change of registered office
33,2017-10-16,FORTUNE,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
34,2017-04-30,FORTUNE,Q3 Financials,1,0,0,q3 financials
35,2017-04-24,FORTUNE,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
36,2017-01-30,FORTUNE,Q2 Financials,0,0,0,q2 financials
37,2017-01-24,FORTUNE,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
38,2016-11-14,FORTUNE,Q1 Financials,0,0,1,q1 financials
39,2016-10-20,FORTUNE,Audited Financials,1,0,0,audited financials
40,2016-10-20,FORTUNE,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
41,2016-10-20,FORTUNE,Trading of New Security,1,0,0,trading of new security
