,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,FUWANGCER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
1,2019-03-04,FUWANGCER,Credit Rating Result,0,0,0,credit rating result
2,2019-01-31,FUWANGCER,Q2 Financials,1,0,0,q2 financials
3,2019-01-27,FUWANGCER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-17,FUWANGCER,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-11-25,FUWANGCER,Resumption after record date,0,0,0,resumption after record date
6,2018-11-22,FUWANGCER,Suspension for Record date,0,0,0,suspension for record date
7,2018-11-22,FUWANGCER,Q1 Financials,0,0,0,q1 financials
8,2018-11-19,FUWANGCER,Spot News,0,0,0,spot news
9,2018-11-12,FUWANGCER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2018-11-04,FUWANGCER,Price Limit Open,0,0,0,price limit open
11,2018-11-04,FUWANGCER,Dividend Declaration,0,0,0,dividend declaration
12,2018-10-28,FUWANGCER,Reschedule of Board Meeting under LR 19(1),0,1,1,reschedule of board meeting under lr 191
13,2018-10-21,FUWANGCER,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-05-09,FUWANGCER,Land Purchase,0,0,0,land purchase
15,2018-04-26,FUWANGCER,Q3 Financials,1,0,0,q3 financials
16,2018-04-23,FUWANGCER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-03-11,FUWANGCER,Credit Rating Result,0,0,0,credit rating result
18,2018-01-31,FUWANGCER,Q2 Financials,0,1,0,q2 financials
19,2018-01-18,FUWANGCER,Dividend Disbursement,1,0,0,dividend disbursement
20,2017-11-16,FUWANGCER,Appointment of Managing Director,0,0,0,appointment of managing director
21,2017-11-16,FUWANGCER,Resumption after record date,0,0,0,resumption after record date
22,2017-11-15,FUWANGCER,Suspension for Record Date,0,0,0,suspension for record date
23,2017-11-14,FUWANGCER,Q1 Financials,0,0,0,q1 financials
24,2017-11-13,FUWANGCER,Spot News,1,0,0,spot news
25,2017-11-08,FUWANGCER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2017-10-26,FUWANGCER,Price Limit Open,1,0,0,price limit open
27,2017-10-26,FUWANGCER,Dividend Declaration,1,0,0,dividend declaration
28,2017-10-17,FUWANGCER,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
29,2017-08-29,FUWANGCER,Query Response,1,0,1,query response
31,2017-04-30,FUWANGCER,Q3 Financials,0,0,0,q3 financials
32,2017-04-25,FUWANGCER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
33,2017-03-05,FUWANGCER,Q2 Financials,1,0,0,q2 financials
34,2017-02-27,FUWANGCER,Reschedule of Board Meeting,0,0,0,reschedule of board meeting
35,2017-02-22,FUWANGCER,Elected Chairman,0,0,0,elected chairman
36,2017-02-02,FUWANGCER,Resumption after record,0,0,0,resumption after record
37,2017-02-01,FUWANGCER,Suspension for Record Date,1,0,0,suspension for record date
38,2017-01-30,FUWANGCER,Spot for EGM,0,1,1,spot for egm
39,2017-01-29,FUWANGCER,Postponement of Board Meeting,0,0,1,postponement of board meeting
40,2017-01-24,FUWANGCER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-01-16,FUWANGCER,Increase of Authorized Capital and acquisition of SS Steel (Pvt.) Ltd,1,1,0,increase of authorized capital and acquisition of ss steel pvt. ltd
42,2017-01-08,FUWANGCER,Dividend Disbursement,0,1,1,dividend disbursement
43,2017-01-01,FUWANGCER,Credit Rating Result,0,0,0,credit rating result
44,2016-11-15,FUWANGCER,Resumption after record date,0,1,1,resumption after record date
45,2016-11-14,FUWANGCER,suspension for record,0,0,1,suspension for record
46,2016-11-13,FUWANGCER,Q1 Financials,0,0,0,q1 financials
47,2016-11-10,FUWANGCER,Spot for AGM,1,0,0,spot for agm
48,2016-11-08,FUWANGCER,Board Meeting,0,0,1,board meeting
49,2016-10-24,FUWANGCER,Price Limit Open,0,0,0,price limit open
50,2016-10-24,FUWANGCER,Dividend Declaration,0,0,0,dividend declaration
51,2016-10-16,FUWANGCER,Board Meeting,1,0,0,board meeting
52,2016-05-19,FUWANGCER,Contract Signing with Foshan Henglitai Machinery Co. Ltd.,1,0,0,contract signing with foshan henglitai machinery co. ltd.
53,2016-04-28,FUWANGCER,Q3 Financials,0,0,0,q3 financials
54,2016-04-24,FUWANGCER,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
55,2016-01-31,FUWANGCER,Q2 Financials,1,1,0,q2 financials
56,2016-01-25,FUWANGCER,Board Meeting,0,0,0,board meeting
57,2016-01-14,FUWANGCER,Dividend Disbursement,1,0,0,dividend disbursement
58,2015-11-18,FUWANGCER,Resumption News after Record date,0,0,0,resumption news after record date
59,2015-11-17,FUWANGCER,Suspension News for Record Date,0,0,0,suspension news for record date
60,2015-11-15,FUWANGCER,Spot News,0,0,0,spot news
61,2015-11-12,FUWANGCER,Q1 Financials,0,0,0,q1 financials
62,2015-11-09,FUWANGCER,Board Meeting,0,0,0,board meeting
63,2015-10-28,FUWANGCER,Price Limit Open,0,0,0,price limit open
64,2015-10-28,FUWANGCER,Dividend Declaration,0,0,0,dividend declaration
65,2015-10-20,FUWANGCER,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
66,2015-09-13,FUWANGCER,Sale of Company's mortgaged land,0,0,0,sale of company's mortgaged land
67,2015-05-04,FUWANGCER,Q3 Financials,0,1,1,q3 financials
68,2015-01-29,FUWANGCER,H/Y,0,0,0,hy
69,2015-01-07,FUWANGCER,company news,0,1,0,company news
70,2015-01-01,FUWANGCER,appointed Managing Director,0,0,0,appointed managing director
71,2014-12-10,FUWANGCER,will resume,0,0,0,will resume
72,2014-12-09,FUWANGCER,will remain suspended,0,0,0,will remain suspended
73,2014-12-07,FUWANGCER,Spot Market,0,0,0,spot market
74,2014-11-27,FUWANGCER,EGM,1,0,0,egm
75,2014-11-27,FUWANGCER,credit rating,1,0,0,credit rating
76,2014-11-13,FUWANGCER,Q1,0,0,0,q1
77,2014-11-10,FUWANGCER,will resume,0,0,0,will resume
78,2014-11-09,FUWANGCER,will remain suspended,1,0,0,will remain suspended
79,2014-11-05,FUWANGCER,trade suspension,1,0,0,trade suspension
80,2014-10-23,FUWANGCER,no price limit,1,0,0,no price limit
81,2014-10-23,FUWANGCER,10% stock dividend,1,0,0,10 stock dividend
82,2014-10-21,FUWANGCER,meeting of the Board of Directors,0,0,1,meeting of the board of directors
83,2014-09-08,FUWANGCER,Company news,0,0,1,company news
84,2014-04-30,FUWANGCER,Q3 Earning,0,0,0,q3 earning
85,2014-01-30,FUWANGCER,H/Y Earnings,0,0,0,hy earnings
86,2014-01-21,FUWANGCER,bonus shares credited,1,1,0,bonus shares credited
87,2014-01-21,FUWANGCER,bonus shares credited,1,1,0,bonus shares credited
88,2013-12-03,FUWANGCER,Credit Rating,1,1,0,credit rating
89,2013-11-14,FUWANGCER,Q1 Earnings,1,0,0,q1 earnings
90,2013-11-13,FUWANGCER,trade resume after record date,0,1,0,trade resume after record date
91,2013-11-12,FUWANGCER,trade suspension on record date,0,0,1,trade suspension on record date
92,2013-11-07,FUWANGCER,trade suspension on record date,0,0,0,trade suspension on record date
93,2013-10-23,FUWANGCER,No Price Limit,0,0,0,no price limit
94,2013-10-23,FUWANGCER,Corporate Action,0,0,0,corporate action
