,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,FUWANGFOOD,Q3 Financials,1,1,0,q3 financials
1,2019-04-23,FUWANGFOOD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-02-20,FUWANGFOOD,Re-launch the Commercial Operation of Fu-Wang Carbonated Beverage,0,0,0,re-launch the commercial operation of fu-wang carbonated beverage
3,2019-01-29,FUWANGFOOD,Procurement of auxiliary machineries & re-start commercial operation,0,0,0,procurement of auxiliary machineries  re-start commercial operation
4,2019-01-29,FUWANGFOOD,Q2 Financials,0,0,0,q2 financials
5,2019-01-22,FUWANGFOOD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2019-01-20,FUWANGFOOD,Dividend Disbursement,1,1,0,dividend disbursement
7,2018-12-09,FUWANGFOOD,Venue of the 22nd AGM,0,0,0,venue of the 22nd agm
8,2018-11-29,FUWANGFOOD,Resumption after record date,0,0,0,resumption after record date
9,2018-11-28,FUWANGFOOD,Suspension for Record date,0,0,0,suspension for record date
10,2018-11-26,FUWANGFOOD,Spot News,0,1,0,spot news
11,2018-11-15,FUWANGFOOD,Q1 Financials,1,0,0,q1 financials
12,2018-11-08,FUWANGFOOD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-10-29,FUWANGFOOD,Price Limit Open,1,1,0,price limit open
14,2018-10-29,FUWANGFOOD,Dividend Declaration,1,1,0,dividend declaration
15,2018-10-18,FUWANGFOOD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
16,2018-08-05,FUWANGFOOD,Credit Rating Result,1,0,0,credit rating result
17,2018-06-28,FUWANGFOOD,Query Response,0,0,0,query response
18,2018-04-26,FUWANGFOOD,Q3 Financials,1,0,0,q3 financials
19,2018-04-22,FUWANGFOOD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-01-29,FUWANGFOOD,Q2 Financials,1,0,0,q2 financials
21,2018-01-23,FUWANGFOOD,Dividend Disbursement,0,0,0,dividend disbursement
22,2018-01-21,FUWANGFOOD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2017-12-06,FUWANGFOOD,Resumption after record date,0,0,0,resumption after record date
24,2017-12-05,FUWANGFOOD,Suspension for Record Date,0,0,0,suspension for record date
25,2017-12-03,FUWANGFOOD,Date and Time Change of EGM & AGM,1,0,0,date and time change of egm  agm
26,2017-12-03,FUWANGFOOD,Spot News for EGM & AGM,1,0,0,spot news for egm  agm
28,2017-11-13,FUWANGFOOD,Date of EGM & new Date of AGM,1,0,0,date of egm  new date of agm
29,2017-11-13,FUWANGFOOD,Q1 Financials,1,0,0,q1 financials
30,2017-11-07,FUWANGFOOD,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
31,2017-10-29,FUWANGFOOD,Price Limit Open,0,1,1,price limit open
33,2017-10-29,FUWANGFOOD,Dividend Declaration & increase of Authorized Capital,0,1,1,dividend declaration  increase of authorized capital
34,2017-10-15,FUWANGFOOD,Reschedule of Board Meeting under LR 19(1),0,0,1,reschedule of board meeting under lr 191
35,2017-10-10,FUWANGFOOD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
36,2017-10-05,FUWANGFOOD,Query Response,0,0,0,query response
37,2017-10-04,FUWANGFOOD,Fine Imposed upon the Directors of the Company,1,0,0,fine imposed upon the directors of the company
38,2017-08-24,FUWANGFOOD,Credit Rating Result,1,0,0,credit rating result
39,2017-07-25,FUWANGFOOD,Enquiry Committee formed by BSEC,0,1,0,enquiry committee formed by bsec
40,2017-07-16,FUWANGFOOD,Response of a query made by DSE,0,0,1,response of a query made by dse
41,2017-07-09,FUWANGFOOD,Query Response (Repeat),0,1,1,query response repeat
42,2017-07-06,FUWANGFOOD,Query Response,1,0,0,query response
43,2017-05-02,FUWANGFOOD,Q3 Financials,0,1,0,q3 financials
44,2017-04-25,FUWANGFOOD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2017-01-29,FUWANGFOOD,Q2 Financials,0,1,1,q2 financials
46,2017-01-23,FUWANGFOOD, Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
47,2017-01-17,FUWANGFOOD,Dividend Disbursement,0,0,0,dividend disbursement
48,2016-11-29,FUWANGFOOD,Elected Chairman,1,0,1,elected chairman
49,2016-11-21,FUWANGFOOD,Suspension for record date,1,0,1,suspension for record date
50,2016-11-21,FUWANGFOOD,Suspension for record date,1,0,1,suspension for record date
51,2016-11-17,FUWANGFOOD,Spot for AGM,1,0,0,spot for agm
52,2016-11-15,FUWANGFOOD,Q1 Financials,0,0,1,q1 financials
53,2016-11-07,FUWANGFOOD,Board Meeting,1,0,0,board meeting
54,2016-10-26,FUWANGFOOD,Price Limit Open,0,0,0,price limit open
55,2016-10-26,FUWANGFOOD,Dividend Declaration,0,0,0,dividend declaration
56,2016-10-13,FUWANGFOOD,Credit Rating Result,0,0,0,credit rating result
57,2016-05-02,FUWANGFOOD,Q3 Financials,0,1,0,q3 financials
58,2016-04-24,FUWANGFOOD,Board Meeting,1,0,0,board meeting
59,2016-04-13,FUWANGFOOD,Elected Chairman,0,0,0,elected chairman
60,2016-01-31,FUWANGFOOD,Q2 Financials,0,0,0,q2 financials
61,2016-01-26,FUWANGFOOD,Board Meeting,0,0,0,board meeting
62,2016-01-19,FUWANGFOOD,Dividend Disbursement,1,0,0,dividend disbursement
63,2015-11-19,FUWANGFOOD,Resumption News after Record date,0,0,0,resumption news after record date
64,2015-11-18,FUWANGFOOD,Suspension News for Record Date,0,0,0,suspension news for record date
65,2015-11-10,FUWANGFOOD,Board Meeting,1,0,1,board meeting
66,2015-10-25,FUWANGFOOD,Price Limit Open,1,0,0,price limit open
67,2015-10-25,FUWANGFOOD,Dividend Declaration,1,0,0,dividend declaration
68,2015-10-13,FUWANGFOOD,Credit Rating Result,0,0,1,credit rating result
69,2015-10-12,FUWANGFOOD,Board Meeting,0,0,0,board meeting
