,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,GBBPOWER,Q3 Financials,1,1,0,q3 financials
1,2019-04-24,GBBPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-30,GBBPOWER,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,GBBPOWER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2018-12-11,GBBPOWER,Credit Rating Result,0,1,0,credit rating result
5,2018-11-20,GBBPOWER,Resumption after record date,0,0,0,resumption after record date
6,2018-11-19,GBBPOWER,Suspension for Record date,0,0,0,suspension for record date
7,2018-11-14,GBBPOWER,Q1 Financials,0,0,0,q1 financials
8,2018-11-07,GBBPOWER,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
9,2018-11-06,GBBPOWER,Spot News,0,1,1,spot news
10,2018-10-29,GBBPOWER,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
11,2018-10-29,GBBPOWER,Category Change,0,1,0,category change
12,2018-10-29,GBBPOWER,Price Limit Open,0,1,0,price limit open
13,2018-10-29,GBBPOWER,Dividend Declaration,0,1,0,dividend declaration
14,2018-10-23,GBBPOWER,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
15,2018-04-25,GBBPOWER,Q3 Financials,0,0,0,q3 financials
16,2018-04-22,GBBPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2018-02-04,GBBPOWER,Dispose of the Litigation between the Company & PGCL and its impact,0,0,0,dispose of the litigation between the company  pgcl and its impact
19,2018-01-31,GBBPOWER,Confirmation of share receipt by a Director,0,0,0,confirmation of share receipt by a director
20,2018-01-29,GBBPOWER,Declaration of share receipt by a Director,0,0,0,declaration of share receipt by a director
21,2018-01-25,GBBPOWER,Dividend Disbursement,0,0,0,dividend disbursement
22,2018-01-25,GBBPOWER,Q2 Financials,0,0,0,q2 financials
23,2018-01-21,GBBPOWER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
24,2017-12-03,GBBPOWER,Resumption after record date,0,1,0,resumption after record date
25,2017-11-30,GBBPOWER,Suspension for Record Date,0,0,0,suspension for record date
26,2017-11-28,GBBPOWER,Spot News,0,0,0,spot news
27,2017-11-12,GBBPOWER,Revised NAV per share from July-September 2016,0,0,0,revised nav per share from july-september 2016
28,2017-11-09,GBBPOWER,Q1 Financials,0,0,0,q1 financials
29,2017-11-07,GBBPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-11-06,GBBPOWER,Credit Rating Result,0,0,0,credit rating result
31,2017-10-25,GBBPOWER,Price Limit Open,1,0,0,price limit open
32,2017-10-25,GBBPOWER,Dividend Declaration,1,0,0,dividend declaration
33,2017-10-17,GBBPOWER,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
34,2017-05-02,GBBPOWER,Q3 Financials,1,1,1,q3 financials
35,2017-04-30,GBBPOWER,Confirmation of transfer by a Director,0,0,1,confirmation of transfer by a director
36,2017-04-27,GBBPOWER,Declaration of transfer by a Director,0,0,0,declaration of transfer by a director
37,2017-04-25,GBBPOWER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
38,2017-01-31,GBBPOWER,Q2 Financials,1,0,0,q2 financials
39,2017-01-24,GBBPOWER,Confirmation of transfer by a Director,0,0,0,confirmation of transfer by a director
40,2017-01-24,GBBPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-01-22,GBBPOWER,Declaration of transfer by a Director,1,0,0,declaration of transfer by a director
42,2017-01-11,GBBPOWER,Query Response,1,1,0,query response
43,2016-11-06,GBBPOWER,Dividend Disbursement,0,0,0,dividend disbursement
44,2016-10-30,GBBPOWER,Q1 Financials,0,0,1,q1 financials
45,2016-10-25,GBBPOWER,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
46,2016-10-19,GBBPOWER,Credit Rating Result,0,1,0,credit rating result
47,2016-09-19,GBBPOWER,Resumption after record date,1,1,0,resumption after record date
48,2016-09-07,GBBPOWER,Spot for AGM,1,0,0,spot for agm
49,2016-08-22,GBBPOWER,Price Limit Open,1,0,0,price limit open
50,2016-08-22,GBBPOWER,Final Dividend Declaration,1,0,0,final dividend declaration
51,2016-08-10,GBBPOWER,Board Meeting,0,1,0,board meeting
52,2016-07-20,GBBPOWER,Interim Dividend Disbursement,0,0,0,interim dividend disbursement
53,2016-05-19,GBBPOWER,Resumption after Record date,0,0,0,resumption after record date
54,2016-05-16,GBBPOWER,Spot News,1,0,1,spot news
55,2016-05-12,GBBPOWER,Postponement of AGM,0,0,0,postponement of agm
56,2016-04-28,GBBPOWER,Q1 Financials,0,0,0,q1 financials
57,2016-04-28,GBBPOWER,Price Limit Open,0,0,0,price limit open
58,2016-04-28,GBBPOWER,Dividend Declaration,0,0,0,dividend declaration
59,2016-04-24,GBBPOWER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
60,2016-04-20,GBBPOWER,Board Meeting,0,0,0,board meeting
61,2015-10-28,GBBPOWER,Q3 Financials,1,0,0,q3 financials
62,2015-10-19,GBBPOWER,Confirmation of sale by a Corporate Sponsor,0,0,1,confirmation of sale by a corporate sponsor
63,2015-10-04,GBBPOWER,Declaration of sale,0,0,0,declaration of sale
64,2015-10-01,GBBPOWER,Credit Rating Result,1,0,0,credit rating result
65,2015-09-16,GBBPOWER,Completion of Transfer by Sponsors,0,1,0,completion of transfer by sponsors
66,2015-09-16,GBBPOWER,Completion of Transfer by Sponsors,0,1,0,completion of transfer by sponsors
67,2015-09-15,GBBPOWER,Declaration of Transfer by Sponsors/Directors,0,0,1,declaration of transfer by sponsorsdirectors
68,2015-09-15,GBBPOWER,Declaration of Transfer by Sponsors/Directors,0,0,1,declaration of transfer by sponsorsdirectors
69,2015-08-02,GBBPOWER,New Chairman and MD,0,1,0,new chairman and md
70,2015-07-30,GBBPOWER,Q2 Financials,1,0,0,q2 financials
71,2015-07-27,GBBPOWER,Dividend Disbursement,0,0,1,dividend disbursement
72,2015-06-07,GBBPOWER,Confirmation of sale by Corporate Sponsor,0,0,0,confirmation of sale by corporate sponsor
