,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,GEMINISEA,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,GEMINISEA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-01-29,GEMINISEA,Q2 Financials,0,0,0,q2 financials
4,2019-01-21,GEMINISEA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-16,GEMINISEA,Query Response,0,0,0,query response
6,2019-01-01,GEMINISEA,Dividend Disbursement,0,1,0,dividend disbursement
7,2018-11-20,GEMINISEA,Resumption after record date,0,0,0,resumption after record date
8,2018-11-19,GEMINISEA,Suspension for Record date,1,0,0,suspension for record date
9,2018-11-15,GEMINISEA,Spot News,0,0,0,spot news
10,2018-11-13,GEMINISEA,Q1 Financials,1,1,0,q1 financials
11,2018-11-07,GEMINISEA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
12,2018-10-25,GEMINISEA,Price Limit Open,0,0,0,price limit open
14,2018-10-25,GEMINISEA,Dividend Declaration,0,0,0,dividend declaration
15,2018-10-16,GEMINISEA,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
16,2018-06-12,GEMINISEA,Credit Rating Result,0,0,0,credit rating result
18,2018-05-30,GEMINISEA,Information for the Stakeholders of the Company,0,0,0,information for the stakeholders of the company
19,2018-04-26,GEMINISEA,Q3 Financials,0,0,0,q3 financials
20,2018-04-22,GEMINISEA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2018-01-30,GEMINISEA,Q2 Financials,0,0,0,q2 financials
22,2018-01-23,GEMINISEA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2018-01-14,GEMINISEA,Dividend Disbursement,0,0,1,dividend disbursement
24,2018-01-02,GEMINISEA,Dividend Disbursement,0,1,0,dividend disbursement
25,2017-11-23,GEMINISEA,Appointment of Chairman and Managing Director,0,0,0,appointment of chairman and managing director
26,2017-11-16,GEMINISEA,Resumption after record date,0,0,0,resumption after record date
27,2017-11-16,GEMINISEA,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
28,2017-11-15,GEMINISEA,Suspension for Record Date,1,0,0,suspension for record date
29,2017-11-14,GEMINISEA,Q1 Financials,0,1,0,q1 financials
30,2017-11-14,GEMINISEA,New venue for the AGM,0,1,0,new venue for the agm
31,2017-11-14,GEMINISEA,Q1 Financials,0,1,0,q1 financials
32,2017-11-13,GEMINISEA,Spot News,0,0,1,spot news
