,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,GENNEXT,Q3 Financials,0,0,0,q3 financials
1,2019-04-23,GENNEXT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-02-03,GENNEXT,Q2 Financials,0,1,0,q2 financials
3,2019-01-23,GENNEXT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
4,2018-12-11,GENNEXT,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-11-14,GENNEXT,Q1 Financials,0,0,0,q1 financials
6,2018-11-06,GENNEXT,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
7,2018-10-30,GENNEXT,Resumption after Record Date,0,0,0,resumption after record date
8,2018-10-29,GENNEXT,Suspension for Record Date,0,0,0,suspension for record date
9,2018-10-25,GENNEXT,Spot News,0,0,0,spot news
10,2018-10-09,GENNEXT,Price Limit Open,0,0,0,price limit open
11,2018-10-09,GENNEXT,Dividend Declaration,0,0,0,dividend declaration
12,2018-09-30,GENNEXT,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
13,2018-04-30,GENNEXT,Q3 Financials,0,0,0,q3 financials
14,2018-04-23,GENNEXT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-02-01,GENNEXT,Q2 Financials,0,0,0,q2 financials
16,2018-01-24,GENNEXT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
17,2018-01-17,GENNEXT,Dividend Disbursement,0,0,0,dividend disbursement
18,2017-11-26,GENNEXT,Resumption after record date,0,0,1,resumption after record date
19,2017-11-26,GENNEXT,Issuance of Non-convertible redeemable subordinated Bond,0,0,1,issuance of non-convertible redeemable subordinated bond
20,2017-11-23,GENNEXT,Suspension for Record Date,0,0,0,suspension for record date
21,2017-11-21,GENNEXT,AGM Date Change,1,0,0,agm date change
22,2017-11-21,GENNEXT,Spot News,1,0,0,spot news
23,2017-11-16,GENNEXT,Q1 Financials,1,0,0,q1 financials
24,2017-11-12,GENNEXT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
25,2017-10-29,GENNEXT,Price Limit Open,0,1,1,price limit open
26,2017-10-29,GENNEXT,Dividend Declaration,0,1,1,dividend declaration
27,2017-10-22,GENNEXT,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
28,2017-06-20,GENNEXT,Commercial Space Purchase,1,1,0,commercial space purchase
29,2017-06-12,GENNEXT,Credit Rating Result,0,0,0,credit rating result
30,2017-05-02,GENNEXT,Q3 Financials,1,1,0,q3 financials
31,2017-04-27,GENNEXT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
32,2017-01-31,GENNEXT,Q2 Financials,1,1,0,q2 financials
33,2017-01-19,GENNEXT,Dividend Disbursement,0,0,0,dividend disbursement
34,2016-12-07,GENNEXT,Q1,1,1,0,q1
35,2016-12-04,GENNEXT,EGM to increase authorized capital & time limit of Rights utilization,1,0,0,egm to increase authorized capital  time limit of rights utilization
36,2016-11-29,GENNEXT,Adoption of 18 months audited accounts & re-fixation of AGM date,1,0,0,adoption of 18 months audited accounts  re-fixation of agm date
37,2016-11-22,GENNEXT,Board Meeting,1,1,1,board meeting
38,2016-05-22,GENNEXT,Resumption after Record date,0,0,1,resumption after record date
39,2016-05-22,GENNEXT,Postponement of AGM and EGM,0,0,1,postponement of agm and egm
40,2016-05-17,GENNEXT,Spot News,0,1,1,spot news
41,2016-05-15,GENNEXT,Unaudited Financial Information,0,1,0,unaudited financial information
42,2016-05-02,GENNEXT,Price Limit Open,0,1,0,price limit open
43,2016-05-02,GENNEXT,Dividend Declaration,0,1,0,dividend declaration
44,2016-04-25,GENNEXT,Board Meeting,0,0,0,board meeting
45,2016-03-15,GENNEXT,Credit Rating Result,0,0,0,credit rating result
46,2015-11-01,GENNEXT,Q3 Financials,0,0,0,q3 financials
47,2015-09-10,GENNEXT,Appointment of Managing Director,0,0,0,appointment of managing director
48,2015-08-02,GENNEXT,Q2 Financials,0,1,1,q2 financials
49,2015-07-27,GENNEXT,Dividend Disbursement,0,0,1,dividend disbursement
50,2015-05-26,GENNEXT,Change of date and time of AGM,0,0,0,change of date and time of agm
51,2015-05-18,GENNEXT,Confirmation of Sale/Buy of Directors,1,0,1,confirmation of salebuy of directors
52,2015-05-17,GENNEXT,Q1 Financials,1,1,0,q1 financials
53,2015-05-11,GENNEXT,Resumption News after Record Date,0,0,1,resumption news after record date
54,2015-05-10,GENNEXT,Suspension News for Record Date,1,0,0,suspension news for record date
