,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,GHAIL,Resumption after record date,0,0,0,resumption after record date
1,2019-04-29,GHAIL,Suspension for Record Date,1,0,0,suspension for record date
2,2019-04-25,GHAIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-04-25,GHAIL,Spot News for EGM,0,0,0,spot news for egm
5,2019-04-08,GHAIL,Revision of the proportion of rights issuance,0,0,0,revision of the proportion of rights issuance
6,2019-03-03,GHAIL,"Grand Opening of the Domino's Pizza on 15th March, 2019",0,1,1,"grand opening of the domino's pizza on 15th march, 2019"
7,2019-01-30,GHAIL,Q2 Financials,0,1,0,q2 financials
8,2019-01-22,GHAIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
9,2019-01-03,GHAIL,Dividend Disbursement,1,0,0,dividend disbursement
10,2018-11-19,GHAIL,Resumption after record date,0,0,0,resumption after record date
11,2018-11-18,GHAIL,Suspension for Record date,1,0,0,suspension for record date
12,2018-11-18,GHAIL,Q1 Financials,1,0,0,q1 financials
13,2018-11-14,GHAIL,Spot News,0,1,0,spot news
14,2018-11-12,GHAIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-10-28,GHAIL,Price Limit Open,0,1,0,price limit open
18,2018-10-28,GHAIL,"Dividend Declaration, increasing Authorized capital & Rights issue",0,1,0,"dividend declaration, increasing authorized capital  rights issue"
19,2018-10-16,GHAIL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
20,2018-09-16,GHAIL,Obtain permission from BSEC to increase paid up capital of the subsidiary,0,0,0,obtain permission from bsec to increase paid up capital of the subsidiary
21,2018-05-30,GHAIL,Agreement signing of a subsidiary company with IFC lnfraventures,1,1,0,agreement signing of a subsidiary company with ifc lnfraventures
22,2018-04-30,GHAIL,Q3 Financials,0,0,0,q3 financials
23,2018-04-23,GHAIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2018-04-19,GHAIL,Approval to increase paid up capital of the wholly owned subsidiary,0,0,0,approval to increase paid up capital of the wholly owned subsidiary
29,2018-03-07,GHAIL,Agreement Executions by an Associate Company with Jubilant Foodworks Ltd.,0,0,0,agreement executions by an associate company with jubilant foodworks ltd.
30,2018-01-29,GHAIL,Q2 Financials,0,0,0,q2 financials
31,2018-01-23,GHAIL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
32,2018-01-15,GHAIL,Stock Dividend Disbursement,0,1,0,stock dividend disbursement
33,2017-12-19,GHAIL,Credit Rating Result,0,0,0,credit rating result
34,2017-11-23,GHAIL,Resumption after record date,0,0,0,resumption after record date
35,2017-11-22,GHAIL,Suspension for Record Date,0,0,0,suspension for record date
36,2017-11-20,GHAIL,Spot News,1,1,0,spot news
37,2017-11-16,GHAIL,Q1 Financials,1,0,0,q1 financials
38,2017-11-12,GHAIL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
39,2017-11-05,GHAIL,Price Limit Open,1,1,0,price limit open
41,2017-11-05,GHAIL,Dividend Declaration,1,1,0,dividend declaration
42,2017-10-26,GHAIL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
43,2017-04-30,GHAIL,Q3 Financials,0,0,0,q3 financials
44,2017-04-25,GHAIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2017-01-30,GHAIL,Q2 Financials,0,0,1,q2 financials
46,2017-01-25,GHAIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
47,2017-01-10,GHAIL,Dividend Disbursement,1,1,0,dividend disbursement
48,2017-01-08,GHAIL,Approval for increasing Authorized Capital in the EGM,0,1,1,approval for increasing authorized capital in the egm
49,2016-12-26,GHAIL,Credit Rating Result,0,0,1,credit rating result
50,2016-12-14,GHAIL,Query Response,1,1,0,query response
51,2016-12-07,GHAIL,accorded consent for bond issue,1,0,0,accorded consent for bond issue
52,2016-11-21,GHAIL,Spot for EGM & AGM,1,1,1,spot for egm  agm
53,2016-11-16,GHAIL,Q1 Financials,1,0,0,q1 financials
54,2016-11-13,GHAIL,Board Meeting,1,1,0,board meeting
55,2016-10-30,GHAIL,Price Limit Open,1,0,1,price limit open
56,2016-10-30,GHAIL,Dividend Declaration & EGM for increasing Authorized Capital,1,0,1,dividend declaration  egm for increasing authorized capital
57,2016-10-23,GHAIL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
58,2016-05-22,GHAIL,Resumption after Record date for EGM,0,0,1,resumption after record date for egm
59,2016-05-17,GHAIL,Spot News for EGM,1,1,1,spot news for egm
60,2016-05-02,GHAIL,Q3 Financials,1,1,1,q3 financials
61,2016-05-02,GHAIL,EGM for issuance of Non-convertible,1,1,1,egm for issuance of non-convertible
