,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,GLAXOSMITH,Q1 Financials,0,0,0,q1 financials
1,2019-04-21,GLAXOSMITH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-04-21,GLAXOSMITH,Appointment of the Chairman,0,0,0,appointment of the chairman
3,2019-03-21,GLAXOSMITH,Resumption after record date,0,0,0,resumption after record date
4,2019-03-20,GLAXOSMITH,Suspension for Record date,0,0,0,suspension for record date
5,2019-03-18,GLAXOSMITH,Spot News,0,0,0,spot news
6,2019-02-27,GLAXOSMITH,Price Limit Open,1,0,0,price limit open
7,2019-02-27,GLAXOSMITH,Dividend Declaration,1,0,0,dividend declaration
8,2019-02-19,GLAXOSMITH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
10,2018-12-04,GLAXOSMITH,Signing of a Share Purchase Agreement with Setfirst,1,0,0,signing of a share purchase agreement with setfirst
11,2018-12-03,GLAXOSMITH,Query Response,1,1,0,query response
12,2018-11-29,GLAXOSMITH,Appointment of Managing Director,0,0,0,appointment of managing director
14,2018-11-01,GLAXOSMITH,Q3 Financials,1,0,0,q3 financials
15,2018-10-28,GLAXOSMITH,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
16,2018-09-20,GLAXOSMITH,Venue of the EGM,0,0,0,venue of the egm
17,2018-09-19,GLAXOSMITH,Resumption after Record Date,0,0,0,resumption after record date
18,2018-09-18,GLAXOSMITH,Suspension for Record Date,0,0,0,suspension for record date
19,2018-09-16,GLAXOSMITH,Spot News for EGM,0,0,0,spot news for egm
21,2018-08-29,GLAXOSMITH,EGM to close Manufacturing & Commercial operations of Pharma Business,1,1,0,egm to close manufacturing  commercial operations of pharma business
22,2018-07-29,GLAXOSMITH,Manufacturing & Commercial operations close of Pharma Business,1,0,0,manufacturing  commercial operations close of pharma business
23,2018-07-23,GLAXOSMITH,Q2 Financials,0,1,0,q2 financials
24,2018-07-16,GLAXOSMITH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
25,2018-06-27,GLAXOSMITH,Appointment of Chairman and Managing Director,1,0,0,appointment of chairman and managing director
26,2018-05-23,GLAXOSMITH,Dividend Disbursement,0,0,0,dividend disbursement
27,2018-04-22,GLAXOSMITH,Q1 Financials,0,1,0,q1 financials
28,2018-04-16,GLAXOSMITH,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
29,2018-03-21,GLAXOSMITH,Resumption after record date,0,0,0,resumption after record date
30,2018-03-20,GLAXOSMITH,Suspension for Record Date,1,0,0,suspension for record date
31,2018-03-18,GLAXOSMITH,Spot News,0,0,1,spot news
32,2018-02-28,GLAXOSMITH,Price Limit Open,0,1,0,price limit open
33,2018-02-28,GLAXOSMITH,Dividend Declaration,0,1,0,dividend declaration
34,2018-02-18,GLAXOSMITH,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
35,2017-10-23,GLAXOSMITH,Q3 Financials,1,0,1,q3 financials
36,2017-10-16,GLAXOSMITH,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
37,2017-07-25,GLAXOSMITH,Q2 Financials,0,1,0,q2 financials
38,2017-07-19,GLAXOSMITH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2017-05-24,GLAXOSMITH,Dividend Disbursement,0,1,0,dividend disbursement
40,2017-04-23,GLAXOSMITH,Q1 Financials,0,0,0,q1 financials
41,2017-04-17,GLAXOSMITH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
42,2017-03-23,GLAXOSMITH,Resumption after record date,0,0,0,resumption after record date
43,2017-03-22,GLAXOSMITH,Suspension for Record Date,0,0,0,suspension for record date
44,2017-03-20,GLAXOSMITH,Spot News,1,1,0,spot news
45,2017-03-05,GLAXOSMITH,Price Limit Open,0,0,0,price limit open
46,2017-03-05,GLAXOSMITH,Dividend Declaration,0,0,0,dividend declaration
47,2017-02-23,GLAXOSMITH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
48,2016-10-26,GLAXOSMITH,Q3 Financials,0,1,0,q3 financials
49,2016-10-20,GLAXOSMITH,Board Meeting,1,0,0,board meeting
50,2016-07-21,GLAXOSMITH,Q2 Financials,0,0,0,q2 financials
51,2016-07-19,GLAXOSMITH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
52,2016-04-25,GLAXOSMITH,Q1 Financials,0,0,1,q1 financials
53,2016-03-16,GLAXOSMITH,Resumption after Record date,0,0,0,resumption after record date
54,2016-03-15,GLAXOSMITH,Suspension for Record date,0,0,0,suspension for record date
55,2016-03-13,GLAXOSMITH,Spot for AGM,1,0,0,spot for agm
56,2016-02-25,GLAXOSMITH,Price Limit Open,1,0,0,price limit open
57,2016-02-25,GLAXOSMITH,Dividend Declaration,1,0,0,dividend declaration
58,2016-02-17,GLAXOSMITH, Board Meeting,0,0,0,board meeting
59,2015-12-20,GLAXOSMITH,Agreed to enter into agreements with Novartis Bangladesh Ltd.,0,0,0,agreed to enter into agreements with novartis bangladesh ltd.
60,2015-10-25,GLAXOSMITH,Q3 Financials,0,0,0,q3 financials
61,2015-10-19,GLAXOSMITH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
62,2015-07-27,GLAXOSMITH,Half Yearly Financials,1,1,0,half yearly financials
63,2015-05-18,GLAXOSMITH,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
64,2015-04-27,GLAXOSMITH,Q1,1,0,0,q1
65,2015-03-12,GLAXOSMITH,Resumption News after Record Date,0,0,0,resumption news after record date
66,2015-03-11,GLAXOSMITH,Suspension News for Record date,0,0,0,suspension news for record date
67,2015-03-09,GLAXOSMITH,Spot News for AGM,1,1,0,spot news for agm
68,2015-02-25,GLAXOSMITH,Price Limit Open,1,0,0,price limit open
69,2015-02-25,GLAXOSMITH,Dividend Declaration,1,0,0,dividend declaration
70,2015-02-23,GLAXOSMITH,Board Meeting schedule under LR 30,0,1,1,board meeting schedule under lr 30
71,2014-11-02,GLAXOSMITH,Q3 earnings,1,0,0,q3 earnings
72,2014-08-18,GLAXOSMITH,H/F earnings,0,0,1,hf earnings
73,2014-04-28,GLAXOSMITH,DSE query,1,1,0,dse query
74,2014-04-27,GLAXOSMITH,Quaterly Earning,0,1,1,quaterly earning
75,2014-03-12,GLAXOSMITH,trade resume,0,1,0,trade resume
76,2014-03-11,GLAXOSMITH,trade suspension on record date,0,0,1,trade suspension on record date
77,2014-03-06,GLAXOSMITH,Spot Market and Block/Odd lot transactions,1,0,0,spot market and blockodd lot transactions
78,2014-02-23,GLAXOSMITH,recommended 300% cash dividend,0,1,0,recommended 300 cash dividend
79,2014-02-23,GLAXOSMITH,no price limit,0,1,0,no price limit
80,2014-02-19,GLAXOSMITH,Board Meeting,0,1,0,board meeting
81,2013-10-31,GLAXOSMITH,Q3 Earnings,0,0,0,q3 earnings
82,2013-10-31,GLAXOSMITH,Q3 Earnings,0,0,0,q3 earnings
83,2013-07-31,GLAXOSMITH,Q2 Earnings,1,1,0,q2 earnings
84,2013-05-19,GLAXOSMITH,Cash Dividend Warrant,0,0,0,cash dividend warrant
85,2013-04-30,GLAXOSMITH,Q1 Earnings,1,0,1,q1 earnings
86,2013-03-14,GLAXOSMITH,trade suspension on record date,0,0,0,trade suspension on record date
87,2013-03-11,GLAXOSMITH,spot market trading,1,1,1,spot market trading
88,2013-02-27,GLAXOSMITH,Corporate declaration,1,0,0,corporate declaration
89,2013-02-24,GLAXOSMITH,Board meeting,0,0,0,board meeting
90,2012-10-30,GLAXOSMITH,Q3 Earnings 2012,0,0,0,q3 earnings 2012
91,2012-07-22,GLAXOSMITH,- As per un-audited half yearly accounts...,1,0,1,as per un-audited half yearly accounts
92,2012-05-13,GLAXOSMITH,-The Company has requested ...,0,0,0,-the company has requested
93,2012-05-02,GLAXOSMITH,- As per un-audited quarterly accounts...,1,1,0,as per un-audited quarterly accounts
94,2012-03-04,GLAXOSMITH,- Normal trading of the shares...,0,0,0,normal trading of the shares
95,2011-07-31,GLAXOSMITH,- (H/Y): As per un-audited...,0,1,1,hy: as per un-audited
96,2011-07-13,GLAXOSMITH,- In response to a DSE query...,1,0,0,in response to a dse query
