,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,GPHISPAT,Q3 Financials,1,0,0,q3 financials
1,2019-04-18,GPHISPAT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-01-31,GPHISPAT,Q2 Financials,0,0,0,q2 financials
3,2019-01-22,GPHISPAT,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
4,2019-01-08,GPHISPAT,Dividend Disbursement,1,0,0,dividend disbursement
5,2018-12-02,GPHISPAT,Credit Rating Result,1,0,1,credit rating result
6,2018-11-18,GPHISPAT,Resumption after record date,0,0,0,resumption after record date
7,2018-11-15,GPHISPAT,Suspension for Record Date,1,0,0,suspension for record date
8,2018-11-14,GPHISPAT,Confirmation of share transfer by a Sponsor Director,1,1,0,confirmation of share transfer by a sponsor director
9,2018-11-13,GPHISPAT,Spot News,0,1,1,spot news
10,2018-11-13,GPHISPAT,Q1 Financials,0,1,1,q1 financials
11,2018-11-11,GPHISPAT,Declaration of share transfer by a Sponsor Director,0,0,0,declaration of share transfer by a sponsor director
12,2018-11-07,GPHISPAT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-10-28,GPHISPAT,Price Limit Open,0,1,0,price limit open
15,2018-10-28,GPHISPAT,Dividend Declaration,0,1,0,dividend declaration
16,2018-10-15,GPHISPAT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-09-16,GPHISPAT,Decided to invest as equity in a Private Limited Company,0,0,0,decided to invest as equity in a private limited company
19,2018-06-28,GPHISPAT,Land Purchase,0,0,0,land purchase
20,2018-04-30,GPHISPAT,Q3 Financials,0,0,0,q3 financials
21,2018-04-19,GPHISPAT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
22,2018-01-30,GPHISPAT,Q2 Financials,0,0,0,q2 financials
23,2018-01-24,GPHISPAT,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
24,2018-01-09,GPHISPAT,Dividend Disbursement,0,0,0,dividend disbursement
25,2017-12-27,GPHISPAT,Dividend Disbursement,0,1,0,dividend disbursement
