,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,GQBALLPEN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-01-31,GQBALLPEN,Q2 Financials,0,0,0,q2 financials
2,2019-01-27,GQBALLPEN,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
3,2019-01-07,GQBALLPEN,Dividend Disbursement,1,1,0,dividend disbursement
5,2018-12-03,GQBALLPEN,Basis for Qualified Opinion and Emphasis of Matter,0,0,0,basis for qualified opinion and emphasis of matter
6,2018-11-19,GQBALLPEN,Resumption after record date,0,1,0,resumption after record date
7,2018-11-18,GQBALLPEN,Suspension for Record date,1,0,1,suspension for record date
8,2018-11-15,GQBALLPEN,Date Change of AGM,1,0,0,date change of agm
9,2018-11-15,GQBALLPEN,Q1 Financials,1,0,0,q1 financials
10,2018-11-14,GQBALLPEN,Spot News,0,1,0,spot news
11,2018-11-12,GQBALLPEN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-10-29,GQBALLPEN,Dividend Declaration (Additional Disclosure),1,0,0,dividend declaration additional disclosure
13,2018-10-29,GQBALLPEN,Price Limit Open,1,0,0,price limit open
15,2018-10-29,GQBALLPEN,Dividend Declaration,1,0,0,dividend declaration
16,2018-10-22,GQBALLPEN,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
17,2018-07-11,GQBALLPEN,Query Response,0,1,0,query response
18,2018-06-21,GQBALLPEN,Query Response (Repeat News),1,0,0,query response repeat news
19,2018-06-19,GQBALLPEN,Query Response,0,1,1,query response
20,2018-05-03,GQBALLPEN,Q3 Financials,0,0,0,q3 financials
21,2018-04-22,GQBALLPEN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
22,2018-02-11,GQBALLPEN,Basis for Qualified Opinion,1,1,1,basis for qualified opinion
23,2018-01-31,GQBALLPEN,Q2 Financials,0,0,0,q2 financials
24,2018-01-29,GQBALLPEN,Dividend Disbursement,0,0,0,dividend disbursement
25,2018-01-28,GQBALLPEN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2017-11-19,GQBALLPEN,Resumption after record date,0,0,0,resumption after record date
27,2017-11-16,GQBALLPEN,Suspension for Record Date,0,0,0,suspension for record date
28,2017-11-15,GQBALLPEN,Q1 Financials,0,0,0,q1 financials
29,2017-11-14,GQBALLPEN,Spot News,1,0,0,spot news
30,2017-11-12,GQBALLPEN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
31,2017-10-29,GQBALLPEN,Price Limit Open,0,0,1,price limit open
33,2017-10-29,GQBALLPEN,Dividend Declaration,0,0,1,dividend declaration
34,2017-10-23,GQBALLPEN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
35,2017-08-20,GQBALLPEN,Query Response,0,1,0,query response
