,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,GRAMEENS2,Q3 Financials,0,0,0,q3 financials
1,2019-04-28,GRAMEENS2,Weekly NAV,1,0,0,weekly nav
2,2019-04-23,GRAMEENS2,Trustee Committee Meeting under LR 16(1),1,0,1,trustee committee meeting under lr 161
3,2019-04-21,GRAMEENS2,Weekly NAV,0,0,1,weekly nav
4,2019-04-15,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
7,2019-03-24,GRAMEENS2,Weekly NAV,1,0,0,weekly nav
8,2019-03-18,GRAMEENS2,Weekly NAV,1,1,0,weekly nav
9,2019-03-10,GRAMEENS2,Weekly NAV,0,1,0,weekly nav
10,2019-03-03,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
11,2019-02-24,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
12,2019-02-17,GRAMEENS2,Weekly NAV,1,0,0,weekly nav
13,2019-02-10,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
14,2019-02-03,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
15,2019-01-27,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
16,2019-01-27,GRAMEENS2,Q2 Financials,0,0,0,q2 financials
17,2019-01-21,GRAMEENS2,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2019-01-20,GRAMEENS2,Weekly NAV,1,0,0,weekly nav
19,2019-01-13,GRAMEENS2,Weekly NAV,0,1,0,weekly nav
20,2019-01-06,GRAMEENS2,Weekly NAV,1,0,1,weekly nav
21,2019-01-01,GRAMEENS2,Weekly NAV,1,0,1,weekly nav
22,2018-12-23,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
23,2018-12-17,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
24,2018-12-09,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
25,2018-12-02,GRAMEENS2,Weekly NAV,0,0,1,weekly nav
26,2018-11-25,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
27,2018-11-18,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
28,2018-11-11,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
29,2018-11-04,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
30,2018-10-31,GRAMEENS2,Q1 Financials,0,0,0,q1 financials
31,2018-10-28,GRAMEENS2,Weekly NAV,1,1,1,weekly nav
32,2018-10-28,GRAMEENS2,Trustee Meeting schedule under LR 16(1),1,1,1,trustee meeting schedule under lr 161
33,2018-10-21,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
34,2018-10-14,GRAMEENS2,Weekly NAV,1,0,0,weekly nav
35,2018-10-07,GRAMEENS2,Weekly NAV,0,1,0,weekly nav
36,2018-09-30,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
37,2018-09-23,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
39,2018-09-17,GRAMEENS2,Dividend Disbursement,0,0,0,dividend disbursement
40,2018-09-16,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
41,2018-09-09,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
42,2018-09-03,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
43,2018-08-30,GRAMEENS2,Resumption after record date for dividend and continuation of trading,0,0,0,resumption after record date for dividend and continuation of trading
44,2018-08-29,GRAMEENS2,Suspension for Record Date,0,0,0,suspension for record date
45,2018-08-27,GRAMEENS2,Spot News,0,0,0,spot news
46,2018-08-26,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
47,2018-08-19,GRAMEENS2,Weekly NAV,1,1,0,weekly nav
48,2018-08-12,GRAMEENS2,Weekly NAV,1,0,1,weekly nav
49,2018-08-06,GRAMEENS2,Price Limit Open,0,0,1,price limit open
50,2018-08-06,GRAMEENS2,Dividend Declaration,0,0,1,dividend declaration
52,2018-08-05,GRAMEENS2,Stay Order issued by Court on decision of Liquidation/Conversion,0,0,0,stay order issued by court on decision of liquidationconversion
53,2018-08-05,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
54,2018-07-29,GRAMEENS2,Weekly NAV,1,1,1,weekly nav
55,2018-07-29,GRAMEENS2,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
56,2018-07-22,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
57,2018-07-15,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
58,2018-07-08,GRAMEENS2,Weekly NAV,0,0,1,weekly nav
59,2018-07-02,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
60,2018-06-24,GRAMEENS2,Weekly NAV,0,0,0,weekly nav
61,2018-06-18,GRAMEENS2,Weekly NAV,1,1,0,weekly nav
62,2018-06-10,GRAMEENS2,Weekly NAV,0,0,1,weekly nav
63,2018-06-03,GRAMEENS2,Weekly NAV,0,1,1,weekly nav
64,2018-05-27,GRAMEENS2,Weekly NAV,1,0,0,weekly nav
65,2018-05-20,GRAMEENS2,Weekly NAV,1,0,1,weekly nav
66,2018-05-13,GRAMEENS2,Weekly NAV,1,0,0,weekly nav
67,2018-05-06,GRAMEENS2,Weekly NAV,1,1,1,weekly nav
68,2018-04-30,GRAMEENS2,Weekly NAV,1,0,0,weekly nav
69,2018-04-24,GRAMEENS2,Q3 Financials,1,0,0,q3 financials
70,2018-04-22,GRAMEENS2,Weekly NAV,1,0,1,weekly nav
71,2018-04-17,GRAMEENS2,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
72,2018-04-15,GRAMEENS2,Weekly NAV,0,1,1,weekly nav
