,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,GREENDELT,Dividend Disbursement,1,1,0,dividend disbursement
1,2019-04-29,GREENDELT,Dividend Disbursement,1,1,0,dividend disbursement
2,2019-04-04,GREENDELT,Sale & Buy Declarations of Sponsor Director,1,0,0,sale  buy declarations of sponsor director
3,2019-03-04,GREENDELT,Resumption after record date,0,1,1,resumption after record date
4,2019-03-03,GREENDELT,Suspension for Record date,1,0,1,suspension for record date
5,2019-02-27,GREENDELT,Spot News,0,0,0,spot news
6,2019-02-11,GREENDELT,Price Limit Open,0,0,1,price limit open
7,2019-02-11,GREENDELT,Dividend Declaration,0,0,1,dividend declaration
8,2019-01-31,GREENDELT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
9,2019-01-22,GREENDELT,Query Response,0,0,1,query response
10,2018-10-31,GREENDELT,Q3 Financials,0,0,0,q3 financials
11,2018-10-24,GREENDELT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
12,2018-08-02,GREENDELT,Credit Rating Result,1,0,0,credit rating result
13,2018-07-30,GREENDELT,Q2 Financials,1,1,1,q2 financials
14,2018-07-23,GREENDELT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-05-09,GREENDELT,Q1 Financials,1,1,0,q1 financials
16,2018-04-23,GREENDELT,Dividend Disbursement,0,1,0,dividend disbursement
17,2018-03-05,GREENDELT,Resumption after record date,0,1,1,resumption after record date
18,2018-03-04,GREENDELT,Suspension for Record Date,0,0,1,suspension for record date
19,2018-02-28,GREENDELT,Spot News,0,0,0,spot news
20,2018-02-12,GREENDELT,Price Limit Open,1,1,1,price limit open
21,2018-02-12,GREENDELT,Dividend Declaration,1,1,1,dividend declaration
22,2018-02-01,GREENDELT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
23,2017-10-26,GREENDELT,Q3 Financials,1,0,0,q3 financials
24,2017-10-22,GREENDELT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-10-08,GREENDELT,Credit Rating Result,0,1,1,credit rating result
26,2017-07-27,GREENDELT,Q2 Financials,1,0,0,q2 financials
27,2017-07-24,GREENDELT,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
28,2017-05-15,GREENDELT,Q1 Financials,1,1,0,q1 financials
29,2017-05-08,GREENDELT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
30,2017-03-05,GREENDELT,Resumption after record date,0,0,1,resumption after record date
31,2017-03-02,GREENDELT,Suspension for Record Date,1,0,0,suspension for record date
32,2017-02-28,GREENDELT,Spot News,1,0,1,spot news
33,2017-02-02,GREENDELT,Board Meeting,1,0,0,board meeting
34,2016-11-01,GREENDELT,Q3 Financials,1,1,1,q3 financials
35,2016-10-06,GREENDELT,Credit Rating Result,1,0,0,credit rating result
36,2016-07-28,GREENDELT,Q2 Financials,1,0,0,q2 financials
37,2016-07-19,GREENDELT,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
38,2016-05-16,GREENDELT,Confirmation of sale by a Sponsor,0,0,1,confirmation of sale by a sponsor
39,2016-05-11,GREENDELT,Board Meeting,1,1,0,board meeting
40,2016-04-27,GREENDELT,Issuance of Commercial Papers (CP),0,0,0,issuance of commercial papers cp
41,2016-04-11,GREENDELT,Buy Confirmation of a Sponsor,1,1,0,buy confirmation of a sponsor
42,2016-04-07,GREENDELT,Dividend Disbursement,1,0,0,dividend disbursement
