,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,HAKKANIPUL,Sale Confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
1,2019-04-28,HAKKANIPUL,Q3 Financials,1,0,1,q3 financials
2,2019-04-24,HAKKANIPUL,Sell Declaration of a Sponsor Director,0,1,0,sell declaration of a sponsor director
3,2019-04-23,HAKKANIPUL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
4,2019-04-11,HAKKANIPUL,Sale Confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
5,2019-03-20,HAKKANIPUL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
8,2019-02-03,HAKKANIPUL,Q2 Financials,0,1,0,q2 financials
9,2019-01-30,HAKKANIPUL,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
10,2019-01-30,HAKKANIPUL,Category Change,0,0,0,category change
11,2019-01-30,HAKKANIPUL,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
12,2019-01-28,HAKKANIPUL,Reschedule of Board Meeting under LR 16(1),1,1,0,reschedule of board meeting under lr 161
13,2019-01-27,HAKKANIPUL,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
14,2019-01-08,HAKKANIPUL,Information regarding Margin Loan,0,0,1,information regarding margin loan
15,2019-01-01,HAKKANIPUL,Start of Commercial Production of the tissue unit from 01.01.2019,0,1,1,start of commercial production of the tissue unit from 01.01.2019
16,2018-12-26,HAKKANIPUL,Query Response (Repeat News),1,0,0,query response repeat news
17,2018-12-24,HAKKANIPUL,Query Response,0,0,1,query response
18,2018-11-25,HAKKANIPUL,Resumption after record date,0,0,0,resumption after record date
19,2018-11-22,HAKKANIPUL,Suspension for Record date,1,0,0,suspension for record date
20,2018-11-08,HAKKANIPUL,Spot News,1,0,0,spot news
21,2018-11-05,HAKKANIPUL,Venue of AGM,0,1,1,venue of agm
22,2018-11-04,HAKKANIPUL,Q1 Financials,1,0,1,q1 financials
23,2018-11-04,HAKKANIPUL,Price Limit Open,1,0,1,price limit open
25,2018-11-04,HAKKANIPUL,Dividend Declaration,1,0,1,dividend declaration
26,2018-10-22,HAKKANIPUL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2018-10-22,HAKKANIPUL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
28,2018-04-22,HAKKANIPUL,Q3 Financials,0,0,1,q3 financials
29,2018-04-22,HAKKANIPUL,Starting of Trial production of Tissue Unit,0,0,1,starting of trial production of tissue unit
30,2018-04-16,HAKKANIPUL,Query Response,0,1,1,query response
31,2018-04-15,HAKKANIPUL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
32,2018-04-04,HAKKANIPUL,Credit Rating Result,0,1,0,credit rating result
34,2018-01-28,HAKKANIPUL,Q2 Financials,0,1,1,q2 financials
