,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,HEIDELBCEM,Spot News,1,0,0,spot news
2,2019-04-10,HEIDELBCEM,Updating information,0,0,0,updating information
4,2019-04-10,HEIDELBCEM,Q1 Financials,0,0,0,q1 financials
5,2019-04-10,HEIDELBCEM,Price Limit Open,0,0,0,price limit open
6,2019-04-10,HEIDELBCEM,Dividend Declaration,0,0,0,dividend declaration
7,2019-04-03,HEIDELBCEM,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
8,2019-04-01,HEIDELBCEM,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
10,2018-10-16,HEIDELBCEM,Q3 Financials,0,0,0,q3 financials
11,2018-10-09,HEIDELBCEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
12,2018-07-18,HEIDELBCEM,Board approved Draft scheme of Amalgamation with Meghna Energy Ltd.,0,0,0,board approved draft scheme of amalgamation with meghna energy ltd.
13,2018-07-18,HEIDELBCEM,Q2 Financials,0,0,0,q2 financials
14,2018-07-18,HEIDELBCEM,Q2 Financials,0,0,0,q2 financials
15,2018-07-11,HEIDELBCEM,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
16,2018-07-08,HEIDELBCEM,Dividend Disbursement,1,1,1,dividend disbursement
17,2018-05-20,HEIDELBCEM,Resumption after record date,0,0,0,resumption after record date
18,2018-05-17,HEIDELBCEM,Suspension for Record Date,0,0,0,suspension for record date
19,2018-05-15,HEIDELBCEM,Spot News,1,1,0,spot news
21,2018-04-25,HEIDELBCEM,Updating information,0,0,0,updating information
22,2018-04-25,HEIDELBCEM,Q1 Financials,0,0,0,q1 financials
23,2018-04-25,HEIDELBCEM,Price Limit Open,0,0,0,price limit open
24,2018-04-25,HEIDELBCEM,Dividend Declaration,0,0,0,dividend declaration
25,2018-04-18,HEIDELBCEM,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
26,2018-04-16,HEIDELBCEM,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
28,2018-01-15,HEIDELBCEM,Approval from Bangladesh Bank to transfer 99.99% shares of MEL,0,0,0,approval from bangladesh bank to transfer 99.99 shares of mel
29,2017-10-11,HEIDELBCEM,Increasing Production Capacity by setting up another Grinding Mill,0,0,0,increasing production capacity by setting up another grinding mill
30,2017-10-11,HEIDELBCEM,Q3 Financials,0,0,0,q3 financials
31,2017-10-04,HEIDELBCEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
32,2017-07-26,HEIDELBCEM,Q2 Financials,0,0,0,q2 financials
33,2017-07-26,HEIDELBCEM,Decision to build a Wharf/Jetty,0,0,0,decision to build a wharfjetty
34,2017-07-18,HEIDELBCEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
35,2017-06-18,HEIDELBCEM,Dividend Disbursement,1,1,0,dividend disbursement
36,2017-04-27,HEIDELBCEM,Status of Share Sale Agreement with Meghna Energy Limited,1,0,0,status of share sale agreement with meghna energy limited
37,2017-04-27,HEIDELBCEM,Status of Share Sale Agreement with Meghna Energy Limited,1,0,0,status of share sale agreement with meghna energy limited
38,2017-04-27,HEIDELBCEM,Q1 Financials,1,0,0,q1 financials
39,2017-04-20,HEIDELBCEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2017-03-28,HEIDELBCEM,Resumption after record date,0,0,0,resumption after record date
41,2017-03-27,HEIDELBCEM,Suspension for Record Date,1,0,0,suspension for record date
42,2017-03-22,HEIDELBCEM,Spot News,1,1,0,spot news
43,2017-03-01,HEIDELBCEM,Updating information,0,0,0,updating information
44,2017-03-01,HEIDELBCEM,Price Limit Open,0,0,0,price limit open
45,2017-03-01,HEIDELBCEM,Dividend Declaration,0,0,0,dividend declaration
46,2016-10-27,HEIDELBCEM,Q3 Financials (Correction),0,0,0,q3 financials correction
47,2016-10-27,HEIDELBCEM, Q3 Financials,0,0,0,q3 financials
48,2016-10-27,HEIDELBCEM,Approval of investment for acquisition,0,0,0,approval of investment for acquisition
49,2016-10-20,HEIDELBCEM,Board Meeting,0,0,0,board meeting
50,2016-07-20,HEIDELBCEM,Q2 Financials,1,0,0,q2 financials
51,2016-07-13,HEIDELBCEM,Board Meeting,0,0,0,board meeting
