,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,HFL,Q3 Financials,1,1,0,q3 financials
1,2019-04-23,HFL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-03-24,HFL,Sale Declaration of a Sponsor,0,1,0,sale declaration of a sponsor
3,2019-02-03,HFL,Cash Dividend Disbursement,1,1,1,cash dividend disbursement
4,2019-01-31,HFL,Q2 Financials,0,0,0,q2 financials
5,2019-01-27,HFL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
6,2019-01-14,HFL,Credit Rating Result,0,0,0,credit rating result
7,2018-11-26,HFL,Resumption after record date,0,0,0,resumption after record date
8,2018-11-25,HFL,Suspension for Record date,0,0,0,suspension for record date
9,2018-11-20,HFL,Spot News,0,0,0,spot news
10,2018-11-12,HFL,Q1 Financials,0,1,0,q1 financials
11,2018-11-06,HFL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
12,2018-10-28,HFL,Price Limit Open,0,1,1,price limit open
14,2018-10-28,HFL,Dividend Declaration,0,1,1,dividend declaration
15,2018-10-17,HFL,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
16,2018-04-30,HFL,Q3 Financials,1,0,0,q3 financials
17,2018-04-23,HFL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
18,2018-03-22,HFL,Credit Rating Result,1,0,0,credit rating result
19,2018-02-04,HFL,Dividend Disbursement,0,1,1,dividend disbursement
20,2018-01-25,HFL,Q2 Financials,0,0,0,q2 financials
21,2018-01-21,HFL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
22,2017-11-20,HFL,Resumption after record date,0,1,0,resumption after record date
23,2017-11-19,HFL,Suspension for Record Date,0,0,1,suspension for record date
24,2017-11-15,HFL,Spot News,1,1,0,spot news
25,2017-11-13,HFL,Q1 Financials,1,0,1,q1 financials
26,2017-11-07,HFL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-10-22,HFL,Price Limit Open,1,0,0,price limit open
29,2017-10-22,HFL,Dividend Declaration,1,0,0,dividend declaration
30,2017-10-15,HFL,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
31,2017-04-30,HFL,Q3 Financials,0,0,0,q3 financials
32,2017-04-25,HFL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
33,2017-01-31,HFL,Dividend Disbursement,1,0,0,dividend disbursement
34,2017-01-31,HFL,Q2 Financials,1,0,0,q2 financials
35,2017-01-01,HFL,Credit Rating Result,0,1,0,credit rating result
36,2016-11-21,HFL,Spot for AGM,1,1,0,spot for agm
37,2016-11-14,HFL,Q1 Financials,0,1,0,q1 financials
38,2016-11-09,HFL,Board Meeting,0,0,0,board meeting
39,2016-10-30,HFL,Price Limit Open,0,0,0,price limit open
40,2016-10-30,HFL,Dividend Declaration,0,0,0,dividend declaration
41,2016-10-19,HFL,Board Meeting,1,1,0,board meeting
42,2016-07-26,HFL,Commercial Production of Yarn Dyeing Unit and renovated Weaving Unit,0,1,1,commercial production of yarn dyeing unit and renovated weaving unit
43,2016-04-17,HFL,Q3 Financials,0,0,1,q3 financials
44,2016-04-10,HFL,Board Meeting,0,0,0,board meeting
45,2016-02-04,HFL,Credit Rating Result,1,0,0,credit rating result
46,2016-02-01,HFL,Dividend Disbursement,0,0,0,dividend disbursement
47,2016-01-31,HFL,Q2 Financials,0,0,0,q2 financials
48,2016-01-25,HFL,Board Meeting,0,0,0,board meeting
49,2015-11-22,HFL,Resumption News after Record date,0,0,0,resumption news after record date
50,2015-11-19,HFL,Suspension News for Record Date,1,0,0,suspension news for record date
51,2015-11-17,HFL,Spot News for AGM,1,0,1,spot news for agm
52,2015-11-12,HFL,Q1 Financials,0,0,0,q1 financials
53,2015-11-08,HFL,Board Meeting,0,0,0,board meeting
54,2015-10-29,HFL,Price Limit Open,0,0,0,price limit open
55,2015-10-29,HFL,Dividend Declaration,0,0,0,dividend declaration
56,2015-10-21,HFL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
57,2015-04-29,HFL,Q3 Financials,0,0,0,q3 financials
58,2015-02-03,HFL,Category Change,0,0,1,category change
59,2015-01-29,HFL,Dividend Disbursement,0,0,0,dividend disbursement
60,2015-01-29,HFL,H/Y,0,0,0,hy
61,2014-12-29,HFL,Business Expansion and sale of old units,1,0,0,business expansion and sale of old units
62,2014-12-22,HFL,will resume,0,0,0,will resume
63,2014-12-21,HFL,will remain suspended,0,0,0,will remain suspended
64,2014-12-17,HFL,Spot Market and Block/Odd lot transactions,0,0,0,spot market and blockodd lot transactions
65,2014-12-10,HFL,purchase a land,0,0,0,purchase a land
66,2014-12-10,HFL,no price limit,0,0,0,no price limit
67,2014-12-10,HFL,Dividend,0,0,0,dividend
68,2014-12-07,HFL,Board Meeting,1,0,0,board meeting
69,2014-12-04,HFL,will commence today (repeat),0,0,0,will commence today repeat
70,2014-12-04,HFL,Q1 earning (repeat),0,0,0,q1 earning repeat
