,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,HRTEX,Q3 Financials,0,0,0,q3 financials
1,2019-04-24,HRTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
3,2019-02-14,HRTEX,To issue a 7 years Non-Convertible Redeemable Fixed Rate Corporate Bond,1,0,0,to issue a 7 years non-convertible redeemable fixed rate corporate bond
4,2019-02-13,HRTEX,Dividend Disbursement,0,1,0,dividend disbursement
6,2019-01-31,HRTEX,Asset Valuation of the Company,0,0,0,asset valuation of the company
7,2019-01-31,HRTEX,Q2 Financials,0,0,0,q2 financials
8,2019-01-31,HRTEX,Q2 Financials,0,0,0,q2 financials
9,2019-01-24,HRTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
10,2018-11-28,HRTEX,Resumption after record date,0,1,0,resumption after record date
11,2018-11-27,HRTEX,Suspension for Record date,0,0,1,suspension for record date
12,2018-11-25,HRTEX,Spot News,0,1,0,spot news
13,2018-11-15,HRTEX,Q1 Financials,0,0,0,q1 financials
14,2018-11-07,HRTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
15,2018-10-25,HRTEX,Price Limit Open,1,0,0,price limit open
16,2018-10-25,HRTEX,Dividend Declaration,1,0,0,dividend declaration
17,2018-10-16,HRTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-10-09,HRTEX,Credit Rating Result,1,0,0,credit rating result
19,2018-07-02,HRTEX,Query Response,1,0,1,query response
20,2018-05-09,HRTEX,Query Response,0,1,0,query response
21,2018-04-22,HRTEX,Q3 Financials,0,0,0,q3 financials
22,2018-04-16,HRTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2018-02-13,HRTEX,Dividend Disbursement,1,0,1,dividend disbursement
24,2018-01-30,HRTEX,Q2 Financials,0,0,0,q2 financials
25,2018-01-24,HRTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2017-11-27,HRTEX,Resumption after record date,0,1,0,resumption after record date
27,2017-11-26,HRTEX,Suspension for Record Date,1,0,1,suspension for record date
28,2017-11-22,HRTEX,Spot News,1,1,0,spot news
29,2017-11-14,HRTEX,Q1 Financials,0,0,1,q1 financials
30,2017-11-07,HRTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
31,2017-10-24,HRTEX,Price Limit Open,1,1,0,price limit open
32,2017-10-24,HRTEX,Dividend Declaration,1,1,0,dividend declaration
33,2017-10-15,HRTEX,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
34,2017-07-06,HRTEX,Query Response,1,0,0,query response
35,2017-06-18,HRTEX,Credit Rating Result,0,1,0,credit rating result
36,2017-04-30,HRTEX,Q3 Financials,0,0,0,q3 financials
37,2017-04-24,HRTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
38,2017-01-29,HRTEX,Q2 Financials,1,1,0,q2 financials
39,2016-12-14,HRTEX,Query Response (Repeat),1,0,0,query response repeat
40,2016-12-08,HRTEX,DSE query,1,0,0,dse query
41,2016-11-24,HRTEX,Suspension for record date,1,0,0,suspension for record date
42,2016-11-22,HRTEX,Spot for AGM,0,1,1,spot for agm
43,2016-11-06,HRTEX,Q1,0,0,0,q1
44,2016-11-01,HRTEX,Board Meeting,0,1,1,board meeting
