,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,HWAWELLTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-02-03,HWAWELLTEX,"Q2 Financials (Revised EPS for October-December, 2018)",0,1,0,"q2 financials revised eps for october-december, 2018"
2,2019-02-03,HWAWELLTEX,Q2 Financials,0,1,0,q2 financials
3,2019-01-27,HWAWELLTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
4,2019-01-24,HWAWELLTEX,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
5,2018-12-06,HWAWELLTEX,Venue for 16th AGM of the Company.,1,0,0,venue for 16th agm of the company.
6,2018-12-06,HWAWELLTEX,Venue for 16th AGM of the Company.,1,0,0,venue for 16th agm of the company.
7,2018-11-22,HWAWELLTEX,Resumption after record date,0,0,0,resumption after record date
8,2018-11-20,HWAWELLTEX,Suspension for Record date,0,0,0,suspension for record date
9,2018-11-18,HWAWELLTEX,Spot News,0,0,0,spot news
10,2018-11-15,HWAWELLTEX,Q1 Financials,0,0,0,q1 financials
11,2018-11-12,HWAWELLTEX,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
12,2018-10-29,HWAWELLTEX,Price Limit Open,0,1,1,price limit open
13,2018-10-29,HWAWELLTEX,Dividend Declaration,0,1,1,dividend declaration
14,2018-10-16,HWAWELLTEX,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
15,2018-04-30,HWAWELLTEX,Q3 Financials,0,0,0,q3 financials
16,2018-04-25,HWAWELLTEX,Address Change of Registered Office,1,0,0,address change of registered office
17,2018-04-25,HWAWELLTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
19,2018-02-28,HWAWELLTEX,Decision to procure an Office Space,0,0,0,decision to procure an office space
20,2018-02-01,HWAWELLTEX,Dividend Disbursement,0,0,0,dividend disbursement
21,2018-01-31,HWAWELLTEX,Q2 Financials,1,0,0,q2 financials
22,2018-01-25,HWAWELLTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2017-11-26,HWAWELLTEX,Resumption after record date,0,1,1,resumption after record date
24,2017-11-23,HWAWELLTEX,Suspension for Record Date,1,0,0,suspension for record date
25,2017-11-21,HWAWELLTEX,Spot News,1,1,1,spot news
26,2017-11-15,HWAWELLTEX,Q1 Financials,0,1,0,q1 financials
27,2017-11-12,HWAWELLTEX,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
28,2017-10-29,HWAWELLTEX,Price Limit Open,0,0,1,price limit open
29,2017-10-29,HWAWELLTEX,Dividend Declaration,0,0,1,dividend declaration
30,2017-10-19,HWAWELLTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
31,2017-05-02,HWAWELLTEX,Q3 Financials,1,1,1,q3 financials
32,2017-04-25,HWAWELLTEX,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
33,2017-01-31,HWAWELLTEX,Q2 Financials,0,1,0,q2 financials
34,2017-01-26,HWAWELLTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-01-26,HWAWELLTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
36,2017-01-17,HWAWELLTEX,Dividend Disbursement,1,0,0,dividend disbursement
37,2016-11-17,HWAWELLTEX,Resumption after record date,1,0,0,resumption after record date
38,2016-11-16,HWAWELLTEX,Suspension for record date,1,1,0,suspension for record date
39,2016-11-15,HWAWELLTEX,Q1 Financials,1,1,1,q1 financials
40,2016-11-14,HWAWELLTEX,Spot for AGM,1,1,1,spot for agm
41,2016-11-13,HWAWELLTEX,Board Meeting,1,1,1,board meeting
42,2016-11-13,HWAWELLTEX,Board Meeting,1,1,1,board meeting
43,2016-10-30,HWAWELLTEX,Price Limit Open,0,1,1,price limit open
44,2016-10-30,HWAWELLTEX,Dividend Declaration,0,1,1,dividend declaration
45,2016-10-23,HWAWELLTEX,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
46,2016-09-08,HWAWELLTEX,Procuring additional Floor Spaces,0,0,0,procuring additional floor spaces
47,2016-06-23,HWAWELLTEX,Land Procurement,0,0,0,land procurement
48,2016-05-02,HWAWELLTEX,Q3 Financials,1,0,1,q3 financials
49,2016-04-25,HWAWELLTEX,Board Meeting,1,1,0,board meeting
50,2016-02-17,HWAWELLTEX, Procuring two Floor Spaces,0,1,0,procuring two floor spaces
51,2016-02-01,HWAWELLTEX, Decision for Land Purchase,0,1,0,decision for land purchase
52,2016-01-31,HWAWELLTEX,Q2 Financials,1,0,1,q2 financials
53,2016-01-28,HWAWELLTEX, Cash Dividend Disbursement,1,0,0,cash dividend disbursement
54,2016-01-26,HWAWELLTEX, Board Meeting,0,1,1,board meeting
55,2015-12-06,HWAWELLTEX,Credit Rating Result,1,0,0,credit rating result
56,2015-11-19,HWAWELLTEX,Resumption News after Record date,0,0,0,resumption news after record date
57,2015-11-18,HWAWELLTEX,Suspension News for Record Date,1,0,0,suspension news for record date
58,2015-11-16,HWAWELLTEX,Spot News for AGM,0,0,1,spot news for agm
59,2015-11-15,HWAWELLTEX,Q1,0,0,0,q1
60,2015-11-10,HWAWELLTEX,Board Meeting,1,0,0,board meeting
61,2015-10-29,HWAWELLTEX,Price Limit Open,0,0,0,price limit open
62,2015-10-29,HWAWELLTEX,Dividend Declaration,0,0,0,dividend declaration
63,2015-10-21,HWAWELLTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
64,2015-05-04,HWAWELLTEX,Q3,0,1,1,q3
65,2015-04-26,HWAWELLTEX,Corfirmation of transfer by Sponsor/Director,1,0,0,corfirmation of transfer by sponsordirector
66,2015-04-05,HWAWELLTEX, Buy Declaration of Directors,1,1,0,buy declaration of directors
67,2015-02-01,HWAWELLTEX,Half Yearly Financials,0,1,1,half yearly financials
68,2015-01-26,HWAWELLTEX,Category Change,0,1,0,category change
69,2015-01-18,HWAWELLTEX,Cash dividend dispatched,1,0,1,cash dividend dispatched
70,2014-11-25,HWAWELLTEX,AGM,1,0,0,agm
71,2014-11-16,HWAWELLTEX,Q1,0,0,1,q1
72,2014-11-10,HWAWELLTEX,will resume,0,1,1,will resume
73,2014-11-09,HWAWELLTEX,will remain suspended,1,0,1,will remain suspended
74,2014-11-05,HWAWELLTEX,trade suspension,0,1,0,trade suspension
75,2014-10-28,HWAWELLTEX,recommended 15% cash dividend,0,0,0,recommended 15 cash dividend
76,2014-10-26,HWAWELLTEX,Board Meeting,0,0,0,board meeting
77,2014-08-13,HWAWELLTEX,DSE query,1,1,0,dse query
78,2014-05-19,HWAWELLTEX,Q3 Earnings,0,1,0,q3 earnings
79,2014-05-14,HWAWELLTEX,Q2 Earnings (Repeat),1,0,0,q2 earnings repeat
80,2014-05-14,HWAWELLTEX,trade debut (Repeat),1,0,0,trade debut repeat
81,2014-05-12,HWAWELLTEX,Q2 Earnings,0,0,1,q2 earnings
82,2014-05-11,HWAWELLTEX,trade debut,0,0,0,trade debut
