,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,IBNSINA,Decision to purchase land,0,1,0,decision to purchase land
1,2019-04-29,IBNSINA,Decision to manufacture and distribute pharmaceuticals elements,0,1,0,decision to manufacture and distribute pharmaceuticals elements
2,2019-04-29,IBNSINA,Q3 Financials,0,1,0,q3 financials
3,2019-04-29,IBNSINA,Decision to manufacture and distribute pharmaceuticals elements,0,1,0,decision to manufacture and distribute pharmaceuticals elements
4,2019-04-21,IBNSINA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-27,IBNSINA,Q2 Financials,0,1,0,q2 financials
6,2019-01-22,IBNSINA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
7,2018-12-02,IBNSINA,Dividend Disbursement,0,1,1,dividend disbursement
8,2018-11-20,IBNSINA,Decision to Purchase a Flat,1,0,0,decision to purchase a flat
9,2018-11-07,IBNSINA,Q1 Financials,0,1,0,q1 financials
10,2018-10-31,IBNSINA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2018-10-22,IBNSINA,Resumption after Record Date,0,0,0,resumption after record date
12,2018-10-21,IBNSINA,Buy Confirmation of a Sponsor and Director (Nominated by IBN Sina Trust,0,0,0,buy confirmation of a sponsor and director nominated by ibn sina trust
13,2018-10-21,IBNSINA,Suspension for Record Date,0,0,0,suspension for record date
14,2018-10-17,IBNSINA,Spot News,0,0,0,spot news
15,2018-10-11,IBNSINA,Buy declaration of a Sponsor and Director (Nominated by IBN Sina Trust),0,0,0,buy declaration of a sponsor and director nominated by ibn sina trust
16,2018-09-26,IBNSINA,Dividend Declaration,0,0,0,dividend declaration
18,2018-09-26,IBNSINA,Price Limit Open,0,0,0,price limit open
19,2018-09-16,IBNSINA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
20,2018-07-25,IBNSINA,Query Response (Repeat News),1,0,0,query response repeat news
21,2018-07-23,IBNSINA,Query Response,0,1,1,query response
22,2018-04-25,IBNSINA,Q3 Financials,1,1,0,q3 financials
23,2018-04-19,IBNSINA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
24,2018-03-14,IBNSINA,Decision to Purchase Land,1,1,0,decision to purchase land
25,2018-03-08,IBNSINA,Decision to Purchase Land,1,0,0,decision to purchase land
26,2018-03-08,IBNSINA,Decision to Purchase Land,1,0,0,decision to purchase land
27,2018-01-28,IBNSINA,Q2 Financials,1,0,0,q2 financials
28,2018-01-22,IBNSINA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
29,2018-01-11,IBNSINA,Credit Rating Result,0,0,0,credit rating result
30,2017-12-28,IBNSINA,Buy confirmation of a Nominated Director,1,0,0,buy confirmation of a nominated director
31,2017-12-20,IBNSINA,Buy declaration of a Nominated Director,1,0,0,buy declaration of a nominated director
32,2017-12-17,IBNSINA,Buy Confirmation of a Director (Nominated by Ibn Sina Trust),0,0,1,buy confirmation of a director nominated by ibn sina trust
33,2017-12-07,IBNSINA,Buy Confirmation of a Director (Nominated Director by Ibn Sina Trust),1,0,0,buy confirmation of a director nominated director by ibn sina trust
34,2017-12-07,IBNSINA,Buy Declaration of a Director (Nominated Director by Ibn Sina Trust),1,0,0,buy declaration of a director nominated director by ibn sina trust
35,2017-12-03,IBNSINA,Dividend Disbursement,1,0,0,dividend disbursement
36,2017-11-13,IBNSINA,Q1 Financials,0,1,1,q1 financials
37,2017-11-06,IBNSINA,Buy declaration of a Nominated Director,0,0,1,buy declaration of a nominated director
38,2017-11-06,IBNSINA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
39,2017-10-22,IBNSINA,Resumption after Record Date,0,1,0,resumption after record date
40,2017-10-19,IBNSINA,Suspension for Record Date,0,0,0,suspension for record date
41,2017-10-17,IBNSINA,Spot News,1,1,0,spot news
42,2017-10-11,IBNSINA,Buy Confirmation of a Director (Representative of Ibn Sina Trust),0,0,0,buy confirmation of a director representative of ibn sina trust
43,2017-10-04,IBNSINA,Buy Declaration of a Director (Representative of Ibn Sina Trust),0,1,0,buy declaration of a director representative of ibn sina trust
44,2017-09-26,IBNSINA,Land Purchase,0,0,0,land purchase
45,2017-09-26,IBNSINA,Price Limit Open,0,0,0,price limit open
47,2017-09-26,IBNSINA,Dividend Declaration,0,0,0,dividend declaration
48,2017-09-05,IBNSINA,Reschedule of Board Meeting under LR 19(1),1,0,0,reschedule of board meeting under lr 191
49,2017-08-29,IBNSINA,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
50,2017-07-16,IBNSINA,Land Purchase,1,0,1,land purchase
51,2017-05-02,IBNSINA,Buy Confirmation of a Director (Representative of Ibn Sina Trust),0,0,0,buy confirmation of a director representative of ibn sina trust
52,2017-04-26,IBNSINA,Buy Declaration of a Director (Representative of Ibn Sina Trust),0,1,0,buy declaration of a director representative of ibn sina trust
53,2017-04-23,IBNSINA,Sponsors' share portion increase in the Ibn Sina Consumer Products Ltd.,1,0,0,sponsors' share portion increase in the ibn sina consumer products ltd.
54,2017-04-23,IBNSINA,Q3 Financials,1,0,0,q3 financials
55,2017-04-16,IBNSINA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
56,2017-04-03,IBNSINA,Buy Confirmation of a Director (Representative of Ibn Sina Trust),1,0,0,buy confirmation of a director representative of ibn sina trust
57,2017-03-23,IBNSINA,Buy Declaration of a Director (Representative of Ibn Sina Trust),0,0,0,buy declaration of a director representative of ibn sina trust
58,2017-03-20,IBNSINA,Buy confirmation of a Director (Representative of Ibn Sina Trust),0,0,1,buy confirmation of a director representative of ibn sina trust
59,2017-03-16,IBNSINA,Credit Rating Result,0,0,0,credit rating result
60,2017-03-14,IBNSINA,Buy Declaration of a Director (Representative of Ibn Sina Trust),0,1,0,buy declaration of a director representative of ibn sina trust
61,2017-03-02,IBNSINA,Land Purchase,0,0,0,land purchase
62,2017-01-30,IBNSINA,Buy Confirmation,1,1,1,buy confirmation
