,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2018-08-07,ICB2NDNRB,Trustee Committee Meeting schedule under LR 19(1),0,0,0,trustee committee meeting schedule under lr 191
2,2018-08-02,ICB2NDNRB,Unitholders' Decision to convert the Fund into Open Ended Growth Fund,0,0,0,unitholders' decision to convert the fund into open ended growth fund
3,2018-07-22,ICB2NDNRB,Suspension from Trade Suspension Date (Record Date) for Conversion,1,0,0,suspension from trade suspension date record date for conversion
4,2018-07-22,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
5,2018-07-18,ICB2NDNRB,SPOT for Trade Suspension for conversion,0,0,0,spot for trade suspension for conversion
6,2018-07-15,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
7,2018-07-08,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
9,2018-07-05,ICB2NDNRB,Requesting the unitholders to collect due dividend & refund amount,1,0,0,requesting the unitholders to collect due dividend  refund amount
10,2018-07-02,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
13,2018-06-24,ICB2NDNRB,Completion of tenure of the Fund and conversion to open ended scheme,1,1,0,completion of tenure of the fund and conversion to open ended scheme
14,2018-06-24,ICB2NDNRB,Weekly NAV,1,1,0,weekly nav
15,2018-06-18,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
16,2018-06-10,ICB2NDNRB,Weekly NAV,1,0,1,weekly nav
17,2018-06-03,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
18,2018-05-27,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
19,2018-05-20,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
20,2018-05-13,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
21,2018-05-06,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
22,2018-04-30,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
23,2018-04-25,ICB2NDNRB,Q3 Financials,1,0,0,q3 financials
24,2018-04-22,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
25,2018-04-19,ICB2NDNRB,Trustee Committee Meeting under LR 16(1),0,0,0,trustee committee meeting under lr 161
26,2018-04-15,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
27,2018-04-08,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
28,2018-04-01,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
29,2018-03-25,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
30,2018-03-18,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
31,2018-03-11,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
32,2018-03-04,ICB2NDNRB,Weekly NAV,1,0,1,weekly nav
33,2018-02-25,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
34,2018-02-18,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
35,2018-02-11,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
36,2018-02-04,ICB2NDNRB,Weekly NAV,1,1,1,weekly nav
37,2018-01-30,ICB2NDNRB,Q2 Financials,0,0,1,q2 financials
38,2018-01-28,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
39,2018-01-23,ICB2NDNRB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2018-01-21,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
41,2018-01-14,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
42,2018-01-07,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
43,2018-01-07,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
44,2018-01-01,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
45,2017-12-24,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
46,2017-12-17,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
47,2017-12-10,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
48,2017-12-03,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
49,2017-11-26,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
50,2017-11-19,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
51,2017-11-12,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
52,2017-11-05,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
53,2017-10-30,ICB2NDNRB,Q1 Financials,0,0,0,q1 financials
54,2017-10-29,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
55,2017-10-24,ICB2NDNRB,Trustee Committee Meeting under LR 16(1),0,0,0,trustee committee meeting under lr 161
56,2017-10-22,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
57,2017-10-15,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
58,2017-10-08,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
59,2017-10-02,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
60,2017-09-24,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
61,2017-09-17,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
62,2017-09-10,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
63,2017-09-06,ICB2NDNRB,Resumption after Record Date,0,0,0,resumption after record date
64,2017-09-05,ICB2NDNRB,Suspension for Record Date,1,0,0,suspension for record date
65,2017-09-04,ICB2NDNRB,Weekly NAV,1,1,0,weekly nav
66,2017-08-31,ICB2NDNRB,Spot News,0,0,0,spot news
67,2017-08-27,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
68,2017-08-20,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
69,2017-08-16,ICB2NDNRB,Price Limit Open,0,0,0,price limit open
70,2017-08-16,ICB2NDNRB,Dividend Declaration,0,0,0,dividend declaration
71,2017-08-13,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
72,2017-08-07,ICB2NDNRB,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
73,2017-08-06,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
74,2017-07-30,ICB2NDNRB,Weekly NAV,1,1,0,weekly nav
75,2017-07-23,ICB2NDNRB,Weekly NAV,1,0,1,weekly nav
76,2017-07-16,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
79,2017-07-13,ICB2NDNRB,Completion of tenure of the Fund,0,0,0,completion of tenure of the fund
80,2017-07-09,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
81,2017-07-02,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
82,2017-06-28,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
83,2017-06-18,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
84,2017-06-11,ICB2NDNRB,Weekly NAV,1,0,1,weekly nav
85,2017-06-04,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
86,2017-05-28,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
87,2017-05-21,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
88,2017-05-14,ICB2NDNRB,Weekly NAV,0,1,1,weekly nav
89,2017-05-07,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
90,2017-04-30,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
91,2017-04-27,ICB2NDNRB,Q3 Financials,1,0,0,q3 financials
92,2017-04-23,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
93,2017-04-19,ICB2NDNRB,Trustee Committee Meeting under LR 16(1),0,0,0,trustee committee meeting under lr 161
94,2017-04-16,ICB2NDNRB,Weekly NAV,0,1,1,weekly nav
95,2017-04-09,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
96,2017-04-02,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
97,2017-03-27,ICB2NDNRB,Weekly NAV,1,0,1,weekly nav
98,2017-03-19,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
99,2017-03-12,ICB2NDNRB,Weekly NAV,1,0,1,weekly nav
100,2017-03-05,ICB2NDNRB,Weekly NAV,0,1,1,weekly nav
101,2017-02-26,ICB2NDNRB,Weekly NAV,1,1,0,weekly nav
102,2017-02-05,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
103,2017-01-31,ICB2NDNRB,Q2 Financials,0,0,0,q2 financials
104,2017-01-29,ICB2NDNRB,Weekly NAV,0,0,0,weekly nav
105,2017-01-23,ICB2NDNRB,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
106,2017-01-22,ICB2NDNRB,Weekly NAV,0,1,0,weekly nav
107,2017-01-15,ICB2NDNRB,Weekly NAV,1,0,1,weekly nav
108,2017-01-08,ICB2NDNRB,Weekly NAV,0,0,1,weekly nav
109,2017-01-01,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
110,2017-01-01,ICB2NDNRB,Weekly NAV,1,0,0,weekly nav
111,2016-12-26,ICB2NDNRB,Weekly NAV,0,1,1,weekly nav
