,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ICB,Q3 Financials Additional information (Reason for Deviation in EPS),0,0,0,q3 financials additional information reason for deviation in eps
1,2019-04-29,ICB,Q3 Financials,0,0,0,q3 financials
2,2019-04-23,ICB,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
3,2019-01-30,ICB,Reason for deviation in EPS,0,1,0,reason for deviation in eps
4,2019-01-30,ICB,Q2 Financials,0,1,0,q2 financials
5,2019-01-22,ICB,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
6,2019-01-03,ICB,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-12-20,ICB,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
8,2018-11-15,ICB,Credit Rating Result,0,0,0,credit rating result
9,2018-11-14,ICB,Resumption after Record Date,0,0,0,resumption after record date
10,2018-11-13,ICB,Suspension for Record Date,0,0,0,suspension for record date
11,2018-11-11,ICB,Spot News,0,0,0,spot news
12,2018-11-11,ICB,Q1 Financials,0,0,0,q1 financials
13,2018-11-04,ICB,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
14,2018-10-24,ICB,Price Limit Open,1,0,0,price limit open
16,2018-10-24,ICB,Dividend Declaration,1,0,0,dividend declaration
17,2018-10-16,ICB,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-07-18,ICB,Consent accorded by the BSEC to ICB for issuing ICB Subordinated Bond,1,0,0,consent accorded by the bsec to icb for issuing icb subordinated bond
19,2018-05-28,ICB,Interest rebate facilities for affected investors by ICB & its Subsidiaries,0,0,1,interest rebate facilities for affected investors by icb  its subsidiaries
20,2018-04-24,ICB,Q3 Financials,0,0,0,q3 financials
21,2018-04-16,ICB,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
24,2018-04-08,ICB,Board decision to issue ICB Subordinated Bond,1,0,0,board decision to issue icb subordinated bond
25,2018-01-25,ICB,Q2 Financials,0,0,0,q2 financials
26,2018-01-16,ICB,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
27,2018-01-04,ICB,Dividend Disbursement,0,0,0,dividend disbursement
28,2017-11-26,ICB,Resumption after record date,0,0,1,resumption after record date
29,2017-11-23,ICB,Suspension for Record Date,1,0,0,suspension for record date
30,2017-11-21,ICB,Spot News,0,0,1,spot news
31,2017-11-12,ICB,Q1 Financials,0,1,0,q1 financials
32,2017-11-05,ICB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2017-11-05,ICB,Price Limit Open,0,0,0,price limit open
35,2017-11-05,ICB,Dividend Declaration,0,0,0,dividend declaration
36,2017-10-26,ICB,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
37,2017-10-05,ICB,Credit Rating Result,1,0,0,credit rating result
38,2017-04-26,ICB,Q3 Financials,0,0,0,q3 financials
39,2017-04-19,ICB,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
40,2017-04-11,ICB,Query Response,0,0,0,query response
41,2017-01-30,ICB,Q2 Financials,0,1,0,q2 financials
42,2017-01-23,ICB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
43,2017-01-18,ICB,Dividend Disbursement,1,0,0,dividend disbursement
44,2017-01-10,ICB,Query Response,1,1,0,query response
45,2016-12-07,ICB,MOU Signing,0,0,0,mou signing
46,2016-11-14,ICB,Resumption after record,0,0,1,resumption after record
47,2016-11-13,ICB,Suspension for record,0,0,0,suspension for record
48,2016-11-13,ICB,Q1 Financials,0,0,0,q1 financials
49,2016-11-13,ICB,Q1 Financials,0,0,0,q1 financials
50,2016-11-09,ICB,Spot for AGM,1,1,0,spot for agm
51,2016-11-08,ICB,Board Meeting,0,1,1,board meeting
52,2016-10-25,ICB,Price Limit Open,1,0,0,price limit open
53,2016-10-25,ICB,Dividend Declaration,1,0,0,dividend declaration
54,2016-10-18,ICB,Board Meeting,0,1,0,board meeting
55,2016-10-03,ICB,Credit Rating Result,1,0,1,credit rating result
56,2016-07-10,ICB,Appointment of Managing Director,0,0,0,appointment of managing director
57,2016-04-27,ICB,Q3 Financials,0,0,0,q3 financials
58,2016-04-24,ICB,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
59,2016-02-01,ICB,Q2 Financials (additional information),1,1,0,q2 financials additional information
60,2016-01-31,ICB,Q2 Financials,0,1,1,q2 financials
61,2016-01-25,ICB,Cash Dividend Disbursement,0,1,0,cash dividend disbursement
62,2015-11-30,ICB,Resumption after Record date,0,0,1,resumption after record date
63,2015-11-29,ICB,Suspension for Record Date,0,0,0,suspension for record date
64,2015-11-25,ICB,Spot for AGM,0,0,0,spot for agm
65,2015-11-10,ICB,Q1 Financials,0,0,0,q1 financials
66,2015-11-10,ICB,Price Limit Open,0,0,0,price limit open
67,2015-11-10,ICB,Dividend Declaration,0,0,0,dividend declaration
68,2015-11-03,ICB,Board Meeting,1,1,0,board meeting
69,2015-07-02,ICB,Credit Rating Result,0,0,0,credit rating result
70,2015-04-30,ICB,Q3,0,0,0,q3
71,2015-02-03,ICB,Resumption after Record Date,0,1,0,resumption after record date
