,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,IDLC,Dividend Disbursement,1,0,0,dividend disbursement
2,2019-04-03,IDLC,Consent from BSEC for issuing Non-Convertible Zero Coupon Bonds,0,1,0,consent from bsec for issuing non-convertible zero coupon bonds
4,2019-04-02,IDLC,Decision to Receive Entitled Cash Dividend,0,0,1,decision to receive entitled cash dividend
6,2019-03-12,IDLC,Resumption after record date,0,0,1,resumption after record date
7,2019-03-11,IDLC,Suspension for Record date,1,0,0,suspension for record date
8,2019-03-07,IDLC,Spot News,1,0,0,spot news
10,2019-02-27,IDLC,Updating information,0,0,0,updating information
11,2019-02-18,IDLC,Price Limit Open,0,0,0,price limit open
13,2019-02-18,IDLC,Dividend Declaration,0,0,0,dividend declaration
14,2019-02-14,IDLC,Conference on unaudited 4th quarterly financial statements,0,0,0,conference on unaudited 4th quarterly financial statements
15,2019-02-07,IDLC,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
17,2019-01-17,IDLC,Decision to enhance the issue size of Non-Convertible Zero Coupon Bonds,1,0,0,decision to enhance the issue size of non-convertible zero coupon bonds
18,2018-11-25,IDLC,Decision for issuance of Non-Convertible Zero Coupon Bonds,1,0,0,decision for issuance of non-convertible zero coupon bonds
19,2018-10-15,IDLC,Q3 Financials,0,0,0,q3 financials
20,2018-10-11,IDLC,Conference on unaudited quarterly financial statements,1,0,0,conference on unaudited quarterly financial statements
21,2018-10-09,IDLC,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
22,2018-07-30,IDLC,Q2 Financials,1,0,1,q2 financials
23,2018-07-24,IDLC,Schedule of Conference on unaudited quarterly financial statements,0,0,1,schedule of conference on unaudited quarterly financial statements
24,2018-07-24,IDLC,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
25,2018-07-22,IDLC,Obtaining Fund Manager registration certificate by a subsidiary,0,1,0,obtaining fund manager registration certificate by a subsidiary
26,2018-05-23,IDLC,Credit Rating Result,0,1,0,credit rating result
27,2018-04-26,IDLC,Q1 Financials,0,0,0,q1 financials
28,2018-04-25,IDLC,Dividend Disbursement,1,0,0,dividend disbursement
