,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,IFADAUTOS,Q3 Financials,0,1,0,q3 financials
1,2019-04-23,IFADAUTOS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-03-18,IFADAUTOS,Credit Rating Result,0,1,1,credit rating result
3,2019-03-05,IFADAUTOS,Sale Intimation,0,0,0,sale intimation
4,2019-02-03,IFADAUTOS,Q2 Financials,1,1,0,q2 financials
6,2019-01-28,IFADAUTOS,Formalities completion to subscribe 49% equity shares of a subsidiary,0,0,0,formalities completion to subscribe 49 equity shares of a subsidiary
7,2019-01-27,IFADAUTOS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2019-01-20,IFADAUTOS,Dividend Disbursement,0,0,0,dividend disbursement
9,2018-12-05,IFADAUTOS,Time and Venue of AGM,1,0,0,time and venue of agm
11,2018-12-02,IFADAUTOS,Revised schedule of Rights Share Utilization Proceeds,0,0,1,revised schedule of rights share utilization proceeds
12,2018-11-25,IFADAUTOS,Board Decision to Purchase Land,1,1,0,board decision to purchase land
13,2018-11-15,IFADAUTOS,Q1 Financials,0,0,0,q1 financials
14,2018-11-08,IFADAUTOS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
15,2018-10-18,IFADAUTOS,Resumption after Record Date,0,0,0,resumption after record date
16,2018-10-17,IFADAUTOS,Suspension for Record Date,0,0,0,suspension for record date
17,2018-10-15,IFADAUTOS,Spot News,0,1,0,spot news
18,2018-09-30,IFADAUTOS,Price Limit Open,0,1,0,price limit open
20,2018-09-30,IFADAUTOS,Dividend Declaration,0,1,0,dividend declaration
21,2018-09-19,IFADAUTOS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
22,2018-08-16,IFADAUTOS,Land Purchase,0,0,0,land purchase
23,2018-07-08,IFADAUTOS,Land Purchase Decision,0,0,0,land purchase decision
24,2018-06-07,IFADAUTOS,Board Decision to Purchase Land,0,0,0,board decision to purchase land
25,2018-04-30,IFADAUTOS,Q3 Financials,0,0,0,q3 financials
26,2018-04-26,IFADAUTOS,Credit Rating Result,1,0,0,credit rating result
27,2018-04-24,IFADAUTOS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
28,2018-01-28,IFADAUTOS,Q2 Financials,0,0,0,q2 financials
29,2018-01-22,IFADAUTOS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
30,2018-01-10,IFADAUTOS,Dividend Disbursement,1,0,0,dividend disbursement
31,2018-01-07,IFADAUTOS,Rights share Credited to BO Accounts,1,0,1,rights share credited to bo accounts
32,2018-01-07,IFADAUTOS,Rights share Credited to BO Accounts,1,0,1,rights share credited to bo accounts
33,2017-11-13,IFADAUTOS,Adjusted opening price of the Company,1,1,0,adjusted opening price of the company
34,2017-11-12,IFADAUTOS,Resumption after record date,0,1,1,resumption after record date
35,2017-11-12,IFADAUTOS,Q1 Financials,0,1,1,q1 financials
