,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,IFIC,Price Limit Open,0,0,0,price limit open
2,2019-04-30,IFIC,Dividend Declaration,0,0,0,dividend declaration
3,2019-04-23,IFIC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
4,2019-01-27,IFIC,Query Response,0,0,1,query response
5,2018-10-31,IFIC,Q3 Financials,0,0,0,q3 financials
6,2018-10-24,IFIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
7,2018-09-03,IFIC,Address Change of Share Department,0,0,0,address change of share department
8,2018-07-31,IFIC,Q2 Financials,0,1,1,q2 financials
9,2018-07-24,IFIC,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
10,2018-07-08,IFIC,Dividend Disbursement,0,0,0,dividend disbursement
11,2018-06-27,IFIC,Credit Rating Result,0,0,0,credit rating result
12,2018-05-15,IFIC,Q1 Financials,1,0,0,q1 financials
13,2018-05-10,IFIC,Resumption after record date,0,0,0,resumption after record date
14,2018-05-09,IFIC,Suspension for Record Date,0,0,0,suspension for record date
15,2018-05-08,IFIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-05-07,IFIC,Spot News,0,0,0,spot news
17,2018-04-11,IFIC,Price Limit Open,0,0,0,price limit open
18,2018-04-11,IFIC,Dividend Declaration,0,0,0,dividend declaration
19,2018-04-01,IFIC,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
20,2018-02-18,IFIC,Decision to Purchase Land,0,0,0,decision to purchase land
21,2017-10-31,IFIC,Q3 Financials,0,1,0,q3 financials
22,2017-10-23,IFIC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2017-07-27,IFIC,Dividend Disbursement,0,0,0,dividend disbursement
24,2017-07-27,IFIC,Q2 Financials,0,0,0,q2 financials
25,2017-07-23,IFIC,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
26,2017-06-22,IFIC,Branches remain open for Rights subscription,1,0,0,branches remain open for rights subscription
27,2017-06-21,IFIC,Credit Rating Result,1,1,0,credit rating result
28,2017-06-21,IFIC,Address Change of Share Department,1,1,0,address change of share department
29,2017-05-11,IFIC,Q1 Financials,0,0,0,q1 financials
30,2017-05-04,IFIC,Open adjusted price of the Company,1,0,0,open adjusted price of the company
31,2017-05-03,IFIC,Resumption after Record Date,0,1,0,resumption after record date
32,2017-05-03,IFIC,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
33,2017-05-02,IFIC,Suspension for Record Date,0,0,1,suspension for record date
34,2017-04-27,IFIC,Spot News,1,0,0,spot news
35,2017-04-17,IFIC,Resumption after record date,0,1,0,resumption after record date
36,2017-04-16,IFIC,Suspension on Record Date for Rights entitlement,0,0,1,suspension on record date for rights entitlement
40,2017-04-13,IFIC,New Record date for entitlement of Rights issue and Spot Cycle,1,0,0,new record date for entitlement of rights issue and spot cycle
43,2017-04-12,IFIC,New Record date for entitlement of Rights issue and Spot Cycle,0,1,0,new record date for entitlement of rights issue and spot cycle
47,2017-04-12,IFIC,New Record date for entitlement of Rights issue and Spot Cycle,0,1,0,new record date for entitlement of rights issue and spot cycle
48,2017-04-12,IFIC,Continuation of trading due to Rule Nisi of Honorable High Court Division,0,1,0,continuation of trading due to rule nisi of honorable high court division
49,2017-04-11,IFIC,Rule Nisi and Stay the operation on consent regarding Rights Issuance,0,0,1,rule nisi and stay the operation on consent regarding rights issuance
50,2017-04-11,IFIC,Suspension on Record Date for Rights entitlement,0,0,1,suspension on record date for rights entitlement
51,2017-04-09,IFIC,Spot News for Record date for Rights entitlement,1,0,0,spot news for record date for rights entitlement
52,2017-04-09,IFIC,Price Limit Open,1,0,0,price limit open
53,2017-04-09,IFIC,Dividend Declaration,1,0,0,dividend declaration
54,2017-03-30,IFIC,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
55,2017-03-19,IFIC,Subscription period and Record date for Rights Issuance,1,1,1,subscription period and record date for rights issuance
56,2017-03-16,IFIC,Approval from BSEC of Rights Issuance,1,0,0,approval from bsec of rights issuance
57,2016-12-06,IFIC,Share Department Address Change,0,0,0,share department address change
58,2016-10-31,IFIC,Q3 Financials,0,0,1,q3 financials
59,2016-10-18,IFIC,Board Meeting,1,0,0,board meeting
60,2016-08-14,IFIC,Address Change of Registered Office,0,0,1,address change of registered office
61,2016-07-28,IFIC,Q2 Financials,1,0,0,q2 financials
62,2016-07-21,IFIC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
63,2016-07-20,IFIC,Dividend Disbursement,1,1,0,dividend disbursement
64,2016-06-26,IFIC,Credit Rating Result,1,1,1,credit rating result
65,2016-06-21,IFIC,Price Limit Open,0,1,0,price limit open
66,2016-06-21,IFIC,Rights Issuance for increasing paid up capital,0,1,0,rights issuance for increasing paid up capital
67,2016-06-12,IFIC,Resumption after record date,0,0,1,resumption after record date
68,2016-06-09,IFIC,Suspension news for record date,0,0,0,suspension news for record date
69,2016-06-07,IFIC,Spot News for AGM,1,0,0,spot news for agm
