,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2018-10-31,ILFSL,Q3 Financials,1,0,0,q3 financials
1,2018-10-24,ILFSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2018-09-27,ILFSL,Credit Rating Result,0,0,0,credit rating result
3,2018-08-01,ILFSL,Q2 Financials,0,1,0,q2 financials
4,2018-07-26,ILFSL,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
5,2018-07-26,ILFSL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2018-07-08,ILFSL,Prohibition on providing loan facilities to purchase securities,1,0,1,prohibition on providing loan facilities to purchase securities
7,2018-07-08,ILFSL,Category Change,1,0,1,category change
8,2018-07-08,ILFSL,Dividend Disbursement,1,0,1,dividend disbursement
9,2018-05-23,ILFSL,Resumption after record date,0,1,0,resumption after record date
10,2018-05-22,ILFSL,Suspension for Record Date,0,0,1,suspension for record date
11,2018-05-20,ILFSL,Spot News,0,0,0,spot news
12,2018-05-15,ILFSL,Q1 Financials,0,0,0,q1 financials
13,2018-05-08,ILFSL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
14,2018-05-03,ILFSL,Price Limit Open,0,0,0,price limit open
16,2018-05-03,ILFSL,Dividend Declaration & increase of Authorized Capital,0,0,0,dividend declaration  increase of authorized capital
17,2018-04-19,ILFSL,Reschedule of Board Meeting under LR 19(1),1,0,0,reschedule of board meeting under lr 191
18,2018-04-17,ILFSL,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
19,2017-10-23,ILFSL,Q3 Financials,0,0,1,q3 financials
20,2017-10-16,ILFSL,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
21,2017-09-27,ILFSL,BSEC accorded Consent for issuance of Fully Redeemable Subordinated bond,0,1,0,bsec accorded consent for issuance of fully redeemable subordinated bond
22,2017-09-20,ILFSL,Query Response,0,1,0,query response
23,2017-09-11,ILFSL,Credit Rating Result,0,1,1,credit rating result
24,2017-07-31,ILFSL,Q2 Financials,1,1,0,q2 financials
25,2017-07-23,ILFSL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
26,2017-07-06,ILFSL,Dividend Disbursement,1,0,0,dividend disbursement
27,2017-05-21,ILFSL,Venue of the AGM,1,0,1,venue of the agm
28,2017-05-16,ILFSL,Resumption after Record Date,0,0,0,resumption after record date
