,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,INTECH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
1,2019-01-31,INTECH,Q2 Financials,0,0,0,q2 financials
2,2019-01-27,INTECH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-01-21,INTECH,Dividend Disbursement,0,0,0,dividend disbursement
4,2018-11-28,INTECH,Change of AGM date,0,0,0,change of agm date
5,2018-11-18,INTECH,Resumption after record date,0,0,0,resumption after record date
6,2018-11-15,INTECH,Suspension for Record Date,1,0,0,suspension for record date
7,2018-11-15,INTECH,Q1 Financials,1,0,0,q1 financials
8,2018-11-13,INTECH,Spot News,1,1,1,spot news
9,2018-11-08,INTECH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
10,2018-10-29,INTECH,Price Limit Open,1,1,0,price limit open
11,2018-10-29,INTECH,Dividend Declaration,1,1,0,dividend declaration
12,2018-10-21,INTECH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-09-30,INTECH,Financial Impact on Commercial Agreements,0,1,0,financial impact on commercial agreements
14,2018-09-30,INTECH,Financial Impact on Commercial Agreements,0,1,0,financial impact on commercial agreements
15,2018-09-30,INTECH,Financial Impact on Commercial Agreements,0,1,0,financial impact on commercial agreements
16,2018-09-26,INTECH,Resumption after Record Date,0,1,0,resumption after record date
17,2018-09-25,INTECH,Suspension for Record Date,1,0,1,suspension for record date
18,2018-09-24,INTECH,Date and Venue of the EGM,0,1,0,date and venue of the egm
19,2018-09-23,INTECH,Spot News for EGM,0,0,1,spot news for egm
21,2018-09-16,INTECH,Signing Commercial Agreements,1,1,0,signing commercial agreements
24,2018-09-06,INTECH,EGM to raise Authorized Capital & proposal for fresh investment,0,0,0,egm to raise authorized capital  proposal for fresh investment
25,2018-08-06,INTECH,Query Response (Repeat News),0,0,1,query response repeat news
26,2018-08-01,INTECH,Query Response,1,1,0,query response
27,2018-05-03,INTECH,Q3 Financials,1,0,0,q3 financials
28,2018-04-24,INTECH,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
29,2018-02-22,INTECH,Resumption after record date,0,0,0,resumption after record date
30,2018-02-20,INTECH,Suspension for Record Date,0,0,0,suspension for record date
31,2018-02-18,INTECH,Spot News for EGM,1,0,0,spot news for egm
32,2018-01-31,INTECH,Q2 Financials,0,0,0,q2 financials
34,2018-01-31,INTECH,EGM to raise Authorized Capital & subscribe 40% shares of China-BD Tech,0,0,0,egm to raise authorized capital  subscribe 40 shares of china-bd tech
35,2018-01-25,INTECH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
38,2018-01-23,INTECH,Basis for Qualified Opinion and Emphasis of Matter,1,0,0,basis for qualified opinion and emphasis of matter
39,2018-01-11,INTECH,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
40,2017-11-16,INTECH,Resumption after record date,0,0,0,resumption after record date
41,2017-11-15,INTECH,Suspension for Record Date,0,0,0,suspension for record date
42,2017-11-15,INTECH,Q1 Financials,0,0,0,q1 financials
43,2017-11-13,INTECH,Spot News,1,0,0,spot news
44,2017-11-09,INTECH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2017-10-29,INTECH,Price Limit Open,0,1,1,price limit open
46,2017-10-29,INTECH,Dividend Declaration,0,1,1,dividend declaration
47,2017-10-19,INTECH,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
48,2017-08-23,INTECH,Query Response,1,1,0,query response
49,2017-08-03,INTECH,Address Change of Corporate Office,0,0,0,address change of corporate office
50,2017-05-02,INTECH,Q3 Financials,0,1,1,q3 financials
51,2017-04-25,INTECH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
52,2017-01-31,INTECH,Q2 Financials,0,0,0,q2 financials
53,2017-01-25,INTECH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
54,2017-01-18,INTECH,Dividend Disbursement,0,0,0,dividend disbursement
55,2017-01-15,INTECH,Basis for Qualified Opinion & Emphasis of Matter,0,1,0,basis for qualified opinion  emphasis of matter
56,2017-01-01,INTECH,Elected Chairman,1,0,0,elected chairman
57,2016-11-15,INTECH,Q1 Financials,0,0,1,q1 financials
58,2016-11-15,INTECH,Land Purchase,0,0,1,land purchase
59,2016-11-10,INTECH,Board Meeting,0,0,0,board meeting
60,2016-10-30,INTECH,Approval of 18 months audited accounts,1,0,0,approval of 18 months audited accounts
61,2016-10-20,INTECH,Board Meeting,1,0,0,board meeting
62,2016-05-16,INTECH,Spot News,1,0,1,spot news
63,2016-05-11,INTECH,Change of Financial year,0,1,0,change of financial year
64,2016-05-02,INTECH,Price Limit Open,1,0,0,price limit open
65,2016-05-02,INTECH,Dividend Declaration,1,0,0,dividend declaration
66,2016-04-25,INTECH,Board Meeting,0,0,0,board meeting
67,2015-11-01,INTECH,Q3,1,0,0,q3
68,2015-10-26,INTECH, Board Meeting,0,0,1,board meeting
69,2015-08-02,INTECH,Q2 Financials,0,0,1,q2 financials
70,2015-07-14,INTECH,Dividend Disbursement,1,0,0,dividend disbursement
71,2015-05-17,INTECH,Q1 Financials,0,1,0,q1 financials
72,2015-05-17,INTECH,Name change of the Company,0,1,0,name change of the company
73,2015-05-14,INTECH,Resumption News after Record Date,0,0,0,resumption news after record date
74,2015-05-13,INTECH,Suspension News for Record Date,0,0,0,suspension news for record date
75,2015-05-11,INTECH,Spot News for AGM,0,0,0,spot news for agm
76,2015-05-04,INTECH,Price Limit Open,1,0,0,price limit open
77,2015-05-04,INTECH,Dividend Declaration,1,0,0,dividend declaration
78,2015-04-27,INTECH,Board Meeting,1,0,0,board meeting
79,2015-02-17,INTECH,Query Response,1,0,0,query response
80,2014-11-02,INTECH,Q3 earnings,0,0,0,q3 earnings
81,2014-09-03,INTECH,DSE query,1,0,0,dse query
82,2014-08-03,INTECH,H/Y Earnings,0,1,0,hy earnings
83,2014-07-21,INTECH,credited the bonus shares,0,1,0,credited the bonus shares
84,2014-06-30,INTECH,DSE query,0,0,0,dse query
85,2014-06-01,INTECH,Basis for Qualified Opinion,0,0,1,basis for qualified opinion
86,2014-05-18,INTECH,Q1 Earnings,1,1,0,q1 earnings
87,2014-05-15,INTECH,will resume after record date,0,0,0,will resume after record date
88,2014-05-14,INTECH,trade suspended,1,0,0,trade suspended
89,2014-05-11,INTECH,Spot Market and Block/Odd lot transactions,1,0,0,spot market and blockodd lot transactions
90,2014-04-30,INTECH,no price limit,0,0,0,no price limit
