,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,INTRACO,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-02-26,INTRACO,Sale Confirmation,0,0,0,sale confirmation
4,2019-02-17,INTRACO,Sale Intimation (Correction),0,0,0,sale intimation correction
5,2019-02-17,INTRACO,Sale Intimation,0,0,0,sale intimation
6,2019-01-31,INTRACO,Board decision of merger with 5 subsidiaries companies,1,0,0,board decision of merger with 5 subsidiaries companies
7,2019-01-31,INTRACO,Board decision of merger with 5 subsidiaries companies,1,0,0,board decision of merger with 5 subsidiaries companies
8,2019-01-31,INTRACO,Board decision of merger with 5 subsidiaries companies,1,0,0,board decision of merger with 5 subsidiaries companies
9,2019-01-31,INTRACO,Q2 Financials,1,0,0,q2 financials
10,2019-01-29,INTRACO,Prohibition on providing loan facilities to purchase securities,0,0,1,prohibition on providing loan facilities to purchase securities
11,2019-01-29,INTRACO,Category Change,0,0,1,category change
12,2019-01-29,INTRACO,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
13,2019-01-24,INTRACO,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
14,2019-01-08,INTRACO,Stock Dividend Disbursement,0,0,1,stock dividend disbursement
16,2018-12-03,INTRACO,Emphasis of Matter,0,1,0,emphasis of matter
17,2018-11-18,INTRACO,Resumption after record date,0,0,0,resumption after record date
18,2018-11-15,INTRACO,Suspension for Record Date,0,0,0,suspension for record date
19,2018-11-15,INTRACO,Q1 Financials,0,0,0,q1 financials
20,2018-11-14,INTRACO,Spot News,0,0,0,spot news
22,2018-11-11,INTRACO,Updating Information,0,0,1,updating information
23,2018-11-08,INTRACO,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
24,2018-10-29,INTRACO,Price Limit Open,1,1,1,price limit open
26,2018-10-29,INTRACO,Dividend Declaration & Change of Project location for IPO Proceeds use,1,1,1,dividend declaration  change of project location for ipo proceeds use
27,2018-10-21,INTRACO,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
28,2018-05-17,INTRACO,Q3 Financials,0,0,0,q3 financials
29,2018-05-17,INTRACO,Q3 Financials,0,0,0,q3 financials
30,2018-05-17,INTRACO,Q3 Financials,0,0,0,q3 financials
31,2018-05-17,INTRACO,Q3 Financials,0,0,0,q3 financials
32,2018-05-17,INTRACO,Q3 Financials,0,0,0,q3 financials
33,2018-05-17,INTRACO,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
34,2018-05-17,INTRACO,Trading of New Security,0,0,0,trading of new security
