,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-21,IPDC,Q1 Financials,0,0,0,q1 financials
1,2019-04-09,IPDC,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
2,2019-03-12,IPDC,Venue for AGM and EGM,0,0,1,venue for agm and egm
3,2019-03-04,IPDC,Resumption after record date,0,1,0,resumption after record date
4,2019-03-03,IPDC,Suspension for Record date,1,0,1,suspension for record date
5,2019-02-27,IPDC,Spot News,0,0,0,spot news
8,2019-02-25,IPDC,Updating information,1,0,0,updating information
9,2019-02-13,IPDC,Sale Confirmation of a Corporate Director,1,0,0,sale confirmation of a corporate director
10,2019-02-12,IPDC,Sale Declaration of a Corporate Director,1,1,0,sale declaration of a corporate director
11,2019-02-11,IPDC,Price Limit Open,0,1,1,price limit open
15,2019-02-11,IPDC,"Dividend Declaration, Rights Issuance and Asset Revaluation",0,1,1,"dividend declaration, rights issuance and asset revaluation"
16,2019-01-30,IPDC,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
18,2018-10-14,IPDC,Consent accorded by BSEC to issue Subordinated Bond,0,0,0,consent accorded by bsec to issue subordinated bond
19,2018-10-11,IPDC,Q3 Financials,1,0,0,q3 financials
20,2018-10-04,IPDC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-09-05,IPDC,Venue of the EGM,0,0,0,venue of the egm
22,2018-08-27,IPDC,Resumption after record date,0,1,1,resumption after record date
23,2018-08-26,IPDC,Suspension for Record Date,0,0,1,suspension for record date
24,2018-08-19,IPDC,Spot News for EGM,1,1,0,spot news for egm
25,2018-08-01,IPDC,Decision to hold EGM for Reduction of Authorized Capital,1,1,0,decision to hold egm for reduction of authorized capital
26,2018-08-01,IPDC,Decision to hold EGM for Reduction of Authorized Capital,1,1,0,decision to hold egm for reduction of authorized capital
27,2018-08-01,IPDC,Decision to hold EGM for Reduction of Authorized Capital,1,1,0,decision to hold egm for reduction of authorized capital
28,2018-08-01,IPDC,Q2 Financials,1,1,0,q2 financials
29,2018-07-25,IPDC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
30,2018-07-22,IPDC,Credit Rating Result,1,1,0,credit rating result
31,2018-04-23,IPDC,Q1 Financials,0,0,1,q1 financials
32,2018-04-18,IPDC,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
33,2018-04-09,IPDC,Dividend Disbursement,0,0,0,dividend disbursement
34,2018-03-07,IPDC,Venue of the EGM and AGM,0,1,0,venue of the egm and agm
35,2018-03-07,IPDC,Venue of the EGM and AGM,0,1,0,venue of the egm and agm
36,2018-02-27,IPDC,Resumption after record date,0,1,0,resumption after record date
37,2018-02-26,IPDC,Suspension for Record Date,1,0,1,suspension for record date
38,2018-02-22,IPDC,Spot News for EGM & AGM,0,0,0,spot news for egm  agm
39,2018-02-07,IPDC,Price Limit Open,1,1,0,price limit open
43,2018-02-07,IPDC,"Dividend Declaration, Rights Issue and increase of Authorized Capital",1,1,0,"dividend declaration, rights issue and increase of authorized capital"
44,2018-01-29,IPDC,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
45,2017-11-21,IPDC,Issuance of Non-convertible unsecured coupon bearing subordinated Bond,1,1,0,issuance of non-convertible unsecured coupon bearing subordinated bond
46,2017-10-30,IPDC,Q3 Financials,0,0,0,q3 financials
47,2017-10-18,IPDC,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
48,2017-10-15,IPDC,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
49,2017-07-31,IPDC,Q2 Financials,1,0,0,q2 financials
50,2017-07-27,IPDC,Credit Rating Result,0,0,0,credit rating result
51,2017-07-23,IPDC,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
52,2017-05-23,IPDC,Dividend Disbursement,0,1,0,dividend disbursement
53,2017-05-03,IPDC,Q1 Financials,0,0,0,q1 financials
54,2017-04-25,IPDC,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
55,2017-04-05,IPDC,Venue of the AGM,0,1,0,venue of the agm
56,2017-03-19,IPDC,BSEC approval to issue Non-Convertible Zero Coupon Bond,0,0,0,bsec approval to issue non-convertible zero coupon bond
57,2017-03-14,IPDC,Information for Brokerage houses relating to Margin Loan,0,1,1,information for brokerage houses relating to margin loan
58,2017-03-12,IPDC, Suspension for Record Date,1,0,0,suspension for record date
59,2017-03-08,IPDC,Spot News,0,1,0,spot news
60,2017-02-20,IPDC,Price Limit Open,1,0,1,price limit open
61,2017-02-20,IPDC,Dividend Declaration,1,0,1,dividend declaration
62,2017-01-09,IPDC,Name Change of the Company,1,0,0,name change of the company
63,2016-10-18,IPDC,Q3 Financials,1,0,0,q3 financials
64,2016-10-09,IPDC, Board Meeting,0,1,0,board meeting
65,2016-09-24,IPDC,Query Response,0,1,1,query response
66,2016-09-18,IPDC,Resumption after record date,0,1,1,resumption after record date
67,2016-09-08,IPDC,Suspension for record date,1,0,0,suspension for record date
68,2016-09-07,IPDC,Venue of EGM & Change of Record Date for name change of the Company,0,1,0,venue of egm  change of record date for name change of the company
69,2016-09-06,IPDC,Spot for EGM regarding name change of the Company,0,0,1,spot for egm regarding name change of the company
70,2016-08-22,IPDC, Name change of the Company,0,1,0,name change of the company
