,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,ISLAMIBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-04-29,ISLAMIBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-04-25,ISLAMIBANK,Price Limit Open,0,0,0,price limit open
4,2019-04-25,ISLAMIBANK,Dividend Declaration,0,0,0,dividend declaration
5,2019-04-17,ISLAMIBANK,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
6,2018-10-31,ISLAMIBANK,Q3 Financials,0,0,0,q3 financials
7,2018-10-28,ISLAMIBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
9,2018-09-30,ISLAMIBANK,Consent accorded from BSEC for issuance of 2nd Subordinated Bond,0,0,1,consent accorded from bsec for issuance of 2nd subordinated bond
10,2018-08-09,ISLAMIBANK,Sale confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
11,2018-07-26,ISLAMIBANK,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
12,2018-07-24,ISLAMIBANK,Dividend Disbursement,1,0,1,dividend disbursement
13,2018-07-24,ISLAMIBANK,Q2 Financials,1,0,1,q2 financials
14,2018-07-17,ISLAMIBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-06-04,ISLAMIBANK,Credit Rating Result,0,1,1,credit rating result
16,2018-05-21,ISLAMIBANK,Resumption after record date,0,0,0,resumption after record date
17,2018-05-20,ISLAMIBANK,Suspension for Record Date,1,0,0,suspension for record date
18,2018-05-16,ISLAMIBANK,Spot News,1,1,0,spot news
19,2018-05-14,ISLAMIBANK,Q1 Financials,0,1,1,q1 financials
20,2018-05-08,ISLAMIBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-05-03,ISLAMIBANK,Sale Confirmation of a Corporate Sponsor,0,0,0,sale confirmation of a corporate sponsor
22,2018-04-26,ISLAMIBANK,Sale Declaration of a Corporate Sponsor,1,0,0,sale declaration of a corporate sponsor
23,2018-04-26,ISLAMIBANK,Price Limit Open,1,0,0,price limit open
25,2018-04-26,ISLAMIBANK,Dividend Declaration,1,0,0,dividend declaration
26,2018-04-18,ISLAMIBANK,Elected Chairman,1,0,0,elected chairman
27,2018-04-18,ISLAMIBANK,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
28,2018-02-15,ISLAMIBANK,Appointment of Managing Director & CEO,0,0,0,appointment of managing director  ceo
29,2017-11-30,ISLAMIBANK,Issuance of 2nd Mudaraba Redeemable Non-Convertible Subordinated Bond,0,0,0,issuance of 2nd mudaraba redeemable non-convertible subordinated bond
30,2017-10-30,ISLAMIBANK,Sale confirmation by a Corporate Sponsor,0,0,0,sale confirmation by a corporate sponsor
31,2017-10-26,ISLAMIBANK,Sale declaration by a Corporate Sponsor,0,0,0,sale declaration by a corporate sponsor
32,2017-10-22,ISLAMIBANK,Q3 Financials,0,0,0,q3 financials
33,2017-10-15,ISLAMIBANK,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
34,2017-08-22,ISLAMIBANK,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
35,2017-08-13,ISLAMIBANK,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
