,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-11,ISLAMICFIN,Resumption after record date,0,0,0,resumption after record date
1,2019-04-10,ISLAMICFIN,Suspension for Record Date,1,0,0,suspension for record date
2,2019-04-08,ISLAMICFIN,Spot News,1,0,1,spot news
3,2019-03-21,ISLAMICFIN,Additional Information (Reason for Deviation in NOCFPS),0,0,0,additional information reason for deviation in nocfps
4,2019-03-21,ISLAMICFIN,Price Limit Open,0,0,0,price limit open
5,2019-03-21,ISLAMICFIN,Dividend Declaration,0,0,0,dividend declaration
6,2019-03-13,ISLAMICFIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
7,2018-10-25,ISLAMICFIN,Q3 Financials,0,0,0,q3 financials
8,2018-10-21,ISLAMICFIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
9,2018-10-21,ISLAMICFIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
10,2018-07-29,ISLAMICFIN,Q2 Financials,0,0,0,q2 financials
11,2018-07-23,ISLAMICFIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
12,2018-06-19,ISLAMICFIN,Appointment of Managing Directors and CEO,0,1,1,appointment of managing directors and ceo
13,2018-05-24,ISLAMICFIN,Dividend Disbursement,1,0,0,dividend disbursement
14,2018-05-10,ISLAMICFIN,Q1 Financials,0,0,0,q1 financials
15,2018-04-30,ISLAMICFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-04-25,ISLAMICFIN,Sale Confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
17,2018-04-19,ISLAMICFIN,Buy Confirmation of a Sponsor,1,0,0,buy confirmation of a sponsor
18,2018-04-16,ISLAMICFIN,Buy Confirmation of a Sponsor,0,0,0,buy confirmation of a sponsor
19,2018-04-15,ISLAMICFIN,Buy Declaration of a Sponsor,0,0,0,buy declaration of a sponsor
20,2018-04-05,ISLAMICFIN,Resumption after record date,0,0,0,resumption after record date
21,2018-04-04,ISLAMICFIN,Suspension for Record Date,1,0,0,suspension for record date
22,2018-04-02,ISLAMICFIN,Spot News,1,0,1,spot news
23,2018-04-01,ISLAMICFIN,Buy Confirmation of a Sponsor,1,1,0,buy confirmation of a sponsor
24,2018-03-29,ISLAMICFIN,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
25,2018-03-27,ISLAMICFIN,Buy Confirmation of a Sponsor,0,1,1,buy confirmation of a sponsor
26,2018-03-25,ISLAMICFIN,Buy Declaration of a Sponsor,1,0,0,buy declaration of a sponsor
27,2018-03-18,ISLAMICFIN,Buy Declaration of a Sponsor,1,1,0,buy declaration of a sponsor
28,2018-03-15,ISLAMICFIN,Price Limit Open,1,0,0,price limit open
29,2018-03-15,ISLAMICFIN,Dividend Declaration,1,0,0,dividend declaration
30,2018-03-07,ISLAMICFIN,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
31,2017-11-02,ISLAMICFIN,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
32,2017-10-25,ISLAMICFIN,Q3 Financials,0,0,0,q3 financials
33,2017-10-24,ISLAMICFIN,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
34,2017-10-18,ISLAMICFIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
35,2017-09-27,ISLAMICFIN,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
36,2017-09-20,ISLAMICFIN,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
37,2017-09-04,ISLAMICFIN,Sale confirmation of a Sponsor,1,1,0,sale confirmation of a sponsor
38,2017-08-22,ISLAMICFIN,Sale Declaration of a Sponsor,1,1,0,sale declaration of a sponsor
39,2017-07-25,ISLAMICFIN,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
40,2017-07-25,ISLAMICFIN,Q2 Financials,0,0,0,q2 financials
41,2017-07-25,ISLAMICFIN,Decision to form a Subsidiary Company,0,0,0,decision to form a subsidiary company
42,2017-07-18,ISLAMICFIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
43,2017-06-21,ISLAMICFIN,Dividend Disbursement,1,1,0,dividend disbursement
44,2017-06-14,ISLAMICFIN,Stock Dividend Credited,1,1,0,stock dividend credited
45,2017-05-03,ISLAMICFIN,Q1 Financials,0,0,0,q1 financials
46,2017-04-30,ISLAMICFIN,Credit Rating Result,1,0,0,credit rating result
47,2017-04-30,ISLAMICFIN,Confirmation of sale by a Sponsor,1,0,0,confirmation of sale by a sponsor
48,2017-04-27,ISLAMICFIN,Resumption after Record Date,0,0,0,resumption after record date
49,2017-04-26,ISLAMICFIN,Suspension for Record Date,1,0,0,suspension for record date
50,2017-04-26,ISLAMICFIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
51,2017-04-24,ISLAMICFIN,Spot News,0,0,1,spot news
52,2017-04-18,ISLAMICFIN,Sale declaration of a Sponsor,0,1,1,sale declaration of a sponsor
53,2017-04-06,ISLAMICFIN,Price Limit Open,0,0,0,price limit open
54,2017-04-06,ISLAMICFIN,Dividend Declaration,0,0,0,dividend declaration
55,2017-03-29,ISLAMICFIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
56,2016-11-02,ISLAMICFIN,Confirmation of sale,1,0,0,confirmation of sale
57,2016-10-27,ISLAMICFIN,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
58,2016-10-25,ISLAMICFIN,Declaration of Sale by a Sponsor,0,0,0,declaration of sale by a sponsor
59,2016-10-25,ISLAMICFIN,Q3 Financials,0,0,0,q3 financials
60,2016-10-18,ISLAMICFIN,Board Meeting,1,0,0,board meeting
61,2016-10-04,ISLAMICFIN,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
62,2016-09-05,ISLAMICFIN,Declaration of sale by a Sponsor,0,1,0,declaration of sale by a sponsor
63,2016-08-10,ISLAMICFIN,Declaration of Sale,0,0,0,declaration of sale
64,2016-07-31,ISLAMICFIN,Declaration of Sale,1,1,0,declaration of sale
65,2016-07-24,ISLAMICFIN,Q2 Financials,1,0,0,q2 financials
66,2016-07-14,ISLAMICFIN,Sponsors has expressed his intention to Sell,0,0,1,sponsors has expressed his intention to sell
67,2016-06-27,ISLAMICFIN,Dividend Disbursement,0,1,0,dividend disbursement
68,2016-06-27,ISLAMICFIN,Dividend Disbursement,0,1,0,dividend disbursement
69,2016-05-15,ISLAMICFIN,Suspension for Record date,0,1,1,suspension for record date
70,2016-05-12,ISLAMICFIN,Suspension for Record date,0,0,0,suspension for record date
71,2016-05-10,ISLAMICFIN,Spot News for AGM,0,0,0,spot news for agm
72,2016-04-28,ISLAMICFIN,Q1 Financials,0,0,0,q1 financials
73,2016-04-25,ISLAMICFIN,Board Meeting,1,0,1,board meeting
74,2016-04-24,ISLAMICFIN,Price Limit Open,0,1,0,price limit open
75,2016-04-24,ISLAMICFIN,Dividend Declaration,0,1,0,dividend declaration
76,2016-04-13,ISLAMICFIN,Re-schedule of Board Meeting,0,0,0,re-schedule of board meeting
77,2016-04-06,ISLAMICFIN,Postponement of Board Meeting,1,1,0,postponement of board meeting
