,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-21,ISLAMIINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
1,2019-01-22,ISLAMIINS,Query Response,0,1,0,query response
2,2018-10-28,ISLAMIINS,Q3 Financials,1,1,0,q3 financials
3,2018-10-21,ISLAMIINS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
4,2018-09-05,ISLAMIINS,Sale Confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
5,2018-08-13,ISLAMIINS,Dividend Disbursement,0,0,0,dividend disbursement
6,2018-08-05,ISLAMIINS,Sale Declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
7,2018-07-30,ISLAMIINS,Q2 Financials,0,1,1,q2 financials
8,2018-07-23,ISLAMIINS,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
9,2018-07-04,ISLAMIINS,Venue of the AGM,1,0,0,venue of the agm
10,2018-06-27,ISLAMIINS,Credit Rating Result,1,1,0,credit rating result
11,2018-05-22,ISLAMIINS,Resumption after record date,0,0,1,resumption after record date
12,2018-05-21,ISLAMIINS,Suspension for Record Date,1,0,0,suspension for record date
13,2018-05-17,ISLAMIINS,Spot News,1,0,0,spot news
14,2018-05-16,ISLAMIINS,Q1 Financials,0,1,0,q1 financials
15,2018-05-09,ISLAMIINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
16,2018-04-30,ISLAMIINS,Price Limit Open,1,0,0,price limit open
17,2018-04-30,ISLAMIINS,Dividend Declaration,1,0,0,dividend declaration
18,2018-04-18,ISLAMIINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
19,2017-10-30,ISLAMIINS,Q3 Financials,1,0,0,q3 financials
20,2017-10-24,ISLAMIINS,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
21,2017-08-08,ISLAMIINS,Dividend Disbursement,1,1,1,dividend disbursement
22,2017-07-27,ISLAMIINS,Credit Rating Result,1,0,0,credit rating result
23,2017-07-23,ISLAMIINS,Q2 Financials,0,0,0,q2 financials
24,2017-07-13,ISLAMIINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-07-10,ISLAMIINS,Sale confirmation of a Sponsor,0,1,1,sale confirmation of a sponsor
26,2017-06-19,ISLAMIINS,Sale declaration of a Sponsor,1,0,1,sale declaration of a sponsor
27,2017-05-23,ISLAMIINS,Resumption after Record Date,0,1,0,resumption after record date
28,2017-05-22,ISLAMIINS,Suspension for Record Date,0,0,1,suspension for record date
29,2017-05-18,ISLAMIINS,Spot News,1,0,0,spot news
30,2017-05-14,ISLAMIINS,Q1 Financials,1,0,0,q1 financials
31,2017-05-02,ISLAMIINS,Price Limit Open,1,1,1,price limit open
32,2017-05-02,ISLAMIINS,Dividend Declaration,1,1,1,dividend declaration
33,2017-04-23,ISLAMIINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
34,2017-01-11,ISLAMIINS,Query Response,0,0,0,query response
35,2016-11-01,ISLAMIINS,Q3 Financials,1,1,0,q3 financials
36,2016-08-24,ISLAMIINS,Credit Rating Result,0,0,0,credit rating result
37,2016-08-01,ISLAMIINS,Q2 Financials,0,1,0,q2 financials
38,2016-07-20,ISLAMIINS,Address Change of the Head Office,0,0,0,address change of the head office
39,2016-06-21,ISLAMIINS,Stock Dividend Disbursement,0,0,1,stock dividend disbursement
40,2016-05-19,ISLAMIINS,Resumption after Record date,0,0,0,resumption after record date
41,2016-05-19,ISLAMIINS,Resumption after Record date,0,0,0,resumption after record date
42,2016-05-18,ISLAMIINS,Suspension for Record date,0,0,0,suspension for record date
43,2016-05-16,ISLAMIINS,Spot News,1,0,0,spot news
44,2016-05-15,ISLAMIINS, Q1 Financials,1,1,0,q1 financials
45,2016-05-02,ISLAMIINS,Price Limit Open,0,1,0,price limit open
46,2016-05-02,ISLAMIINS,Dividend Declaration,0,1,0,dividend declaration
47,2016-04-19,ISLAMIINS,Board Meeting,0,0,1,board meeting
48,2015-11-01,ISLAMIINS,Q3,0,1,1,q3
49,2015-08-27,ISLAMIINS,Credit Rating Result,1,0,0,credit rating result
50,2015-08-02,ISLAMIINS,Q2 Financials,0,1,0,q2 financials
