,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ISNLTD,Q3 Financials,0,0,0,q3 financials
1,2019-04-24,ISNLTD,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-01-31,ISNLTD,Q2 Financials,0,0,0,q2 financials
3,2019-01-24,ISNLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-08,ISNLTD,Query Response,0,0,1,query response
6,2018-12-10,ISNLTD,Approval of 'No Dividend' by the Shareholders in the AGM,0,0,0,approval of 'no dividend' by the shareholders in the agm
9,2018-12-04,ISNLTD,Qualified Opinion,1,0,1,qualified opinion
10,2018-11-29,ISNLTD,Query Response,1,0,0,query response
11,2018-11-25,ISNLTD,Venue for AGM,1,1,0,venue for agm
12,2018-11-22,ISNLTD,Enquiry Committee Formation for investigation as per BSEC Order,0,0,0,enquiry committee formation for investigation as per bsec order
13,2018-11-18,ISNLTD,Resumption after record date,0,0,0,resumption after record date
14,2018-11-15,ISNLTD,Suspension for Record Date,0,0,0,suspension for record date
15,2018-11-14,ISNLTD,Q1 Financials,0,0,0,q1 financials
16,2018-11-11,ISNLTD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
17,2018-11-04,ISNLTD,Spot News,0,0,0,spot news
18,2018-10-29,ISNLTD,Price Limit Open,1,1,1,price limit open
20,2018-10-29,ISNLTD,Dividend Declaration,1,1,1,dividend declaration
21,2018-10-28,ISNLTD,Reschedule of Board Meeting under LR 19(1),0,1,1,reschedule of board meeting under lr 191
22,2018-10-21,ISNLTD,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
23,2018-09-25,ISNLTD,Query Response,0,1,0,query response
24,2018-04-23,ISNLTD,Q3 Financials,0,0,0,q3 financials
25,2018-04-17,ISNLTD,Resumption after record date,0,0,0,resumption after record date
26,2018-04-17,ISNLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2018-04-16,ISNLTD,Suspension for Record date,0,0,0,suspension for record date
28,2018-04-03,ISNLTD,Spot News for EGM,0,0,0,spot news for egm
29,2018-03-28,ISNLTD,EGM for substituting Article No.106 of the Articles of Association,0,0,0,egm for substituting article no.106 of the articles of association
30,2018-02-13,ISNLTD,Query Response (Repeat),1,0,0,query response repeat
31,2018-02-12,ISNLTD,Query Response,0,1,0,query response
32,2018-01-31,ISNLTD,Q2 Financials,0,1,0,q2 financials
33,2018-01-23,ISNLTD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
34,2018-01-03,ISNLTD,Resumption after record date,0,0,0,resumption after record date
35,2018-01-02,ISNLTD,Suspension for Record date,0,0,0,suspension for record date
36,2017-12-18,ISNLTD,Spot News for EGM,0,0,0,spot news for egm
37,2017-12-14,ISNLTD,EGM to amend an Article of the Articles of Association,0,0,0,egm to amend an article of the articles of association
41,2017-12-11,ISNLTD,Basis for Qualified Opinion,0,0,0,basis for qualified opinion
42,2017-12-07,ISNLTD,Resumption after record date,0,0,0,resumption after record date
43,2017-12-06,ISNLTD,Suspension for Record Date,1,0,0,suspension for record date
44,2017-12-03,ISNLTD,Q1 Financials,0,1,1,q1 financials
45,2017-11-29,ISNLTD,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
46,2017-11-26,ISNLTD,Query Response,0,0,1,query response
47,2017-11-23,ISNLTD,Spot News,1,0,0,spot news
48,2017-11-21,ISNLTD,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
49,2017-11-19,ISNLTD,Price Limit Open,1,1,1,price limit open
51,2017-11-19,ISNLTD,Dividend Declaration,1,1,1,dividend declaration
52,2017-11-12,ISNLTD,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
53,2017-09-06,ISNLTD,Query Response,1,0,0,query response
54,2017-08-01,ISNLTD,Query Response (Repeat News),1,1,1,query response repeat news
55,2017-07-31,ISNLTD,Query Response,0,1,1,query response
56,2017-06-01,ISNLTD,Q3 Financials,0,0,0,q3 financials
57,2017-04-27,ISNLTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
58,2017-02-01,ISNLTD,Q2 Financials,1,0,0,q2 financials
59,2017-01-29,ISNLTD,Board Meeting schedule,1,1,0,board meeting schedule
60,2017-01-29,ISNLTD,Board Meeting schedule,1,1,0,board meeting schedule
61,2017-01-15,ISNLTD,Basis for Qualified Opinion,0,0,1,basis for qualified opinion
62,2016-11-20,ISNLTD,Resumption after record date,1,0,0,resumption after record date
63,2016-11-17,ISNLTD,Suspension for record date,0,0,0,suspension for record date
64,2016-11-17,ISNLTD,Suspension for record date,0,0,0,suspension for record date
65,2016-11-15,ISNLTD,Q1 Financials,0,0,0,q1 financials
66,2016-11-13,ISNLTD,Board Meeting,0,1,0,board meeting
67,2016-11-06,ISNLTD,Spot for AGM,1,0,0,spot for agm
68,2016-10-31,ISNLTD,Price Limit Open,1,1,1,price limit open
69,2016-10-31,ISNLTD,Dividend Declaration,1,1,1,dividend declaration
70,2016-10-24,ISNLTD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
71,2016-01-18,ISNLTD,Credit Rating Result,0,1,0,credit rating result
72,2015-11-29,ISNLTD,Query Response,1,0,0,query response
73,2015-11-01,ISNLTD,Q3,0,0,0,q3
74,2015-08-02,ISNLTD,Q2 Financials,0,1,1,q2 financials
75,2015-06-28,ISNLTD,Change of Venue of 20th AGM,0,0,0,change of venue of 20th agm
76,2015-06-16,ISNLTD,Resumption News after Record Date,0,0,1,resumption news after record date
77,2015-06-15,ISNLTD,Change of AGM Date,0,0,0,change of agm date
78,2015-06-15,ISNLTD,Suspension News for Record Date,0,0,0,suspension news for record date
79,2015-06-01,ISNLTD,Spot News for AGM,1,0,0,spot news for agm
80,2015-05-17,ISNLTD,Q1 Financials,1,0,0,q1 financials
81,2015-05-12,ISNLTD,Price Limit Open,0,1,0,price limit open
82,2015-05-12,ISNLTD,Dividend Declaration,0,1,0,dividend declaration
83,2015-05-10,ISNLTD,Board Meeting schedule under LR 30,1,0,0,board meeting schedule under lr 30
84,2015-02-16,ISNLTD,Query Response,0,0,0,query response
85,2014-12-07,ISNLTD,DSE query,1,0,0,dse query
