,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,JAMUNABANK,Appointment of the Chairman,1,0,0,appointment of the chairman
1,2019-04-25,JAMUNABANK,Sell Declaration of a Director,1,0,0,sell declaration of a director
2,2019-04-21,JAMUNABANK,Price Limit Open,1,0,0,price limit open
4,2019-04-21,JAMUNABANK,Dividend Declaration,1,0,0,dividend declaration
5,2019-04-08,JAMUNABANK,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
6,2018-10-24,JAMUNABANK,Q3 Financials,1,0,0,q3 financials
7,2018-10-18,JAMUNABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
8,2018-09-03,JAMUNABANK,Declaration of share transfer by a Director,0,0,0,declaration of share transfer by a director
9,2018-09-03,JAMUNABANK,Declaration of share receipt by a Sponsor Director,0,0,0,declaration of share receipt by a sponsor director
10,2018-07-29,JAMUNABANK,Q2 Financials,0,1,0,q2 financials
11,2018-07-22,JAMUNABANK,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
12,2018-07-02,JAMUNABANK,Dividend Disbursement,0,0,1,dividend disbursement
13,2018-06-27,JAMUNABANK,Credit Rating Result,1,0,0,credit rating result
14,2018-06-27,JAMUNABANK,Buy confirmation of a Sponsor,1,0,0,buy confirmation of a sponsor
15,2018-06-11,JAMUNABANK,Buy declaration of a Sponsor,1,1,0,buy declaration of a sponsor
16,2018-05-22,JAMUNABANK,Resumption after record date,0,0,0,resumption after record date
17,2018-05-21,JAMUNABANK,Suspension for Record Date,0,0,0,suspension for record date
18,2018-05-17,JAMUNABANK,Spot News,0,0,0,spot news
19,2018-05-15,JAMUNABANK,Q1 Financials,1,0,0,q1 financials
20,2018-05-07,JAMUNABANK,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
21,2018-05-06,JAMUNABANK,Elected  Chairman,0,0,0,elected  chairman
22,2018-04-30,JAMUNABANK,Price Limit Open,1,0,0,price limit open
24,2018-04-30,JAMUNABANK,Dividend Declaration,1,0,0,dividend declaration
25,2018-04-17,JAMUNABANK,Reschedule of Board Meeting under LR 19(1),1,1,1,reschedule of board meeting under lr 191
26,2018-04-10,JAMUNABANK,Postponement of Board Meeting under LR 19(1),0,0,0,postponement of board meeting under lr 191
27,2018-04-01,JAMUNABANK,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
28,2018-03-29,JAMUNABANK,BSEC accorded Consent for issuing Non-Convertible Bond,1,0,0,bsec accorded consent for issuing non-convertible bond
29,2017-10-30,JAMUNABANK,Transmission confirmation of deceased Sponsor's shares to his heir,0,0,1,transmission confirmation of deceased sponsor's shares to his heir
30,2017-10-29,JAMUNABANK,Transmission of Deceased Sponsor's shares to his successor,0,0,0,transmission of deceased sponsor's shares to his successor
31,2017-10-26,JAMUNABANK,Q3 Financials,1,0,0,q3 financials
32,2017-10-22,JAMUNABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
33,2017-10-17,JAMUNABANK,Buy confirmation of a Sponsor Director,1,1,1,buy confirmation of a sponsor director
34,2017-10-08,JAMUNABANK,Buy declaration of a Sponsor Director,0,0,1,buy declaration of a sponsor director
35,2017-10-04,JAMUNABANK,Buy confirmation of a Sponsor,0,1,0,buy confirmation of a sponsor
36,2017-09-18,JAMUNABANK,Buy Declaration of a Sponsor,1,1,0,buy declaration of a sponsor
37,2017-09-04,JAMUNABANK,Issuance of Subordinated Debt,0,1,0,issuance of subordinated debt
38,2017-08-27,JAMUNABANK,Dividend Disbursement,1,1,0,dividend disbursement
39,2017-08-16,JAMUNABANK,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
40,2017-08-07,JAMUNABANK,Sale declaration of a Sponsor,1,0,1,sale declaration of a sponsor
41,2017-07-31,JAMUNABANK,Q2 Financials,1,1,1,q2 financials
42,2017-07-27,JAMUNABANK,Updating of information,0,0,0,updating of information
43,2017-07-27,JAMUNABANK,Updating of information,0,0,0,updating of information
44,2017-07-19,JAMUNABANK,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
45,2017-06-22,JAMUNABANK,Credit Rating Result (Correction),1,0,0,credit rating result correction
46,2017-06-21,JAMUNABANK,Credit Rating Result,1,1,0,credit rating result
