,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,JAMUNAOIL,Q3 Financials Additional information (Reason for Deviation in NOCFPS),0,0,0,q3 financials additional information reason for deviation in nocfps
1,2019-04-30,JAMUNAOIL,Q3 Financials,0,0,0,q3 financials
2,2019-04-23,JAMUNAOIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-03-05,JAMUNAOIL,Dividend Disbursement,1,0,0,dividend disbursement
4,2019-01-30,JAMUNAOIL,Q2 Financials,0,0,0,q2 financials
5,2019-01-24,JAMUNAOIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
6,2018-12-27,JAMUNAOIL,Resumption after record date,0,0,0,resumption after record date
7,2018-12-26,JAMUNAOIL,Suspension for Record date,1,0,0,suspension for record date
8,2018-12-23,JAMUNAOIL,Spot News,0,1,0,spot news
14,2018-12-04,JAMUNAOIL,Qualified Opinion,1,0,1,qualified opinion
15,2018-11-15,JAMUNAOIL,Q1 Financials,0,0,0,q1 financials
16,2018-11-15,JAMUNAOIL,Price Limit Open,0,0,0,price limit open
17,2018-11-15,JAMUNAOIL,Dividend Declaration,0,0,0,dividend declaration
18,2018-11-12,JAMUNAOIL,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
19,2018-11-08,JAMUNAOIL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
20,2018-04-24,JAMUNAOIL,Q3 Financials,1,0,0,q3 financials
21,2018-04-18,JAMUNAOIL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
22,2018-03-04,JAMUNAOIL,Dividend Disbursement,0,1,0,dividend disbursement
24,2018-02-01,JAMUNAOIL,Qualified Opinion,0,0,0,qualified opinion
27,2018-02-01,JAMUNAOIL,Qualified Opinion,0,0,0,qualified opinion
28,2018-01-25,JAMUNAOIL,Q2 Financials,0,0,0,q2 financials
29,2018-01-21,JAMUNAOIL,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
30,2017-12-19,JAMUNAOIL,Resumption after record date,0,0,1,resumption after record date
31,2017-12-18,JAMUNAOIL,Suspension for Record Date,0,0,0,suspension for record date
32,2017-12-14,JAMUNAOIL,Spot News,0,0,0,spot news
33,2017-11-12,JAMUNAOIL,Q1 Financials,0,1,0,q1 financials
34,2017-11-12,JAMUNAOIL,Price Limit Open,0,1,0,price limit open
35,2017-11-12,JAMUNAOIL,Dividend Declaration,0,1,0,dividend declaration
36,2017-11-05,JAMUNAOIL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
37,2017-10-31,JAMUNAOIL,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
38,2017-04-27,JAMUNAOIL,Q3 Financials,0,0,0,q3 financials
39,2017-04-23,JAMUNAOIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2017-04-03,JAMUNAOIL,Appointment of Managing Director,1,1,1,appointment of managing director
41,2017-03-08,JAMUNAOIL,Dividend Disbursement,0,0,0,dividend disbursement
42,2017-01-26,JAMUNAOIL,Q2 Financials,0,0,0,q2 financials
43,2017-01-19,JAMUNAOIL,Board Meeting,1,0,0,board meeting
44,2017-01-08,JAMUNAOIL,Qualified Opinion,0,1,1,qualified opinion
45,2016-12-15,JAMUNAOIL,Resumption after record date,0,0,0,resumption after record date
46,2016-12-14,JAMUNAOIL,Suspension for Record Date,0,0,0,suspension for record date
47,2016-12-11,JAMUNAOIL,Spot for AGM,1,1,0,spot for agm
48,2016-11-14,JAMUNAOIL,Q1 Financials,0,1,0,q1 financials
49,2016-11-14,JAMUNAOIL,Price Limit Open,0,1,0,price limit open
50,2016-11-14,JAMUNAOIL,Dividend Declaration,0,1,0,dividend declaration
51,2016-11-07,JAMUNAOIL,Board Meeting,0,1,1,board meeting
52,2016-11-06,JAMUNAOIL,Board Meeting,0,0,1,board meeting
53,2016-04-27,JAMUNAOIL,Q3 Financials,1,0,0,q3 financials
54,2016-04-25,JAMUNAOIL,Re-fixation of Margin,1,0,1,re-fixation of margin
55,2016-04-21,JAMUNAOIL,Board Meeting (Q3),0,0,0,board meeting q3
56,2016-03-31,JAMUNAOIL,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
57,2016-01-31,JAMUNAOIL,Q2 Financials,0,1,1,q2 financials
58,2016-01-24,JAMUNAOIL,Board Meeting,0,0,0,board meeting
59,2015-12-28,JAMUNAOIL, Resumption after Record date,0,0,1,resumption after record date
60,2015-12-27,JAMUNAOIL,Suspension for Record Date,0,0,0,suspension for record date
61,2015-12-23,JAMUNAOIL,Spot for AGM,0,0,0,spot for agm
62,2015-12-06,JAMUNAOIL,Update Information and Furnishing 12 digit e-TIN Number,1,0,0,update information and furnishing 12 digit e-tin number
63,2015-11-16,JAMUNAOIL,Q1,0,0,1,q1
64,2015-11-16,JAMUNAOIL,Price Limit Open,0,0,1,price limit open
65,2015-11-16,JAMUNAOIL,Dividend Declaration,0,0,1,dividend declaration
66,2015-11-09,JAMUNAOIL,Board Meeting,0,0,0,board meeting
67,2015-11-05,JAMUNAOIL,Board Meeting,0,0,0,board meeting
68,2015-04-30,JAMUNAOIL,Q3 Financials,0,0,0,q3 financials
69,2015-02-23,JAMUNAOIL,Dividend Disbursement,1,1,0,dividend disbursement
70,2015-02-05,JAMUNAOIL,Furnishing 12 digit TIN Number,1,0,0,furnishing 12 digit tin number
71,2014-12-11,JAMUNAOIL,trade resume,0,0,0,trade resume
72,2014-12-10,JAMUNAOIL,will remain suspended,0,0,0,will remain suspended
73,2014-12-08,JAMUNAOIL,Spot Market,0,0,0,spot market
74,2014-11-23,JAMUNAOIL,Qualified Opinion,0,0,0,qualified opinion
75,2014-11-20,JAMUNAOIL,Q1 Earning,1,0,0,q1 earning
76,2014-11-18,JAMUNAOIL,no price limit,0,0,1,no price limit
77,2014-11-18,JAMUNAOIL,90% cash dividend and 10% stock dividend,0,0,1,90 cash dividend and 10 stock dividend
78,2014-11-13,JAMUNAOIL,Board Meeting,0,0,0,board meeting
79,2014-04-23,JAMUNAOIL,Q3 Earnings,0,0,0,q3 earnings
80,2014-01-27,JAMUNAOIL,H/Y Earnings,0,1,1,hy earnings
81,2013-12-04,JAMUNAOIL,trade resume,0,0,0,trade resume
82,2013-12-03,JAMUNAOIL,trade suspension,1,0,0,trade suspension
83,2013-11-28,JAMUNAOIL,spot market trading,0,0,0,spot market trading
84,2013-11-24,JAMUNAOIL,Q1 Earnings,0,0,0,q1 earnings
85,2013-11-24,JAMUNAOIL,No Price limit,0,0,0,no price limit
86,2013-11-24,JAMUNAOIL,90% Cash Dividend & 10 % Stock Dividend,0,0,0,90 cash dividend  10  stock dividend
87,2013-11-19,JAMUNAOIL,Board Meeting,1,0,0,board meeting
88,2013-04-16,JAMUNAOIL,Q3 Earnings,0,1,0,q3 earnings
89,2013-01-23,JAMUNAOIL,HY Earnings 2012-13,0,1,0,hy earnings 2012-13
90,2012-12-06,JAMUNAOIL,trade will resume after record date,0,0,0,trade will resume after record date
