,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-15,JANATAINS,Price Limit Open,1,0,1,price limit open
1,2019-04-15,JANATAINS,Dividend Declaration,1,0,1,dividend declaration
2,2019-04-03,JANATAINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
3,2019-01-23,JANATAINS,Query Response,1,1,0,query response
4,2018-10-30,JANATAINS,Q3 Financials,1,0,0,q3 financials
5,2018-10-24,JANATAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2018-10-24,JANATAINS,Appointment of Managing Director and CEO,0,0,0,appointment of managing director and ceo
7,2018-10-22,JANATAINS,Credit Rating Result,0,0,0,credit rating result
8,2018-09-24,JANATAINS,Query Response,0,1,1,query response
9,2018-09-18,JANATAINS,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
10,2018-09-18,JANATAINS,Category Change,0,0,0,category change
11,2018-09-18,JANATAINS,Dividend Disbursement,0,0,0,dividend disbursement
12,2018-08-20,JANATAINS,Venue of the AGM,0,0,0,venue of the agm
13,2018-07-31,JANATAINS,Resumption after record date,0,0,0,resumption after record date
14,2018-07-30,JANATAINS,Suspension for Record Date,0,0,0,suspension for record date
15,2018-07-30,JANATAINS,Q2 Financials,0,0,0,q2 financials
16,2018-07-25,JANATAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-07-17,JANATAINS,Spot News,0,0,0,spot news
18,2018-07-09,JANATAINS,Q1 Financials,0,0,0,q1 financials
19,2018-07-09,JANATAINS,Price Limit Open,0,0,0,price limit open
20,2018-07-09,JANATAINS,Dividend Declaration,0,0,0,dividend declaration
21,2018-07-05,JANATAINS,Reschedule of Board Meeting under LR 19(1),0,0,0,reschedule of board meeting under lr 191
22,2018-07-05,JANATAINS,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
23,2018-07-02,JANATAINS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
24,2018-07-02,JANATAINS,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
25,2018-04-30,JANATAINS,Deferral of board decision for adopting audited accounts for 2017,0,0,0,deferral of board decision for adopting audited accounts for 2017
26,2018-04-19,JANATAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2018-04-19,JANATAINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
28,2017-10-29,JANATAINS,Q3 Financials,0,0,0,q3 financials
29,2017-10-25,JANATAINS,Credit Rating Result,0,1,0,credit rating result
30,2017-10-22,JANATAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-07-31,JANATAINS,Q2 Financials,1,1,0,q2 financials
32,2017-07-25,JANATAINS,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
33,2017-06-11,JANATAINS,Buy declaration of a Director,1,1,1,buy declaration of a director
34,2017-06-01,JANATAINS,Time and Venue of the AGM,1,0,0,time and venue of the agm
35,2017-05-25,JANATAINS,Resumption after Record Date,0,0,0,resumption after record date
36,2017-05-24,JANATAINS,Suspension for Record Date,1,0,0,suspension for record date
37,2017-05-24,JANATAINS,Buy declaration of the Directors,1,0,0,buy declaration of the directors
38,2017-05-14,JANATAINS,Q1 Financials,0,0,1,q1 financials
39,2017-05-11,JANATAINS,Spot News,0,0,0,spot news
40,2017-05-04,JANATAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-05-02,JANATAINS,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
42,2017-05-02,JANATAINS,Category Change,0,1,0,category change
43,2017-05-02,JANATAINS,Price Limit Open,0,1,0,price limit open
