,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,JMISMDL,Q3 Financials,1,0,0,q3 financials
1,2019-04-21,JMISMDL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-02-17,JMISMDL,"Resolved to issue 1,11,00,000 shares to NIPRO in the EGM",0,1,1,"resolved to issue 1,11,00,000 shares to nipro in the egm"
4,2019-02-10,JMISMDL,Credit Rating Result,1,0,0,credit rating result
5,2019-01-31,JMISMDL,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
6,2019-01-27,JMISMDL,Q2 Financials,0,1,0,q2 financials
7,2019-01-23,JMISMDL,Resumption after record date,0,0,0,resumption after record date
8,2019-01-22,JMISMDL,Suspension for Record date,1,0,0,suspension for record date
9,2019-01-20,JMISMDL,Spot News EGM,0,0,1,spot news egm
10,2019-01-20,JMISMDL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
12,2019-01-03,JMISMDL,"Raising paid up capital by issuing 1,11,00,000 shares by NIPRO",1,0,0,"raising paid up capital by issuing 1,11,00,000 shares by nipro"
13,2018-12-17,JMISMDL,Query Response,0,0,1,query response
14,2018-12-06,JMISMDL,Change of AGM Date,0,0,0,change of agm date
15,2018-11-20,JMISMDL,Resumption after record date,0,0,0,resumption after record date
16,2018-11-19,JMISMDL,Suspension for Record date,0,0,0,suspension for record date
17,2018-11-15,JMISMDL,Spot News,1,0,0,spot news
18,2018-11-11,JMISMDL,Q1 Financials,0,1,1,q1 financials
19,2018-11-05,JMISMDL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
20,2018-10-31,JMISMDL,Price Limit Open,0,1,0,price limit open
21,2018-10-31,JMISMDL,Dividend Declaration,0,1,0,dividend declaration
22,2018-10-22,JMISMDL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
23,2018-06-19,JMISMDL,Query Response,0,1,1,query response
24,2018-04-30,JMISMDL,Q3 Financials,0,0,0,q3 financials
25,2018-04-23,JMISMDL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
26,2018-01-28,JMISMDL,Q2 Financials,0,1,0,q2 financials
27,2018-01-23,JMISMDL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2017-11-19,JMISMDL,Credit Rating Result,0,0,0,credit rating result
29,2017-11-09,JMISMDL,Resumption after record date,0,0,0,resumption after record date
30,2017-11-08,JMISMDL,Suspension for Record Date,1,0,0,suspension for record date
31,2017-11-06,JMISMDL,Spot News,0,1,1,spot news
32,2017-11-05,JMISMDL,Q1 Financials,0,0,1,q1 financials
33,2017-10-31,JMISMDL,Resumption after Record Date,0,1,0,resumption after record date
34,2017-10-30,JMISMDL,Suspension for Record Date,0,0,1,suspension for record date
35,2017-10-29,JMISMDL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
36,2017-10-26,JMISMDL,Spot News,1,0,0,spot news
38,2017-10-22,JMISMDL,Hold an EGM to insert a clause in MOA,0,0,1,hold an egm to insert a clause in moa
39,2017-10-11,JMISMDL,Updating information,0,1,0,updating information
40,2017-10-11,JMISMDL,Board meeting for Extra Ordinary Resolution,0,1,0,board meeting for extra ordinary resolution
41,2017-10-11,JMISMDL,Price Limit Open,0,1,0,price limit open
42,2017-10-11,JMISMDL,Dividend Declaration,0,1,0,dividend declaration
43,2017-10-02,JMISMDL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
44,2017-08-20,JMISMDL,Query Response,0,1,0,query response
45,2017-04-30,JMISMDL,Q3 Financials,1,0,0,q3 financials
46,2017-04-24,JMISMDL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
47,2017-01-31,JMISMDL,Q2 Financials,0,1,0,q2 financials
48,2016-11-13,JMISMDL,Resumption after record,0,0,1,resumption after record
49,2016-11-10,JMISMDL,Suspension for record date,1,0,0,suspension for record date
50,2016-11-08,JMISMDL,Spot for AGM,0,0,1,spot for agm
51,2016-10-31,JMISMDL,Q1 Financials,0,0,1,q1 financials
52,2016-10-25,JMISMDL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
53,2016-10-23,JMISMDL,Price Limit Open,1,1,1,price limit open
54,2016-10-23,JMISMDL,Dividend Declaration,1,1,1,dividend declaration
55,2016-10-16,JMISMDL,Board Meeting,1,0,0,board meeting
56,2016-06-12,JMISMDL,Resumption after record date,0,0,1,resumption after record date
57,2016-06-09,JMISMDL,Suspension news for record date,1,0,0,suspension news for record date
58,2016-06-07,JMISMDL,Spot News for AGM,1,1,1,spot news for agm
59,2016-05-22,JMISMDL,Postponement of AGM,1,0,0,postponement of agm
60,2016-05-15,JMISMDL,Unaudited Financial Information,0,1,1,unaudited financial information
61,2016-05-09,JMISMDL,Board Meeting,1,0,1,board meeting
62,2016-05-02,JMISMDL,Price Limit Open,0,1,0,price limit open
63,2016-05-02,JMISMDL,Dividend Declaration,0,1,0,dividend declaration
64,2016-04-21,JMISMDL,Board Meeting,0,0,0,board meeting
65,2015-12-17,JMISMDL,Credit Rating,1,0,0,credit rating
66,2015-12-09,JMISMDL,Revaluation of Fixed Assets,0,0,0,revaluation of fixed assets
67,2015-11-15,JMISMDL,Completion of Sale by a Sponsor,0,1,0,completion of sale by a sponsor
68,2015-11-01,JMISMDL,Q3,1,1,0,q3
69,2015-10-28,JMISMDL,Confirmation of Sale by a Sponsor/Director,0,0,0,confirmation of sale by a sponsordirector
70,2015-10-28,JMISMDL,Confirmation of sale By a Sponsor,0,0,0,confirmation of sale by a sponsor
71,2015-10-14,JMISMDL,Declaration of Sale by a Sponsor,0,0,0,declaration of sale by a sponsor
72,2015-10-14,JMISMDL,Declaration of Sale by a Sponsor/Director,0,0,0,declaration of sale by a sponsordirector
73,2015-10-08,JMISMDL,Declaration of sale,0,0,0,declaration of sale
74,2015-07-30,JMISMDL,Q2 Financials,1,0,0,q2 financials
75,2015-05-20,JMISMDL,Resumption News after Record Date,0,1,0,resumption news after record date
76,2015-05-19,JMISMDL,Suspension News for Record Date,1,0,1,suspension news for record date
77,2015-05-17,JMISMDL,Spot News for AGM,0,0,1,spot news for agm
78,2015-05-04,JMISMDL,Q1 Financials,0,1,1,q1 financials
79,2015-04-30,JMISMDL,no price limit today,0,0,0,no price limit today
80,2015-04-30,JMISMDL,Dividend,0,0,0,dividend
81,2015-04-22,JMISMDL,Board Meeting,1,1,0,board meeting
82,2014-11-18,JMISMDL,DSE query,1,0,0,dse query
83,2014-11-12,JMISMDL,right offer decline.,0,0,0,right offer decline.
84,2014-11-02,JMISMDL,Sponsors Buy/Sell/Transfer,0,1,0,sponsors buyselltransfer
85,2014-10-30,JMISMDL,Q3 Earnings,1,0,0,q3 earnings
86,2014-09-25,JMISMDL,credit rating,0,0,0,credit rating
87,2014-09-16,JMISMDL,Sponsors sell,0,0,0,sponsors sell
88,2014-09-07,JMISMDL,EGM,1,0,1,egm
89,2014-08-05,JMISMDL,Sponsor Share Buy or Sell,1,1,1,sponsor share buy or sell
90,2014-08-04,JMISMDL,EGM,0,1,1,egm
91,2014-07-23,JMISMDL,H/Y Earnings,1,1,0,hy earnings
92,2014-07-22,JMISMDL,trade resume,0,1,1,trade resume
93,2014-07-21,JMISMDL,trade suspension for EGM record date,0,0,1,trade suspension for egm record date
94,2014-07-17,JMISMDL,Spot Market Transaction,0,0,0,spot market transaction
95,2014-07-13,JMISMDL,companies information,0,1,0,companies information
96,2014-07-02,JMISMDL,no price limit,0,0,0,no price limit
97,2014-07-02,JMISMDL,Right offer @ 2R:1,0,0,0,right offer  2r:1
98,2014-06-22,JMISMDL,Sponsor/Director Share sale,0,1,1,sponsordirector share sale
99,2014-05-22,JMISMDL,trade resume,0,0,0,trade resume
