,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,JUTESPINN,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,JUTESPINN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-01-27,JUTESPINN,Q2 Financials,1,0,1,q2 financials
3,2019-01-23,JUTESPINN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2018-12-11,JUTESPINN,Query Response,0,0,0,query response
5,2018-12-06,JUTESPINN,Resumption after record date,0,0,0,resumption after record date
6,2018-12-05,JUTESPINN,Suspension for Record date,0,0,0,suspension for record date
7,2018-12-04,JUTESPINN,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
16,2018-12-04,JUTESPINN,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
17,2018-11-29,JUTESPINN,Query Response,0,0,0,query response
18,2018-11-27,JUTESPINN,Q1 Financials (Repeat News),0,0,0,q1 financials repeat news
19,2018-11-22,JUTESPINN,Spot News,0,0,0,spot news
20,2018-11-18,JUTESPINN,Q1 Financials,0,0,0,q1 financials
21,2018-11-15,JUTESPINN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
22,2018-11-13,JUTESPINN,Price Limit Open,1,0,1,price limit open
23,2018-11-13,JUTESPINN,Dividend Declaration,1,0,1,dividend declaration
24,2018-11-06,JUTESPINN,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
25,2018-10-07,JUTESPINN,Query Response (Repeat News),1,0,1,query response repeat news
26,2018-10-04,JUTESPINN,Query Response,1,0,0,query response
27,2018-08-30,JUTESPINN,Query Response,0,0,0,query response
28,2018-08-06,JUTESPINN,Message for the investors on their Share Price Hike,0,0,1,message for the investors on their share price hike
29,2018-07-19,JUTESPINN,Revised information on the operational status of mill of the Company,0,0,0,revised information on the operational status of mill of the company
30,2018-07-03,JUTESPINN,Query Response,0,0,0,query response
31,2018-04-30,JUTESPINN,Q3 Financials,0,0,0,q3 financials
32,2018-04-24,JUTESPINN,Query Response,0,1,1,query response
33,2018-04-23,JUTESPINN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
34,2018-01-30,JUTESPINN,Q2 Financials,1,0,1,q2 financials
35,2018-01-25,JUTESPINN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
36,2018-01-14,JUTESPINN,Query Response,1,0,1,query response
