,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,KARNAPHULI,Price Limit Open,1,0,0,price limit open
1,2019-04-28,KARNAPHULI,Dividend Declaration,1,0,0,dividend declaration
2,2019-04-17,KARNAPHULI,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
3,2019-01-17,KARNAPHULI,Query Response,1,0,0,query response
4,2018-10-31,KARNAPHULI,Q3 Financials,0,1,0,q3 financials
5,2018-10-24,KARNAPHULI,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
6,2018-10-22,KARNAPHULI,Buy Confirmation of a Corporate Director,1,1,1,buy confirmation of a corporate director
7,2018-10-14,KARNAPHULI,Buy confirmation of a Director,0,0,1,buy confirmation of a director
8,2018-10-04,KARNAPHULI,Buy declaration of a Corporate Director,0,0,0,buy declaration of a corporate director
9,2018-10-04,KARNAPHULI,Buy declaration of a Director,0,0,0,buy declaration of a director
10,2018-08-28,KARNAPHULI,Credit Rating Result,1,0,1,credit rating result
11,2018-08-02,KARNAPHULI,Dividend Disbursement,1,0,0,dividend disbursement
12,2018-07-31,KARNAPHULI,Q2 Financials,1,1,1,q2 financials
13,2018-07-24,KARNAPHULI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
14,2018-05-20,KARNAPHULI,Resumption after record date,0,1,0,resumption after record date
15,2018-05-17,KARNAPHULI,Suspension for Record Date,0,0,0,suspension for record date
16,2018-05-15,KARNAPHULI,Spot News,0,0,0,spot news
17,2018-05-15,KARNAPHULI,Q1 Financials,0,0,0,q1 financials
18,2018-05-07,KARNAPHULI,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
19,2018-04-18,KARNAPHULI,Price Limit Open,1,0,0,price limit open
20,2018-04-18,KARNAPHULI,Dividend Declaration,1,0,0,dividend declaration
21,2018-04-09,KARNAPHULI,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
22,2017-11-02,KARNAPHULI,Buy confirmation of a Corporate Director,0,0,0,buy confirmation of a corporate director
23,2017-10-26,KARNAPHULI,Buy confirmation of a Director,0,0,0,buy confirmation of a director
24,2017-10-25,KARNAPHULI,Q3 Financials,1,0,0,q3 financials
25,2017-10-18,KARNAPHULI,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
26,2017-10-04,KARNAPHULI,Buy Confirmation of a Corporate Director,1,1,0,buy confirmation of a corporate director
27,2017-09-25,KARNAPHULI,Buy declaration of a Corporate Director,0,1,1,buy declaration of a corporate director
28,2017-09-25,KARNAPHULI,Buy declaration of a Director,0,1,1,buy declaration of a director
29,2017-09-13,KARNAPHULI,Buy Declaration of a Corporate Director,1,0,0,buy declaration of a corporate director
30,2017-09-05,KARNAPHULI,Buy confirmation of a Corporate Director,0,1,0,buy confirmation of a corporate director
31,2017-08-27,KARNAPHULI,Credit Rating Result,0,0,0,credit rating result
32,2017-08-24,KARNAPHULI,Buy Declaration of a Corporate Director,1,0,0,buy declaration of a corporate director
33,2017-07-30,KARNAPHULI,Q2 Financials,1,1,1,q2 financials
34,2017-07-23,KARNAPHULI,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
35,2017-07-17,KARNAPHULI,Dividend Disbursement,0,0,0,dividend disbursement
36,2017-05-24,KARNAPHULI,Resumption after Record Date,0,0,0,resumption after record date
37,2017-05-23,KARNAPHULI,Suspension for Record Date,0,0,0,suspension for record date
38,2017-05-21,KARNAPHULI,Spot News,0,0,0,spot news
39,2017-05-15,KARNAPHULI,Q1 Financials,0,0,0,q1 financials
40,2017-05-07,KARNAPHULI,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
41,2017-04-27,KARNAPHULI,Price Limit Open,0,0,0,price limit open
42,2017-04-27,KARNAPHULI,Dividend Declaration,0,0,0,dividend declaration
43,2017-04-16,KARNAPHULI,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
44,2016-12-18,KARNAPHULI,Assumed the office of CEO,0,0,0,assumed the office of ceo
45,2016-10-30,KARNAPHULI,Q3 Financials,1,0,1,q3 financials
46,2016-10-24,KARNAPHULI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
47,2016-07-31,KARNAPHULI,Q2 Financials,0,0,0,q2 financials
48,2016-07-26,KARNAPHULI,Board Meeting,0,0,1,board meeting
49,2016-07-25,KARNAPHULI,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
50,2016-05-22,KARNAPHULI,Resumption after Record date,0,0,1,resumption after record date
51,2016-05-17,KARNAPHULI,Spot News,1,1,1,spot news
52,2016-05-15,KARNAPHULI,Q1 Financials,1,0,1,q1 financials
53,2016-05-09,KARNAPHULI,Board Meeting,1,1,0,board meeting
54,2016-05-02,KARNAPHULI,Price Limit Open,1,1,0,price limit open
55,2016-05-02,KARNAPHULI,Dividend Declaration,1,1,0,dividend declaration
56,2016-04-21,KARNAPHULI,Board Meeting,1,0,0,board meeting
57,2015-11-01,KARNAPHULI,Q3,0,1,0,q3
58,2015-10-21,KARNAPHULI,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
59,2015-09-22,KARNAPHULI,Credit Rating Result,1,0,0,credit rating result
60,2015-07-29,KARNAPHULI,Q2 Financials,1,0,0,q2 financials
