,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,KBPPWBIL,Sale & Buy Confirmations of Sponsors Directors,0,0,0,sale  buy confirmations of sponsors directors
1,2019-04-29,KBPPWBIL,Q3 Financials,0,0,0,q3 financials
2,2019-04-28,KBPPWBIL,Buy Confirmation of a Sponsor Director,1,0,0,buy confirmation of a sponsor director
3,2019-04-24,KBPPWBIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-04-23,KBPPWBIL,Sale & Buy Declarations of Sponsors Directors,0,1,0,sale  buy declarations of sponsors directors
6,2019-01-30,KBPPWBIL,Q2 Financials,0,0,0,q2 financials
7,2019-01-23,KBPPWBIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2019-01-20,KBPPWBIL,Dividend Disbursement,0,1,1,dividend disbursement
9,2018-12-20,KBPPWBIL,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
10,2018-12-20,KBPPWBIL,Category Change,1,0,0,category change
13,2018-12-03,KBPPWBIL,Qualified Opinion,0,1,0,qualified opinion
14,2018-11-19,KBPPWBIL,Resumption after record date,0,0,0,resumption after record date
15,2018-11-18,KBPPWBIL,Suspension for Record date,1,0,0,suspension for record date
16,2018-11-14,KBPPWBIL,Spot News EGM & AGM,0,0,0,spot news egm  agm
17,2018-11-14,KBPPWBIL,Q1 Financials,0,0,0,q1 financials
18,2018-11-08,KBPPWBIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-10-29,KBPPWBIL,Price Limit Open,0,0,0,price limit open
21,2018-10-29,KBPPWBIL,Dividend Declaration & increase of Authorized Capital,0,0,0,dividend declaration  increase of authorized capital
22,2018-10-17,KBPPWBIL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
24,2018-05-07,KBPPWBIL,Pending decision to increase authorized capital,0,0,1,pending decision to increase authorized capital
25,2018-04-26,KBPPWBIL,Q3 Financials,0,0,0,q3 financials
26,2018-04-23,KBPPWBIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2018-01-29,KBPPWBIL,Q2 Financials,0,1,0,q2 financials
28,2018-01-24,KBPPWBIL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
29,2018-01-14,KBPPWBIL,Stock Dividend Disbursement,0,0,1,stock dividend disbursement
30,2018-01-07,KBPPWBIL,Increase of Authorized Capital in the AGM,0,1,0,increase of authorized capital in the agm
31,2017-11-19,KBPPWBIL,Resumption after record date,0,0,1,resumption after record date
32,2017-11-16,KBPPWBIL,Suspension for Record Date,1,0,0,suspension for record date
33,2017-11-15,KBPPWBIL,Q1 Financials,0,1,0,q1 financials
34,2017-11-14,KBPPWBIL,Spot News,1,0,1,spot news
35,2017-11-08,KBPPWBIL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
36,2017-10-30,KBPPWBIL,Price Limit Open,1,1,1,price limit open
37,2017-10-30,KBPPWBIL,Dividend Declaration,1,1,1,dividend declaration
38,2017-10-18,KBPPWBIL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
39,2017-04-30,KBPPWBIL,Q3 Financials,1,0,0,q3 financials
40,2017-04-24,KBPPWBIL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-01-29,KBPPWBIL,Q2 Financials,0,0,1,q2 financials
42,2017-01-18,KBPPWBIL,Dividend Disbursement,0,1,0,dividend disbursement
43,2016-12-21,KBPPWBIL,Confirmation of sale,0,1,0,confirmation of sale
44,2016-11-23,KBPPWBIL,Declaration of sale by a Corporate Directors (Nominated),0,1,0,declaration of sale by a corporate directors nominated
45,2016-11-20,KBPPWBIL,Resumption after record date,1,1,0,resumption after record date
46,2016-11-17,KBPPWBIL,Suspension for record date,0,0,0,suspension for record date
47,2016-11-15,KBPPWBIL,Spot for AGM,0,0,0,spot for agm
48,2016-11-13,KBPPWBIL,Q1 Financials,1,0,0,q1 financials
49,2016-11-08,KBPPWBIL,Board Meeting schedule,0,0,0,board meeting schedule
50,2016-10-30,KBPPWBIL,Price Limit Open,0,0,0,price limit open
51,2016-10-30,KBPPWBIL,Dividend Declaration,0,0,0,dividend declaration
52,2016-10-16,KBPPWBIL,Board Meeting,0,0,0,board meeting
53,2016-05-26,KBPPWBIL,Query Response,1,0,0,query response
54,2016-04-28,KBPPWBIL,Q3 Financials,0,0,0,q3 financials
55,2016-04-25,KBPPWBIL,Board Meeting,0,0,0,board meeting
56,2016-01-27,KBPPWBIL,Q2 Financials,0,1,0,q2 financials
57,2016-01-24,KBPPWBIL,Board Meeting,0,0,0,board meeting
58,2016-01-13,KBPPWBIL,Dividend Disbursement,1,0,0,dividend disbursement
59,2016-01-04,KBPPWBIL,Credit Rating Result,0,1,0,credit rating result
60,2015-11-23,KBPPWBIL,Resumption News after Record date,0,0,0,resumption news after record date
61,2015-11-22,KBPPWBIL,Suspension News for Record Date,1,0,0,suspension news for record date
62,2015-11-18,KBPPWBIL,Spot News for AGM,0,1,0,spot news for agm
63,2015-11-15,KBPPWBIL," Date, Time and Venue of the AGM",1,1,1,"date, time and venue of the agm"
64,2015-11-15,KBPPWBIL,Q1,1,1,1,q1
65,2015-11-09,KBPPWBIL,Board Meeting,0,0,0,board meeting
66,2015-10-26,KBPPWBIL,Price Limit Open,0,1,0,price limit open
67,2015-10-26,KBPPWBIL,Dividend Declaration,0,1,0,dividend declaration
68,2015-10-08,KBPPWBIL,Board Meeting schedule,0,0,0,board meeting schedule
69,2015-07-13,KBPPWBIL,Query Response,0,0,0,query response
70,2015-05-21,KBPPWBIL,Query Response,0,0,0,query response
71,2015-05-04,KBPPWBIL,Q3,0,1,1,q3
72,2015-04-01,KBPPWBIL,Address Change,0,0,0,address change
73,2015-02-04,KBPPWBIL,Half Yearly Financials,0,1,0,half yearly financials
74,2015-01-08,KBPPWBIL,Category Change,0,0,0,category change
75,2015-01-08,KBPPWBIL,category change,0,0,0,category change
76,2015-01-08,KBPPWBIL,credited the bonus shares,0,0,0,credited the bonus shares
77,2014-12-08,KBPPWBIL,will resume,0,0,0,will resume
78,2014-12-07,KBPPWBIL,will remain suspended,0,0,0,will remain suspended
79,2014-12-03,KBPPWBIL,Spot Market Transaction,1,0,0,spot market transaction
80,2014-11-18,KBPPWBIL,Q1 Earning,1,0,1,q1 earning
81,2014-11-18,KBPPWBIL,Audited Financial Statement,1,0,1,audited financial statement
82,2014-11-18,KBPPWBIL,10% stock dividend,1,0,1,10 stock dividend
83,2014-11-18,KBPPWBIL,Trading of the shares will commence today,1,0,1,trading of the shares will commence today
