,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-21,KDSALTD,Q3 Financials,1,0,0,q3 financials
1,2019-04-15,KDSALTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-01-27,KDSALTD,Q2 Financials,1,0,1,q2 financials
3,2019-01-20,KDSALTD,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
4,2018-11-29,KDSALTD,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-11-13,KDSALTD,Q1 Financials,0,1,0,q1 financials
6,2018-11-05,KDSALTD,Sale confirmation of a Sponsor Director,0,0,1,sale confirmation of a sponsor director
7,2018-11-05,KDSALTD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
8,2018-10-14,KDSALTD,Confirmation of share transfer by a Sponsor,0,0,0,confirmation of share transfer by a sponsor
9,2018-10-09,KDSALTD,Declaration of share transfer of a Sponsor,1,0,0,declaration of share transfer of a sponsor
10,2018-10-01,KDSALTD,Credit Rating Result,0,0,0,credit rating result
11,2018-09-23,KDSALTD,Sale Declaration of a Sponsor Director,0,0,1,sale declaration of a sponsor director
12,2018-09-20,KDSALTD,Confirmation of share receipt by a Sponsor,0,0,0,confirmation of share receipt by a sponsor
13,2018-09-18,KDSALTD,Resumption after Record Date,0,1,0,resumption after record date
14,2018-09-17,KDSALTD,Suspension for Record Date,0,0,1,suspension for record date
15,2018-09-13,KDSALTD,Declaration of share receipt by a Sponsor,0,0,0,declaration of share receipt by a sponsor
16,2018-09-13,KDSALTD,Spot News,0,0,0,spot news
17,2018-08-26,KDSALTD,Price Limit Open,0,1,0,price limit open
18,2018-08-26,KDSALTD,Dividend Declaration,0,1,0,dividend declaration
19,2018-08-13,KDSALTD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
20,2018-07-15,KDSALTD,Query Response,1,1,0,query response
21,2018-04-30,KDSALTD,Q3 Financials,1,0,0,q3 financials
22,2018-04-23,KDSALTD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
23,2018-01-31,KDSALTD,Q2 Financials,0,0,0,q2 financials
24,2018-01-24,KDSALTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-12-04,KDSALTD,Dividend Disbursement,0,0,0,dividend disbursement
26,2017-11-15,KDSALTD,Q1 Financials,0,0,0,q1 financials
27,2017-11-09,KDSALTD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
28,2017-10-11,KDSALTD,Resumption after Record Date,0,1,0,resumption after record date
29,2017-10-10,KDSALTD,Suspension for Record Date,0,0,1,suspension for record date
30,2017-10-08,KDSALTD,Spot News,0,1,0,spot news
31,2017-10-03,KDSALTD,Credit Rating Result,1,0,1,credit rating result
32,2017-09-19,KDSALTD,Price Limit Open,0,1,0,price limit open
33,2017-09-19,KDSALTD,Dividend Declaration,0,1,0,dividend declaration
34,2017-09-12,KDSALTD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
36,2017-08-13,KDSALTD,Commencement of expansion of Button and addition of Hanger project,1,0,0,commencement of expansion of button and addition of hanger project
37,2017-04-30,KDSALTD,Q3 Financials,0,0,0,q3 financials
38,2017-04-20,KDSALTD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2017-01-30,KDSALTD,Q2 Financials,0,0,1,q2 financials
40,2017-01-23,KDSALTD,Postponement of Board Meeting schedule under LR 16(1),0,0,0,postponement of board meeting schedule under lr 161
41,2017-01-17,KDSALTD,Board Meeting,1,1,1,board meeting
