,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,KOHINOOR,Q3 Financials,0,0,0,q3 financials
1,2019-04-25,KOHINOOR,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-02-10,KOHINOOR,Confirmation of share transfer by a Director,1,0,1,confirmation of share transfer by a director
3,2019-01-31,KOHINOOR,Q2 Financials,0,0,0,q2 financials
4,2019-01-31,KOHINOOR,Declaration of share transfer by a Director,0,0,0,declaration of share transfer by a director
5,2019-01-27,KOHINOOR,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
6,2019-01-20,KOHINOOR,Dividend Disbursement,0,0,0,dividend disbursement
7,2018-11-22,KOHINOOR,Resumption after record date,0,0,0,resumption after record date
8,2018-11-20,KOHINOOR,Suspension for Record date,0,0,0,suspension for record date
9,2018-11-18,KOHINOOR,Spot News,1,0,0,spot news
10,2018-11-15,KOHINOOR,Q1 Financials,0,0,0,q1 financials
11,2018-11-11,KOHINOOR,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
12,2018-11-01,KOHINOOR,Price Limit Open,0,0,0,price limit open
13,2018-11-01,KOHINOOR,Dividend Declaration,0,0,0,dividend declaration
14,2018-10-24,KOHINOOR,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
15,2018-06-18,KOHINOOR,Query Response,1,0,0,query response
16,2018-06-04,KOHINOOR,Credit Rating Result,1,1,1,credit rating result
17,2018-04-30,KOHINOOR,Q3 Financials,0,0,0,q3 financials
18,2018-04-23,KOHINOOR,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
19,2018-01-28,KOHINOOR,Q2 Financials,0,1,1,q2 financials
20,2018-01-23,KOHINOOR,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
21,2018-01-17,KOHINOOR,Dividend Disbursement,0,1,0,dividend disbursement
22,2017-11-23,KOHINOOR,Resumption after record date,0,0,0,resumption after record date
23,2017-11-22,KOHINOOR,Suspension for Record Date,1,0,0,suspension for record date
24,2017-11-20,KOHINOOR,Spot News,1,0,1,spot news
25,2017-11-14,KOHINOOR,Q1 Financials,1,1,0,q1 financials
26,2017-11-08,KOHINOOR,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
27,2017-11-05,KOHINOOR,Price limit open,0,0,1,price limit open
28,2017-11-05,KOHINOOR,Dividend Declaration,0,0,1,dividend declaration
29,2017-10-29,KOHINOOR,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
30,2017-05-02,KOHINOOR,Q3 Financials,0,0,1,q3 financials
31,2017-04-24,KOHINOOR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
32,2017-03-28,KOHINOOR,Credit Rating Result,1,1,0,credit rating result
33,2017-01-31,KOHINOOR,Q2 Financials,0,0,1,q2 financials
34,2016-11-30,KOHINOOR,Resumption after record date,0,0,0,resumption after record date
35,2016-11-29,KOHINOOR,Suspension for record date,1,0,0,suspension for record date
36,2016-11-27,KOHINOOR,Spot for AGM,1,1,1,spot for agm
37,2016-11-14,KOHINOOR,Q1 Financials,0,1,0,q1 financials
38,2016-11-09,KOHINOOR,Price limit open,1,1,0,price limit open
39,2016-11-09,KOHINOOR,Dividend Declaration,1,1,0,dividend declaration
40,2016-11-07,KOHINOOR,Board Meeting,1,0,1,board meeting
41,2016-10-31,KOHINOOR,Board Meeting,1,1,0,board meeting
42,2016-04-24,KOHINOOR,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
43,2016-01-31,KOHINOOR,Q2 Financials,0,1,1,q2 financials
44,2016-01-26,KOHINOOR,Board Meeting,0,1,0,board meeting
45,2016-01-21,KOHINOOR, Dividend Disbursement,0,0,0,dividend disbursement
46,2015-11-19,KOHINOOR,Resumption News after Record date,0,0,0,resumption news after record date
47,2015-11-18,KOHINOOR,Suspension News for Record Date,0,0,0,suspension news for record date
48,2015-11-16,KOHINOOR,Spot News,0,1,0,spot news
49,2015-11-12,KOHINOOR,Q1 Financials,1,0,0,q1 financials
50,2015-11-09,KOHINOOR,Board Meeting,0,0,1,board meeting
51,2015-11-01,KOHINOOR,Price Limit Open,1,1,0,price limit open
52,2015-11-01,KOHINOOR,Dividend Declaration,1,1,0,dividend declaration
53,2015-10-25,KOHINOOR,Board Meeting,1,1,0,board meeting
54,2015-09-03,KOHINOOR,Credit Rating Result,1,0,0,credit rating result
55,2015-09-01,KOHINOOR,Credit Rating Result,1,0,1,credit rating result
56,2015-08-12,KOHINOOR,Query Response,0,0,0,query response
57,2015-04-30,KOHINOOR,Q3 Financials,0,0,0,q3 financials
58,2015-01-29,KOHINOOR,H/Y,1,0,0,hy
59,2014-11-25,KOHINOOR,trade resume,0,0,1,trade resume
60,2014-11-24,KOHINOOR,trade suspension,1,0,0,trade suspension
61,2014-11-20,KOHINOOR,Spot Market and Block/Odd lot transactions,0,0,0,spot market and blockodd lot transactions
62,2014-11-16,KOHINOOR,Q1,1,0,0,q1
63,2014-11-16,KOHINOOR,no price limit,1,0,0,no price limit
64,2014-11-16,KOHINOOR,25% stock dividend,1,0,0,25 stock dividend
65,2014-11-09,KOHINOOR,Board Meeting,1,0,0,board meeting
66,2014-04-28,KOHINOOR,Q3 Earning,0,0,0,q3 earning
67,2014-04-03,KOHINOOR,Credit Rating,0,0,0,credit rating
68,2014-01-30,KOHINOOR,H/Y Earnings,1,0,0,hy earnings
69,2013-11-25,KOHINOOR,Trade Resume After Record Date,0,1,0,trade resume after record date
70,2013-11-24,KOHINOOR,Trade Suspension on Record Date,0,0,1,trade suspension on record date
71,2013-11-19,KOHINOOR,trade Suspension on Record Date,0,0,1,trade suspension on record date
72,2013-11-17,KOHINOOR,Q1 Earnings,1,0,0,q1 earnings
73,2013-11-14,KOHINOOR,25% Stock Dividend,1,0,0,25 stock dividend
74,2013-11-07,KOHINOOR,board meeting,1,0,0,board meeting
75,2013-04-28,KOHINOOR,Q3 earnings,0,1,1,q3 earnings
76,2013-03-07,KOHINOOR,Sponsor/Director share transfer,0,0,0,sponsordirector share transfer
77,2013-03-07,KOHINOOR,Sponsor/Director share transfer,0,0,0,sponsordirector share transfer
78,2013-02-26,KOHINOOR,director share transfer announcement,0,0,0,director share transfer announcement
79,2013-02-26,KOHINOOR,director share transfer announcement,0,0,0,director share transfer announcement
80,2013-01-29,KOHINOOR,H/Y Earnings 2012-13,0,0,0,hy earnings 2012-13
81,2012-11-05,KOHINOOR,Record date,0,0,0,record date
82,2012-10-23,KOHINOOR,Q1 Earnings 2012,1,0,0,q1 earnings 2012
83,2012-10-21,KOHINOOR,corporate declaration,1,1,1,corporate declaration
84,2012-04-29,KOHINOOR,- As per un-audited quarterly accounts...,0,0,0,as per un-audited quarterly accounts
85,2012-04-05,KOHINOOR,- Mr. Md. Rezaul Karim...,0,0,0,mr. md. rezaul karim
86,2012-01-26,KOHINOOR,-As per un-audited...,0,0,0,-as per un-audited
87,2011-11-23,KOHINOOR,- Normal trading...,0,0,0,normal trading
88,2011-11-22,KOHINOOR,- Trading of the shares,0,0,0,trading of the shares
89,2011-11-17,KOHINOOR,- Trading of the shares...,0,0,0,trading of the shares
90,2011-11-14,KOHINOOR,- As per un-audited...,0,0,0,as per un-audited
