,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,KPCL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-01-31,KPCL,Q2 Financials,1,0,0,q2 financials
2,2019-01-24,KPCL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-01-09,KPCL,Dividend Disbursement,0,1,0,dividend disbursement
6,2018-11-28,KPCL,Qualified Opinion,0,0,0,qualified opinion
7,2018-11-28,KPCL,Restriction by BSEC on sale/transfer/transmission/pledge of shares,0,0,0,restriction by bsec on saletransfertransmissionpledge of shares
11,2018-11-27,KPCL,Response to a DSE query,1,0,0,response to a dse query
12,2018-11-22,KPCL,Resumption after record date,0,0,0,resumption after record date
13,2018-11-20,KPCL,Suspension for Record date,0,0,0,suspension for record date
14,2018-11-18,KPCL,Spot News,0,0,0,spot news
15,2018-11-15,KPCL,Q1 Financials,1,0,0,q1 financials
16,2018-11-11,KPCL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-11-11,KPCL,Withdrawal of Suspension of trading of shares of KPCL,0,0,0,withdrawal of suspension of trading of shares of kpcl
18,2018-11-07,KPCL,Suspension of trading of shares of KPCL,0,0,0,suspension of trading of shares of kpcl
19,2018-11-04,KPCL,Sale Declaration of a Corporate Sponsor Director,0,0,1,sale declaration of a corporate sponsor director
20,2018-10-31,KPCL,Price Limit Open,0,0,0,price limit open
21,2018-10-31,KPCL,Dividend Declaration,0,0,0,dividend declaration
22,2018-10-23,KPCL,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
23,2018-10-07,KPCL,Query Response,1,0,1,query response
24,2018-09-04,KPCL,Query Response,1,1,1,query response
25,2018-06-19,KPCL,Query Response,1,1,0,query response
26,2018-06-03,KPCL,Credit Rating Result,1,0,1,credit rating result
27,2018-04-25,KPCL,Q3 Financials,0,1,0,q3 financials
28,2018-04-19,KPCL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
29,2018-01-28,KPCL,Q2 Financials,0,1,0,q2 financials
30,2018-01-23,KPCL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
31,2018-01-09,KPCL,Dividend Disbursement,0,0,0,dividend disbursement
33,2017-12-28,KPCL,Emphasis of Matters,1,0,0,emphasis of matters
34,2017-11-23,KPCL,Resumption after record date,0,0,0,resumption after record date
35,2017-11-22,KPCL,Suspension for Record Date,1,0,0,suspension for record date
36,2017-11-20,KPCL,Spot News,0,0,1,spot news
37,2017-11-15,KPCL,Q1 Financials,1,1,0,q1 financials
38,2017-11-08,KPCL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
39,2017-10-30,KPCL,Price Limit Open,0,1,1,price limit open
41,2017-10-30,KPCL,Dividend Declaration,0,1,1,dividend declaration
42,2017-10-22,KPCL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
43,2017-04-20,KPCL,Q3 Financials,0,0,0,q3 financials
44,2017-04-13,KPCL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
45,2017-03-20,KPCL,Credit Rating Result,1,0,0,credit rating result
